danmaku_id,content,progress,ctime,user_hash
2509151756,目测要火,172.542,1475344978,cef2655c
2509151788,容器是PVC管？,336.742,1475374230,6b3cc215
2509151844,应该多放着这些,303.487,1475391796,1cf110b4
2509151848,认真看  没发弹幕,289.46,1475391824,37ae6593
2509151938,j厉害了我的哥,184.77,1475413788,3f2a5eec
2509151980,爆破鬼才,296.741,1475427660,a21bd202
2509152059,满眼的山,138.873,1475470866,11747e02
2509152115,爆破鬼才,276.952,1475474560,3e1a29da
2509152269,认真看！别说话！,314.279,1475503816,9f513368
2509152319,报告，我就是做地质勘探的，超级计算机就是用来做这个的,296.704,1475539685,3e5753b8
2509152334,爆破鬼才,332.759,1475543357,a06215de
2509152424,希望这样的人可以有高报酬,349.184,1475554337,1e367dbe
2509152560,蕾丝红☜,120.929,1475571934,314e1ee7
2509152581,致敬！,83.463,1475575572,534ad971
2509152582,抽根烟压压精,322.428,1475575575,3500eb57
2509152598,中铁二局被套股东路过,207.535,1475575597,d0514dc1
2509152682,爆破鬼才,271.174,1475582880,af05a3a3
2509152699,川藏铁路第一站，雅安的路过,184.264,1475582887,33f340c5
2509152703,潘多拉：你被掏了,161.192,1475582891,b8fa5326
2509152713,难度单位：潘多拉。。上线,155.642,1475582900,4fc3b2f0
2509152753,天啦！！,169.602,1475586553,b4f530f7
2509152821,狂鼠的师傅,343.964,1475590232,3f5bb4de
2509152895,看哭了...一公里死一个人啊...,236.624,1475597523,b70e20a3
2509152914,山体B超23333,311.273,1475597572,48600c96
2509152996,实干兴邦,56.403,1475637069,8812d91e
2509153164,农学的路过，我就安心给兔子们种菜好了,136.492,1475665664,c73c55b
2509153248,中铁电气化局集团铁路工程公司的路过,117.758,1475676624,f958c1f
2510030119,磁爆步兵,191.407,1475716148,96a11ab9
2511074021,感觉旁白很年轻,171.413,1475730076,a2dc0511
2511932931,爆破鬼才：彭翔华,263.383,1475741046,cf13ee1f
2512675547,我居然在B站上看CCTV  oh  不可思议,121.233,1475748393,d3d9ae04
2514419823,cf爆破,276.821,1475766674,5bf7a1e
2514727215,超级工程过来~~~,22.186,1475770331,d1afc6ba
2515775899,三星爆破,303.577,1475806220,95ba83f7
2516161793,爆炸即是艺术（手动滑稽）,271.098,1475809913,ea053467
2516465423,前面兔子的别走～～～～,268.33,1475813576,5cfaad01
2516471961,Steve拿着TNT来了,186.681,1475813577,43ea591c
2516594981,高级技工比很多白领厉害多了,356.398,1475816481,1f25a929
2517151173,炮王23333,270.622,1475823796,22f6420c
2518318383,自己放入三星note7,320.728,1475838461,76bf3a72
2518321953,装250个三星note7,332.178,1475838461,76bf3a72
2518324611,就是三星note7炸坏全场,339.078,1475838462,76bf3a72
2519419611,fire in the hole,234.322,1475853101,6ffefc3a
2543415859,三星——才是 爆破之王,313.487,1476176728,9506fcad
2545652223,我想说这旁白的声音让我有点出戏，以为在看新闻联播,254.378,1476245541,9fe914e5
2568086735,这明明是重庆话,356.771,1476788841,e06ea8bd
2568103357,看他的嘴型像是要说Fire in the hole,234.05,1476788847,9560a806
2571745033,呜啦啦啦啦啦,0.0,1476889904,582130dc
2572194981,四川的兔子,176.524,1476922094,307a19b7
2595434111,这就是以前工程兵啊，逢山开路，遇水搭桥,240.525,1477436855,94aed4de
2601261977,吉格斯参上,194.522,1477551781,cdd390e3
2604201307,我也是爆破专业的,154.823,1477634577,abac9140
2611371599,爆破鬼才,145.476,1477797069,e5a8395d
2644898499,开始看了9.06,10.971,1478653746,330ca107
2666972247,厉害啦我的哥,335.101,1479301792,34b1b67f
2686173631,王炸,273.59,1479834112,29be14d5
2689239935,听说当年长安大学路桥专业的参加青藏铁路  也是不少人受伤,269.494,1479963699,52ce5091
2690950691,达成成就： B站看CCTV,119.429,1480010562,b6178443
2696430157,吓一跳,240.154,1480162117,c28d56bb
2712076053,32个小伙伴你们好啊,56.552,1480673208,f32009a4
2721005497,大炮世家,247.806,1480878230,9613e7cc
2751772881,升降载具应该再好一些，保护好这些一线的劳动者。,169.557,1481814705,2a62a75f
2769440283,混元霹雳手成昆,210.436,1482322116,b9fecd12
2770015215,四川人，扎起！,204.796,1482333067,13c74e5a
2820043105,额,348.542,1483711827,76b2fafb
2820044943,额额,352.681,1483711827,76b2fafb
2833752921,爆破鬼才,277.771,1484053771,5d4486ca
2836893789,爆破王,275.677,1484140193,7362d660
2857145247,解说有种新闻联播的既视感，不嗨森…,160.36,1484583164,58c9af96
2872031732,科普下，百万伏 特高压，就是这么读的。特高压指的是电压等级,70.912,1484885528,575d532e
2893007538,潘多拉盒子不用掏，打开就飞出来,146.624,1485245082,94dad7e7
2903889648,幸福并感激着QAQ,330.718,1485428840,357e769e
2967181300,混元霹雳手,205.911,1486433411,2f1a101
3001608442,灵魂爆破手,151.771,1487012587,42409bf0
3002275400,承包哥在此,10.938,1487045552,9f39a387
3006330798,爆破鬼才,269.845,1487142194,1ec5d91e
3013646474,我们学校毕业学长设计的 ,79.872,1487311368,6602d884
3030682790,超级工程和大国重器过来,56.381,1487675233,c74258e
3095203790,成昆？混元霹雳手,199.664,1489313182,2e07f806
3122302508,放炮咯``````,231.464,1489997052,dc7c4f65
3198554790,基建我只服我国,94.722,1491634984,89f59f93
3206038810,应该是“放炮喽”,236.205,1491743353,38886f87
3274412930,炸弹魔人,271.501,1493212173,5a01c2ee
3295608440,现在大工程基本能做到不死人了，受伤还有，死亡很少了,255.354,1493600980,61a269f2
3378322357,地质学专业飘过,137.519,1495242579,94445bc4
3385990265,前面成航的同学等等我,68.181,1495350201,3dfda4a
3385992541,前面成航的同学等等我,74.837,1495350202,3dfda4a
3403772732,四川人能吃苦,176.3,1495714119,e4bc17a7
3450691555,三星说：我的装药量也是固定的,349.321,1497190212,11e4f072
3460552137,电力向能动表示楼上说的没错，这是指的特高压级输变电通道,72.604,1497532180,ec19c438
3491050916,17局4公司的有没有？,162.486,1498385202,79ecfaa9
3501834922,爆破鬼才,269.143,1498702245,315ea51
3503729627,四川人！扎起哦！,209.312,1498745412,c46f831
3538916327,这个声音新闻联播？？？,260.674,1499591140,b4f5b048
3555929561,他太厉害了,343.426,1499958704,a3f7224e
3575663843,潘多拉：喵喵喵……,146.265,1500390701,a19badb8
3657053646,致敬,39.137,1501992733,8c1fcdc0
3663776319,吓得我把烟都灭了。。。。,325.199,1502107725,49bf11af
3696443433,什么都要加个外媒,122.413,1502712530,c37a3f45
3700240457,   挖潘朵拉的墙角,140.935,1502789875,3fc7f2d8
3733266386,敬礼,21.381,1503395720,e8d1ab89
3733897521,爆破的艺术hhhh,356.532,1503404117,d19dded8
3733919251,潘多拉：你胆子不小啊 敢从我怀里掏东西,145.169,1503404395,ef110183
3826192672,放炮喽,247.125,1505964545,5391c419
3912618590,太厉害了,319.2,1508658159,37f285b1
3916035011,这个是真的厉害！,317.888,1508780098,62ba4dfe
3916271470,看着都害怕 这得多有经验啊,333.546,1508813546,ba875a60
3921351408,禁止用螺纹钢做吊装,189.705,1509036124,8eb366d5
3927460498,致敬,213.18,1509251488,a13b13b9
3953295739,超级工程过来,29.101,1510277555,e2ee31f0
3965244687,看完写2000读后感来,53.415,1510709068,410ec421
4145331082,我在干什么？我竟然在b站学习？,86.261,1514714937,aecbf5b1
4207917801,原来是这几个人，看过了,64.358,1516724412,3b6efb6c
4224123838,混元霹雳手,205.499,1517197796,3c1a5987
4361438167,这个厉害了！,324.843,1520062374,2b08441
4399931996,同一个世界同一个老师,299.601,1521509420,b6db1241
4491383679,地波雷达啊,320.067,1524840099,5e61bdd5
4493580662,蓝山二中前来摩拜,23.028,1524920827,d388c716
537830199132162,观后感呜呜呜,17.741,1528168004,e7a2f03
2236927515820036,中交海西总部路过。。。。。。。。。。。。,162.04,1531408775,ae921783
2390471531823108,不知道一个八级地震过去山洞能留下来吗?我相信祖国的基建肯定能扛得住,141.526,1531701637,86109437
2717520569040900,这个声音很好听,112.22,1532325434,c308ff84
3812232785297408,看着这画面突然想到奥特曼！,246.353,1534413431,4826c268
3899450472267778,Steve:苗苗苗,200.23,1534579786,18d5d295
4495714918858752,上课看系列,21.021,1535717071,f9164a87
4533982975754242,爆破鬼才,271.294,1535790062,8a0153a
7353341685792768,长工大路过,131.304,1541167561,51c36d59
7561049551142912,战时嘿嘿嘿☞,267.955,1541563732,b4efa683
8014054248939522,致敬,217.353,1542427770,f31ef92e
9200607256117248,还有好玩的纪录片吗,125.696,1544690940,47802638
9648855854350336,十一局电气化的有吗。。,165.062,1545545907,dc3d632f
12407088745021444,爆破鬼才,183.441,1550806818,7aa6d185
13722656527876100,爆破鬼才,344.558,1553316065,8e0eec87
14764285858676738,修文物过来√,42.576,1555302815,8ea2f7d8
14952991386238978,哈哈哈哈哈被弹幕笑到了,286.4,1555662742,be2f1f8d
15506083951935492,同款口罩,121.076,1556717683,ae7fc7e5
18310317891649536,给地球做B超,304.086,1562066334,49264354
21203561171386372,徐州技师学院前来报到,1.527,1567584758,ed05a9c3
21962265966673922,合师前来报道,83.049,1569031872,a4072e9a
