danmaku_id,content,progress,ctime,user_hash
1655887808650741760,也不算太新鲜吧，毕竟隔壁王者已经干了好久了,35.558,1724488409,93dd1511
1655887859812633600,暗号收到,51.582,1724488415,6f0afd8e
1655887905421519616,收到暗号,56.254,1724488420,8fa65276
1655887920051432960,等他给你上演北山尤文名场面的时候你就知道有多靠谱了,55.379,1724488422,3d7c5c65
1655888095079559936,暗号收到,55.156,1724488443,21ba9568
1655888158321233664,暗号收到！,54.339,1724488450,e03fbd91
1655888317453149184,这个图是不是错了,105.51,1724488469,592074ef
1655888833327366400,有公式就是快,228.55,1724488531,aabc25
1655889015871834368,过期和吃药是不是放反了？,106.44,1724488553,5d7872ac
1655889354024826368,鸣式,225.024,1724488593,761a8230
1655889446861696768,打开透视,44.713,1724488604,d0d7a45d
1655889595767763200,别搞枪战了，直接研究军事吧,20.419,1724488622,38e51b26
1655889987859854080,三角洲？,17.31,1724488669,335aa8c8
1655890045648861440,我嘞个鸣式做题就是快,229.609,1724488675,c665640
1655890371697247232,收到,57.835,1724488714,4caa05ff
1655890538982838784,哈？鸣式还在追我,231.122,1724488734,9e400231
1655890795565416960,什么状态机,106.033,1724488765,3b5f949d
1655891598598385664,我就晓得这句,234.228,1724488861,57b825d4
1655891933933123328,有内鬼，停止交易,52.738,1724488901,460faec9
1655892414809889536,结束乐队（,81.296,1724488958,55e3a009
1655892688505287168,直接去搞军工吧，祖国比我更需要这套系统,351.187,1724488990,38e51b26
1655892767282586112,箭头都画反了,113.889,1724489000,32d02405
1655892850665337088,暗号收到,56.859,1724489010,bcdd7587
1655895478472225536,幽灵行动：是我,295.859,1724489323,a1cb56b6
1655896387151417088,所以AI队友也是无限子弹的吗？,138.919,1724489431,7105404a
1655897768755018496,又或者是“传奇背刺王”冥河,264.467,1724489596,9d144bec
1655898865222004736,人机队友这一词或将赋予新的含义,31.598,1724489727,6b44245e
1655898967529203968,果然腾讯最懂人机,29.103,1724489739,1461e37c
1655900003614568192,头号玩家！！,201.446,1724489862,aca3b1f8
1655900496504039680,elo机制秒了,201.257,1724489921,1461e37c
1655901013846496512,牺牲流，靠谱，真人才不会献祭,60.717,1724489983,8bf45814
1655901651002734336,这下真智机械,184.619,1724490059,b391b7d1
1655906150610483712,好眼熟的配色（,81.699,1724490595,cb638c59
1655910550057787392,看成ai队友能懂黑神话了,9.399,1724491120,300d2bca
1655911532363833600,不就是GPT嘛（吃瓜）,175.422,1724491237,1c83d94e
1655912675462354944,通过数千万玩家的训练，腾讯的ai几年后强到爆炸,245.49,1724491373,26a7d681
1655912715300366592,二叉树,115.836,1724491378,b468df12
1655914234468865536,王者 吃鸡大把电脑队友,31.019,1724491559,6b618047
1655914389062240256,大语言模型下NPC之间自行互动，西部世界诚不欺我,331.509,1724491577,26a7d681
1655915477022761472,端到端,168.111,1724491707,943861c2
1655917002105348864,专业课内容，肝开始痛了,72.179,1724491889,dc26d57a
1655918850098867456,这里我理解是让自然语言转化为ai能理解的代码,307.71,1724492109,2f88338a
1655920659572021760,国内在ai应用领域真的是遥遥领先,330.993,1724492325,e3b630e9
1655922851750271232,安东星应征入伍的ai队友：我是天王老子,4.739,1724492586,47719513
1655923682054249728,博主对自已的视频该更上心点,106.401,1724492685,a7f1fb32
1655924387460718080,冥河哈哈哈哈哈哈,265.963,1724492769,80b250fb
1655925142360373504,中控王顶号了,296.76,1724492859,7f96a96e
1655928779249638912,"真人只会躲起来,暗杀人不想动",128.663,1724493293,160c563a
1655930569504116480,pay2win,26.852,1724493506,22344825
1655930866989300992,王者ai都会打字回应了，真的不稀奇,38.438,1724493542,cd8661ce
1655933128139068416,按照PV来看，队友不会捡物资,129.843,1724493811,4625aa27
1655934973657604608,比如2042的人机，就会学习玩家操作数据,175.665,1724494031,988217bb
1655944291648120576,这么多智能人机，电够吗?(只是好奇),162.534,1724495142,d08f6436
1655946635685383680,那既然是机器能不能一帧拉枪露头就秒？,140.345,1724495421,f1d67a8e
1655946971623836160,L4D不是早有了?,148.244,1724495462,2470bfde
1655947190113255936,静步，绕后，偷袭。,190.746,1724495488,26d947f3
1655947965841786880,我看标题也以为说的是王者农药，农药人机也会说黑话,36.339,1724495580,8fc84b04
1655952233252361216,玩家死了怎么办,271.87,1724496089,b8824a3b
1655957590737198592,这智能队友投入战斗机器人很恐怖啊,354.507,1724496727,e1c7c1a9
1655957630759593728,可以，ai只识别不生成结果而是触发录制的语音还是很快的,16.718,1724496732,c0489f63
