danmaku_id,content,progress,ctime,user_hash
1864830150366315520,我去！！！！！！我先磕一个！！！！,7.489,1749396277,8e99374f
1864848924507583232,和原声还是有区别的，放一块儿听就听出来了,116.767,1749398515,ea2c37cd
1865821301680439808,阶在这里要发音jiai,6.62,1749514431,29edfd71
1866053672438582528,挖槽，艺术永存,14.216,1749542132,787b7b66
1866113651195882752,up太牛了，,85.364,1749549282,d92362ff
1866114595073627904,牛牛牛牛牛,192.528,1749549395,d92362ff
1866909102694405376,太牛逼了！,56.36,1749644107,ccf65d8b
1867513993263432960,梦回白眉大侠,25.767,1749716216,37719a11
1868421330177641984,还有砸吧嘴,115.692,1749824379,56514d6a
1868737897000506368,声音识别度太高了，有助于。提升专注力吗？我听凡人有时候经常开小差。不是大灰狼讲的不好,72.12,1749862117,abf9ce3d
1868802242497985792,这里重音应该在“二”，就更好了,172.771,1749869787,98b2b113
1868892891590450176,已经开始困了,32.974,1749880593,9c7389c3
1869102630463854080,这个赛道真不错,43.837,1749905596,716def72
1869111574447420928,韩老魔,130.647,1749906662,e88dcb4a
1869185558799301888,得劲！！,97.852,1749915482,53ec946f
1869760312824567040,该,7.031,1749983998,b0b49083
1870313117771269888,厉害,80.954,1750049898,1549f089
1870462561091787776,太是那味了,30.728,1750067713,3ed288f4
1870543449317863680,还“啧”了一声，牛,179.94,1750077355,ce850c3f
1872198012957695744,嗯？,5.289,1750274595,675550d
1872652252381526016,先膜拜一下(っ_ _)っ,84.412,1750328744,b3c84e83
1872719910363439616,我去！！！！！,95.229,1750336810,6ce71dbc
1872902061008679680,牛逼！,89.372,1750358524,51e95ad4
1873114439255860992,卧槽太牛逼了,54.454,1750383841,e6792559
1873198865185043456,是他最疼爱的小妹，不是最疼他的小妹,268.415,1750393905,a04c434c
1873204593505298432,真的有种回到零几年听收音机的感觉,353.341,1750394588,b83a9516
1873329227508796416,早这样不就好了，更爱听,52.541,1750409446,e6428fb4
1873329724819105280,白眉大侠修仙传,91.239,1750409505,e6428fb4
1873330095025056512,小五义修仙传,102.867,1750409549,e6428fb4
1873337743993129216,牛逼,26.001,1750410461,60c44104
