danmaku_id,content,progress,ctime,user_hash
2017600606625786368,甲方催更,46.326,1767607934,d871426b
2017600698849979136,老北京：AUV！您这。。。。。。,61.293,1767607945,fb781c3e
2017601239160120064,突然就心动了,176.483,1767608010,a1d17aef
2017601592211175680,爷青回,4.709,1767608052,a4ee7217
2017601971569370112,脑袋尖尖的suv,110.209,1767608097,e44faae6
2017603498757265152,改芭比Q了,186.625,1767608279,5c826320
2017604242038789632,诶呦喂！,52.884,1767608368,77ab80bf
2017604373555479296,每个脚都要扫一次吗？,268.825,1767608383,364cada8
2017605641275392512,还在申遗,223.508,1767608535,e5a58f5f
2017606396275373312,麻匪呢？,229.511,1767608625,630c0b9a
2017606670339142656,AUV,67.229,1767608657,85447788
2017608905618359040,这座椅多少有些猎奇了,263.042,1767608924,3d829550
2017609053148695552,高级,56.485,1767608941,3ce66bcc
2017609182962539264,感谢老板催更,35.318,1767608957,c6540165
2017609552673016320,那六根安全臂咋没说？,23.691,1767609001,223501f8
2017610240950022144,还是非承载式车身,148.235,1767609083,80614c85
2017611025528654336,吃着火锅儿唱着歌儿，突然 就被麻匪劫了！,223.751,1767609176,25a353d7
2017611123935056384,你头怎么尖尖的,108.108,1767609188,ee6af0d1
2017611522980884224,duang~~~（成龙代言）,138.434,1767609236,f7756bd8
2017612630084836096,太带派了,269.954,1767609368,3c17ed8c
2017612779158240768,只要定语足够多，,28.24,1767609385,e15a7375
2017613536917859328,别说，这女版UP是真心动啊~~ （）,326.448,1767609476,f7756bd8
2017614609737620224,配上手工耿的地震防抖碗，就能安心吃着火锅了,234.187,1767609604,668efff9
2017614615508521728,带派不老铁,262.276,1767609604,c9b81cd5
2017615687757112576,6666,21.034,1767609732,dc3326cc
2017616674769590272,什么焰加热? 外焰加热,186.748,1767609850,ef5d1e9c
2017616993117121024,犯错了,333.618,1767609888,97034559
2017617212638224896,转向架（,149.641,1767609914,6f48765a
2017617573675988736,不客气,7.464,1767609957,ce14f259
2017618519952404992,@特斯拉,78.853,1767610070,e40352a8
2017621112040726016,磁生电（不是,165.558,1767610379,8ea1d5f0
2017622759437694464,666三折叠主题,305.209,1767610575,2834d2c
2017623353887777536,最爱语文的一集,50.038,1767610646,d1c2448e
2017625068645655552,遭马匪可以用底座弹起来,230.287,1767610851,adfd3b88
2017625430697456128,嚯，您这儿还开张啊？,2.34,1767610894,6e4cf1cb
2017625639942746880,那属实是无法替代的,25.584,1767610919,6e4cf1cb
2017625711531753728,也下不来！,188.67,1767610927,a418eeb6
2017626856257951488,来啦来啦,7.876,1767611064,610b1c90
2017627830678253312,诶——哟——唯——,91.964,1767611180,12e59d42
2017629140114824192,早在中世纪后期的早期初批汽车好像就是这么卖的,149.346,1767611336,12e59d42
2017629552121331456,这这这 不来个铁王座？,278.892,1767611385,c26e9ef1
2017629875703498240,换成二次元美少女肯定一堆人买,334.5,1767611424,c66ff18
2017631783021647360,推背感这一块,277.334,1767611651,cbc91a30
2017633520478098432,感谢甲方,38.448,1767611858,3c4d19fd
2017634919043427584,哈哈哈哈哈哈哈哈哈哈哈哈,178.359,1767612025,3c4d19fd
2017634989944658176,Y,116.073,1767612033,827e470
2017635717203409408,那么价格呢,257.04,1767612120,3c08662d
2017635878347946752,就是个广子,126.36,1767612139,14b0331f
2017638479009960960,猜猜我是谁？,309.76,1767612449,44d0a116
2017640712082609920,猫鼠队上大分,144.653,1767612715,4b872378
2017649581198266112,我不行了,336.322,1767613773,db1514f5
2017657682244240128,泰山的镜面轮毂是真好看！,131.903,1767614738,10cfe7ec
2017657930312400640,银手既视感~,315.338,1767614768,9ffb4e03
2017660098239472640,限高啊,180.844,1767615026,2473ad05
2017663800677376256,原来是甲方催更了,35.094,1767615468,8d10b8f7
2017670299894017280,特斯拉modelY:直接报我身份证得了,82.044,1767616242,d9b58895
2017674280607455488,哈哈哈哈哈,173.375,1767616717,e9560837
2017675432698896384,卡丁车是吧,155.791,1767616854,77fe366c
2017675864074650112,也逃不掉doge,187.911,1767616906,4d64c4d1
2017676223249517824,那车壳不应该被惯性带的往后了嘛,177.614,1767616949,82cc4955
2017676677291054336,南极仙翁专属座驾,105.466,1767617003,58553cb3
2017682770046426368,火锅颠勺？,225.739,1767617729,61832838
2017686672333925632,谁还看不出来是广子咋的？好看就得呗,136.311,1767618194,2331a08c
2017687156583405312,还用仿佛吗？,125.926,1767618252,ab1f1a06
2017688425268036096,强尼银手,322.667,1767618403,2331a08c
2017689963638109952,重塑之手？,304.632,1767618587,9f18bc39
2017692371235846656,使用思路,196.259,1767618874,278875b4
2017698585843568384,卧槽，还真有用,222.419,1767619614,5f974cf3
2017710387734450176,挺好，不顶脑袋不压头,109.92,1767621021,c32f7407
2017714685243303680,股东们请就座,14.291,1767621534,9c08ddd
2017725183192382720,不对吧，车底座拽着车壳，那车壳岂不是永远落后一个身位、,176.905,1767622785,f0d4c689
2017726781289265664,哈哈哈哈哈,328.053,1767622976,64c2d6ea
2017727187842652416,风电偏运动，水电偏商务,346.554,1767623024,5c203228
2017728106035097088,这是迈巴赫GLS,44.791,1767623134,273df851
2017730158450553856,夺少？,325.936,1767623378,659ab1a8
2017730446279985920,只要定语够多，你就是第一,15.843,1767623412,f91f12fc
2017743918426949120,只要定语加的足够多，谁都能当第一,35.641,1767625019,8758a73e
2017747594424038656,推背感呢！,277.115,1767625457,a29e19b0
2017747618440592640,知己,204.56,1767625460,8758a73e
2017752142718596352,无敌,222.539,1767625999,8d80e268
2017766057548544256,《Maybe AR》,300.131,1767627658,9131039
2017777297897504000,感谢甲方,44.499,1767628998,f09d6eb9
2017786087732960000,南极仙翁这一块,106.43,1767630045,abdb38f9
2017801612462497536,离谱,305.486,1767631896,4732f8c0
2017813016640548864,接到广子了,133.194,1767633256,858990f6
2017825101881964800,？？？,217.399,1767634696,5170a1fc
2017827583097641216,@特斯拉,84.557,1767634992,8b115126
2017831252057064960,哎哟喂,61.94,1767635429,5204ec2d
2017832409752022272,上链接！,167.682,1767635567,5204ec2d
2017843611504871680,赛力斯那个还可以泡茶呢,212.099,1767636903,c71430ad
2017971785458819328,当时我就震惊了,57.619,1767652182,27221261
2017978907051604992,甚至凯雷德,179.082,1767653031,5070670b
2018039250276408064,好猎奇,109.695,1767660225,dc4d3ea8
2018040230427024128,祈祷nie,300.715,1767660342,7d7e163e
2018040745059349504,学过物理的都知道火焰的外焰是温度最高的,187.846,1767660403,dc4d3ea8
2018046383864663808,这尾灯好像是老路虎的,203.625,1767661075,7551a39c
2018049926876905984,这么多定语,28.64,1767661498,e3574126
2018058275177777408,老北京了,66.322,1767662493,38263a9a
2018085527752108032,保守了，有这定语，改成一千亿以内都说得通,23.859,1767665742,b60c26fa
2018092919399330560,auv，这汽车怎么还有驼峰呢,116.47,1767666623,7efeb20c
2018101281809705472,爷爷，你关注的up更新啦！！！！,3.3,1767667620,de3cf95a
2018107809052465664,哈哈哈哈,241.0,1767668398,1a99658f
2018117519084764416,稀罕物,338.793,1767669555,e70112a1
2018117676748395008,《 转  向  架 》,139.683,1767669574,aaf0933
2018120596873399296,别说。还可以看,96.199,1767669922,24d121c6
2018140683797372416,强尼银手是吧,324.911,1767672317,657c77f4
2018146683498287616,我猜，肯定非常颠,15.177,1767673032,442716d
2018149487876617728, 直接做磁悬浮更好,162.804,1767673366,d5241fae
2018153190776435200,特斯拉：？,76.285,1767673808,b6af992f
2018155070780775424,哎呦喂,338.139,1767674032,b165a93b
2018166819806414592,哈哈哈哈哈,342.821,1767675432,5fa248c2
2018169771287949312,并非只有这一期,248.396,1767675784,3ada859e
2018172133570154752,哈哈哈 太搞了,141.439,1767676066,736292a8
2018182207155502592,哎哟喂,96.71,1767677267,62e7117f
2018190548997034752,滚筒洗衣车轮已经有人造了,21.243,1767678261,2421550
2018228778803404288,哈哈哈哈哈,110.564,1767682818,f352db79
2018252145102819072,扫不扫？！扫不扫？！,275.629,1767685604,5304f21a
2018265009486613760,天才,169.662,1767687137,56194988
2018268580122697728,一百年前劳斯莱斯那些都是这么卖的,149.574,1767687563,6964c823
2018281068855792384,遥遥领先,81.076,1767689052,efe3ac3a
2018298168512733696,700弹幕了,81.576,1767691090,64c1a44e
2018319244655836160,闪 电 麦 昆,169.188,1767693603,5ed7a66e
2018320165422614528,车主：哇嗷！,275.774,1767693713,f44422b2
2018328802484375808,我以为减速带呢,181.2,1767694742,57f4cf31
2018329138607327744,烫头是吧,215.805,1767694782,57f4cf31
2018331030096464384,AUV？你这车还能下水啊,60.132,1767695008,c72c18a7
2018333751520120576,魔镜号（bushi,204.34,1767695332,3785f47b
2018342069763972352,就很强哈哈哈哈,90.041,1767696324,780fdb90
