danmaku_id,content,progress,ctime,user_hash
1526280913925928960,每一个人,123.46,1709038063,9242383d
1529830292582454528,没有,9.767,1709461182,b89fe0ff
1529860529521195008,没有,8.009,1709464786,3b0d4f45
1530279065251216128,看过,7.352,1709514680,465413c9
1530317337377768448,看过,6.456,1709519242,ca2e0ecc
1530466590066326528,看过,6.608,1709537034,f829fd1e
1530641418958486528,看过,3.874,1709557876,52d9fd20
1550778659395352832,首先排除14亿,132.694,1711958422,9a9d179
1627720508789329664,有,254.735,1721130605,d5f79ef5
1637702697614631168,打卡第一天,41.385,1722320575,adeac6fb
1637715439717432064,打卡第一天,53.119,1722322094,adeac6fb
1687989899749791744,good,262.389,1728315276,3f4b418f
1690880022904588288,新创是什么意思？,96.49,1728659806,7709d21d
1731346540297047552,关于本课我写了一篇笔记，链接放在评论区了，欢迎查看,65.856,1733483791,7aa21136
1740256006522930432,学习,17.949,1734545882,4b3fbd8
1745569281648847872,打卡第一天,32.959,1735179273,d178ce15
1756000536266025472,第一天,24.987,1736422776,5a9981b7
1790937891539702784,2025前来学习，deepseek牛逼,181.8,1740587633,7ce8dc50
1807563621837099520,打卡第一天。l jzr,23.48,1742569575,40d97a26
1839198658864985600,大学生创新创业吧,103.669,1746340765,84f9565
1903183524815575296,豆包无敌！,150.275,1753968355,14980a3
1903183912109536768,必须要会magic啊,177.27,1753968402,14980a3
1914516157374004736,哇偶还有qtbr,197.961,1755319310,6021cba6
2016887330115300352,打卡第1天,12.683,1767522905,ebcfbd1
2018917701254962688,打卡1day,69.664,1767764944,997bd507
,,0.0,1775645360.3863423,
lb.c,,0.0,1775645360.3863423,
,,0.0,1775645360.3863423,
1536237530155291136,哈哈，满坑满谷,432.711,1710224984,d3e7039
1584937133985278976,太牛了,575.307,1716030429,f9de9a34
1669442850469191680,老师没少看猎人啊,660.123,1726104296,91bc37d0
1676031746376267264,1111111111111111,377.03,1726889753,da772817
1687997550127097856,哈哈,428.395,1728316188,3f4b418f
1697907685690962944,大家是大学生还是研究生啊,667.781,1729497568,1cdd57cc
1702133250794997248,老师的鼠标好可爱,633.594,1730001295,707619c
1755122880183729664,为什么不能倍速,447.905,1736318151,ae4f967a
1830577935070310656,哈哈哈念能力，难怪我在看2021年的机器学习与深度学习他提到暗黑大陆,631.733,1745313095,35936169
1839210327275945984,念能力,644.085,1746342156,84f9565
1848001404053549824,来了,399.24,1747390134,25cc0606
1867480811562563328,在职,681.732,1749712260,984ba21c
1881468712935259392,老师好好,558.023,1751379748,fe248d93
1892853627560405504,感谢李教授,580.546,1752736936,6911b9a0
1913872665987713792,1,551.748,1755242600,d9546d9b
1940716001377600768,哈哈哈哈,435.944,1758442575,920dd369
1984376120304603392,还是更习惯人工智能这个词一点哈哈哈哈,622.982,1763647267,2009d022
,,0.0,1775645360.3863423,
lb.c,,0.0,1775645360.3863423,
,,0.0,1775645360.3863423,
1523963356535355648,哈哈哈,1041.69,1708761789,aa6d9dbf
1524677900983506432,三大会,1007.877,1708846969,2f71043e
1524678078302181888,所有课程里都会举动漫的例子，我好爱,1044.878,1708846990,30b3c273
1526698793180298752,不变的二次元,1048.208,1709087878,7dc37034
1536224133103715840,刚看了2333,1062.711,1710223387,a22a3606
1583506962296223744,老师真的很接地气，我喜欢,1042.966,1715859939,1f9afce9
1596975916721349376,老师太nice了！真的是小白友好～,889.733,1717465564,ec80a385
1600617184668078080,新冠～,992.212,1717899637,cc151dc7
1601540892437913088,不会过拟合吗?  数据量得多大?  ,948.18,1718009751,cc151dc7
1618034699677374464,语言教学，太棒了,796.451,1719975967,622dd94d
1618371340598040064,我是学计算机，知道这个网站，但是具体是什么也不知道,854.437,1720016097,9360f07
1619667356148534272,好棒啊，真的照顾了各行各业的人,864.934,1720170594,863d2202
1622438753983289344,在看,943.937,1720500971,913a3776
1635073393093319936,大模型好像已经不适用于传统机器学习过拟合理论了,960.761,1722007137,cad4c9ad
1637233318246541568,就光这几分钟，这位老师已经帮助很多人了！！！,871.908,1722264620,6c096d81
1637234777394578688,哈哈哈哈哈，我点赞！,1044.083,1722264794,6c096d81
1680062492174333952,Hung-yi Lee老师真的很厉害,928.711,1727370256,d44efe2c
1715917362521372160,哈哈哈哈哈哈,1030.107,1731644489,c622dee2
