danmaku_id,content,progress,ctime,user_hash
1506381064644583936,我早就看到了,222.632,1706665816,e99ab665
1506382411167365120,这个风扇挺小巧，就是感觉不怎么好看,245.062,1706665977,e99ab665
1506504782528270336,"不支持pd协议, 只接受5v",166.567,1706680564,ec493b73
1517259304594413568,没玩过,23.576,1707962603,3a6009e2
1520930343786782208,喜欢,24.918,1708400225,32a44442
1556570381320895232,硅脂没抹,251.598,1712648849,710967d
1656857424394904576,丝印都告诉你FAN了,219.673,1724603996,224a5243
1734448601004376832,有没有塑料膜,266.191,1733853585,d09a11b7
1760739647681718272,请对焦,85.368,1736987722,f3bfe8eb
1903004248182968320,这么有钱？,31.294,1753946984,d4088b00
1946354217221041408,mede in 英国,61.376,1759114703,a62f40e2
1948581354442631168,我的是1t+16g,59.289,1759380198,7579f031
2009075031749635072,‘’,99.691,1766591607,a7bbfb8
2012642872843254016,有钱,43.409,1767016926,a9581e21
2041351514098123008,算吧，500-600之间,102.855,1770439263,2c60838c
2041352025727769088,"Me,too",148.035,1770439324,2c60838c
2047405047230645248,充电宝一般的不行，这个要5v5A,83.854,1771160901,19d177ff
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1516571391670330112,渔舟唱晚,651.217,1707880598,2bcd9468
1550627406375717376,32G的内存卡能用这个完整版的系统么,386.686,1711940391,2b68ce75
1572650342364359168,我使用闪迪sd卡显示下载文件错误的，换了卡也不行,442.659,1714565730,e91eb0f
1572798120813845248,这里我和up主一样选了火狐，后面更新进度条死活不动一点，直到我选了chorme，就可以了,594.915,1714583346,e91eb0f
1639154556263070976,好清脆的键盘,569.72,1722493650,bd20ce1f
1650940827218162944,好方便，以前还需要更改文件才能在第一次开机是开ssh之类的服务,410.088,1723898683,48099072
1726726795442583040,可以,408.797,1732933074,1f7f52c8
1759508276086707456,能装ubuntu吗？,464.52,1736840931,51d0653a
1786513998318527232,不需要像windows一样激活是吧？,479.701,1740060264,39d3367
1797067124175994112,原来需要读卡器。。。,366.597,1741318295,491c8356
1878900401579839488,前面的这是Linux,488.33,1751073582,7ea4b077
1974142504874050304,WiFi是不是要改2.4g,606.396,1762427325,7587d6fd
2003068925088114432,我的怎么到这一直黑屏了,639.467,1765875623,98bdb63d
2017625875302447104,能,399.096,1767610947,a9581e21
