danmaku_id,content,progress,ctime,user_hash
1971989991551306752,杨佳霖打卡,74.842,1762170725,ed7d3b63
1972063698054949632,牛逼，收藏了，吃会去吧,24.408,1762179512,2cd76f34
1973384366843545600,有没有就业的，讲一下真那么好吗,259.478,1762336948,bb8fb0b7
1974902598314445824,比java强,281.658,1762517935,fb9b5749
1977845479480361728,？？,193.227,1762868754,4663d356
1989530093919891200,大专能学吗,140.397,1764261669,4858ba7
1990939764580373248,刚毕业很迷茫,230.169,1764429714,6fe202df
1994867639780153088,想要升职加薪,232.992,1764897954,39848316
1996359648772699904,年轻人多存钱,64.806,1765075815,589465e6
2039140212973826048,想要升职加薪,229.204,1770175656,8e919632
2039393599107488768,零基础想转行,230.528,1770205862,fac7f620
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1984763157021280000,路漫漫,746.646,1763693405,d51febaa
2026820348183454720,我已经过来了,750.874,1768707013,2b0af6f2
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1971989991551306752,杨佳霖打卡,74.842,1762170725,ed7d3b63
1972063698054949632,牛逼，收藏了，吃会去吧,24.408,1762179512,2cd76f34
1973384366843545600,有没有就业的，讲一下真那么好吗,259.478,1762336948,bb8fb0b7
1974902598314445824,比java强,281.658,1762517935,fb9b5749
1977845479480361728,？？,193.227,1762868754,4663d356
1989530093919891200,大专能学吗,140.397,1764261669,4858ba7
1990939764580373248,刚毕业很迷茫,230.169,1764429714,6fe202df
1994867639780153088,想要升职加薪,232.992,1764897954,39848316
1996359648772699904,年轻人多存钱,64.806,1765075815,589465e6
2039140212973826048,想要升职加薪,229.204,1770175656,8e919632
2039393599107488768,零基础想转行,230.528,1770205862,fac7f620
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1984763157021280000,路漫漫,746.646,1763693405,d51febaa
2026820348183454720,我已经过来了,750.874,1768707013,2b0af6f2
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1971989991551306752,杨佳霖打卡,74.842,1762170725,ed7d3b63
1972063698054949632,牛逼，收藏了，吃会去吧,24.408,1762179512,2cd76f34
1973384366843545600,有没有就业的，讲一下真那么好吗,259.478,1762336948,bb8fb0b7
1974902598314445824,比java强,281.658,1762517935,fb9b5749
1977845479480361728,？？,193.227,1762868754,4663d356
1989530093919891200,大专能学吗,140.397,1764261669,4858ba7
1990939764580373248,刚毕业很迷茫,230.169,1764429714,6fe202df
1994867639780153088,想要升职加薪,232.992,1764897954,39848316
1996359648772699904,年轻人多存钱,64.806,1765075815,589465e6
2039140212973826048,想要升职加薪,229.204,1770175656,8e919632
2039393599107488768,零基础想转行,230.528,1770205862,fac7f620
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1984763157021280000,路漫漫,746.646,1763693405,d51febaa
2026820348183454720,我已经过来了,750.874,1768707013,2b0af6f2
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1971989991551306752,杨佳霖打卡,74.842,1762170725,ed7d3b63
1972063698054949632,牛逼，收藏了，吃会去吧,24.408,1762179512,2cd76f34
1973384366843545600,有没有就业的，讲一下真那么好吗,259.478,1762336948,bb8fb0b7
1974902598314445824,比java强,281.658,1762517935,fb9b5749
1977845479480361728,？？,193.227,1762868754,4663d356
1989530093919891200,大专能学吗,140.397,1764261669,4858ba7
1990939764580373248,刚毕业很迷茫,230.169,1764429714,6fe202df
1994867639780153088,想要升职加薪,232.992,1764897954,39848316
1996359648772699904,年轻人多存钱,64.806,1765075815,589465e6
2039140212973826048,想要升职加薪,229.204,1770175656,8e919632
2039393599107488768,零基础想转行,230.528,1770205862,fac7f620
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1984763157021280000,路漫漫,746.646,1763693405,d51febaa
2026820348183454720,我已经过来了,750.874,1768707013,2b0af6f2
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1971989991551306752,杨佳霖打卡,74.842,1762170725,ed7d3b63
1972063698054949632,牛逼，收藏了，吃会去吧,24.408,1762179512,2cd76f34
1973384366843545600,有没有就业的，讲一下真那么好吗,259.478,1762336948,bb8fb0b7
1974902598314445824,比java强,281.658,1762517935,fb9b5749
1977845479480361728,？？,193.227,1762868754,4663d356
1989530093919891200,大专能学吗,140.397,1764261669,4858ba7
1990939764580373248,刚毕业很迷茫,230.169,1764429714,6fe202df
1994867639780153088,想要升职加薪,232.992,1764897954,39848316
1996359648772699904,年轻人多存钱,64.806,1765075815,589465e6
2039140212973826048,想要升职加薪,229.204,1770175656,8e919632
2039393599107488768,零基础想转行,230.528,1770205862,fac7f620
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1984763157021280000,路漫漫,746.646,1763693405,d51febaa
2026820348183454720,我已经过来了,750.874,1768707013,2b0af6f2
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1971989991551306752,杨佳霖打卡,74.842,1762170725,ed7d3b63
1972063698054949632,牛逼，收藏了，吃会去吧,24.408,1762179512,2cd76f34
1973384366843545600,有没有就业的，讲一下真那么好吗,259.478,1762336948,bb8fb0b7
1974902598314445824,比java强,281.658,1762517935,fb9b5749
1977845479480361728,？？,193.227,1762868754,4663d356
1989530093919891200,大专能学吗,140.397,1764261669,4858ba7
1990939764580373248,刚毕业很迷茫,230.169,1764429714,6fe202df
