danmaku_id,content,progress,ctime,user_hash
1541261873780255232,显卡：啊你让我去解决师徒四人？,7.982,1710823932,ba920558
1541424019524502016,騰訊：已下載,1.992,1710843262,21f5001a
1541446487412842240,开源盛世,5.277,1710845940,310ee2b4
1541575481235642368,真的小而美,8.13,1710861317,e562f06a
1541636869513619200,华为：到我领先啦哈哈哈哈哈,2.275,1710868635,1a3ed6a1
1541910418228791040,感谢马克思开源!,0.0,1710901245,72a3190f
1542104183841674496,他是不是再说，来跟我来,0.239,1710924344,b5677f3c
1542188348070758400,这咋用啊，个人能玩吗？,8.807,1710934377,929fa266
1542918641593432064,只能观赏,8.693,1711021435,4a428766
1543762157794089472,汗流浃背了吧openai？,0.231,1711121990,ba3d4b55
1543826837342627584,《gg people》,7.799,1711129700,2ab3749a
1544107937667358208,源神，启动,8.299,1711163210,c6d3c646
1544185226576566016,盘古大模型启动,0.962,1711172423,e6236986
1547011919246924800,国内又要遥遥领先了,10.148,1711509391,740a7384
1549894229000761600,自研，启动！,1.435,1711852989,d5c3a38b
1560374418159711232,源始天尊,8.199,1713102325,1b722336
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1541261873780255232,显卡：啊你让我去解决师徒四人？,7.982,1710823932,ba920558
1541424019524502016,騰訊：已下載,1.992,1710843262,21f5001a
1541446487412842240,开源盛世,5.277,1710845940,310ee2b4
1541575481235642368,真的小而美,8.13,1710861317,e562f06a
1541636869513619200,华为：到我领先啦哈哈哈哈哈,2.275,1710868635,1a3ed6a1
1541910418228791040,感谢马克思开源!,0.0,1710901245,72a3190f
1542104183841674496,他是不是再说，来跟我来,0.239,1710924344,b5677f3c
1542188348070758400,这咋用啊，个人能玩吗？,8.807,1710934377,929fa266
1542918641593432064,只能观赏,8.693,1711021435,4a428766
1543762157794089472,汗流浃背了吧openai？,0.231,1711121990,ba3d4b55
1543826837342627584,《gg people》,7.799,1711129700,2ab3749a
1544107937667358208,源神，启动,8.299,1711163210,c6d3c646
1544185226576566016,盘古大模型启动,0.962,1711172423,e6236986
1547011919246924800,国内又要遥遥领先了,10.148,1711509391,740a7384
1549894229000761600,自研，启动！,1.435,1711852989,d5c3a38b
1560374418159711232,源始天尊,8.199,1713102325,1b722336
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1541261873780255232,显卡：啊你让我去解决师徒四人？,7.982,1710823932,ba920558
1541424019524502016,騰訊：已下載,1.992,1710843262,21f5001a
1541446487412842240,开源盛世,5.277,1710845940,310ee2b4
1541575481235642368,真的小而美,8.13,1710861317,e562f06a
1541636869513619200,华为：到我领先啦哈哈哈哈哈,2.275,1710868635,1a3ed6a1
1541910418228791040,感谢马克思开源!,0.0,1710901245,72a3190f
1542104183841674496,他是不是再说，来跟我来,0.239,1710924344,b5677f3c
1542188348070758400,这咋用啊，个人能玩吗？,8.807,1710934377,929fa266
1542918641593432064,只能观赏,8.693,1711021435,4a428766
1543762157794089472,汗流浃背了吧openai？,0.231,1711121990,ba3d4b55
1543826837342627584,《gg people》,7.799,1711129700,2ab3749a
1544107937667358208,源神，启动,8.299,1711163210,c6d3c646
