danmaku_id,content,progress,ctime,user_hash
1645647873209222912,不是，啥行业不是这样的啊？,10.819,1723267713,130fbd78
1645654189923422720,好事情,18.138,1723268466,8e0eb4ac
1645654660407008768,现在除了医疗，哪个行业不难,23.398,1723268522,8e0eb4ac
1645655369394983168,因为之前过得太好了,19.945,1723268607,71625cc9
1645668699002441984,街道办下了个文件,20.419,1723270196,6b0d8f52
1645684470516532992,维E酸够轻松的了，体育界更残酷,22.438,1723272076,9a63d49b
1645704383729852160,演员不需要那么多,2.218,1723274450,3b1fe64c
1645719778041541120,太好了,6.899,1723276285,8c1133be
1645736632986648064,拉塞尔？,4.539,1723278294,ecf507
1645743386940403968,腰部全都去拍视频短剧了,72.637,1723279099,89e4e394
1645753509255454976,迪玛希唱主题曲的那个,254.739,1723280306,3e9529e5
1645758348424988160,我现在都不看电影,169.79,1723280883,c045df9f
1645768177248207616,哪个行业不是,32.935,1723282055,d8ef2a1d
1645789866715527936,挺好！,28.601,1723284640,4d2d2dc1
1645819375171083008,哦，环境下也没有什么好看的题材可以拍的,46.619,1723288158,d11a00f6
1645859800879351040,一部没看过,224.739,1723292977,cb692303
1645862497087328512,还不是因为沈腾高能,291.379,1723293298,a78fae8c
1645891164492378624,悬殊应该解决,28.219,1723296716,38dc2f
1645898698628220160,这是好事啊,8.219,1723297614,763276cc
1645991470458633216,除了重工业科幻和有口碑的动画电影，其他的都不会让我走进电影院,73.879,1723308673,eb057ba4
1646119662641085184,。。。。,23.299,1723323955,56f18a7
1646240272142730752,应该回归正常,30.519,1723338333,93d13853
1646300415970720256,扎心？管我啥事？？,7.819,1723345502,9837d582
1646301483186292480,哪行哪业都是金字塔原理,49.159,1723345630,bec8405b
1646353528408612352,他俩也快看腻了，就那几个表情,150.659,1723351834,f45aa8
1646356255897677056,也得看导演和题材，朱一龙的负负得正扑了,329.139,1723352159,603526c2
1646379278801239808,年轻人都无视咖位 直接看电影质量,132.388,1723354904,b359d3d4
1646381923712398336,我都是挑导演看的,319.199,1723355219,b359d3d4
1646381929987419392,还有贾玲,42.059,1723355220,ba228f8c
1646431142100168960,每个行业都是啊,35.305,1723361086,dc41b64a
1646510806730372352,本来就应该这样，这是公司，谁和敌对公司互相互动啊,166.651,1723370583,f814eba
1646563506096492800,一天赚280万，太难了,28.819,1723376865,ea16b9a9
1646622918001831680,市场会调节，大家都愿意为好作品买单,89.259,1723383948,da1a4208
1646624993049856512,朱一龙刚也卜了,324.639,1723384195,da1a4208
1646642357980137728,不为烂剧买单了。,73.139,1723386265,7eee2203
1646650059234049792,尬喜,148.294,1723387183,f32e5fd2
1646704840040437504,短视频，才是出路，哈哈,81.259,1723393714,9eb8983a
1646941358922950656,我96年之后就没进过电影院,331.322,1723421909,a224e75d
1646969662917134336,负负得正失利了，但是他后面还有电影陆续上，并不会因为这部小成本的电影失利影响他,355.899,1723425283,aa29fe73
1646976709137986048,这是谁？,1.979,1723426123,d6421199
1646991897996500992,好事儿呀，当浮一大白,8.999,1723427934,a99b348a
1646994127671364864,都想做头部,53.396,1723428199,5a666144
1646995046953944832,都一样，任何行业,153.663,1723428309,5a666144
1647018259725288704,新剧抓娃娃？,286.935,1723431076,5e3f5954
1647035261512990464,火蓝刀锋赵子武,9.682,1723433103,a8433dc9
1647070495268666624,不看电影,50.577,1723437303,c825cc7b
1647109719946703616,演员里面说个人名我还听过，拿个照片我绝大部分都不认识,242.979,1723441979,73331c1a
1647115324308536576,唐探一很好看,230.299,1723442647,7921fc1d
1647118623245861888,可以学迪士尼环球出线下实体周边，打造乐园再持续捞金,226.0,1723443040,aef8ac92
1647119483506282496,传奇,245.276,1723443143,aef8ac92
1647170474993620224,活着就是难，没有不难的。,19.902,1723449222,72800179
1647270444258315520,哪个行业都这样,35.169,1723461139,bc0556b3
1647291027561757184,假睫毛,5.695,1723463593,d56cb8ed
1647302581350875392,水鬼赵子武,3.059,1723464970,9dd0bc96
1647431755940036608,陈思成,92.379,1723480369,64474c43
1647638790854262016,没有好的电视剧啊,80.139,1723505049,68be1063
