danmaku_id,content,progress,ctime,user_hash
1645813224912119552,品味 ,228.059,1723287425,96742d32
1645816877756567040,有没有可能是输入法问题,221.619,1723287860,7d9f20ee
1645819115082151680,Dex,109.13,1723288127,39867834
1645836642642243072,我擦，这牌都能输了……,273.693,1723290216,6bb0e1f6
1645840153333219072,哈哈哈哈哈哈被大数据拿捏了,262.174,1723290635,5cff46cf
1645852950188301824,因为大数据获取了你的定位  哈哈哈,270.172,1723292160,ce5e66b0
1645863529875809280,同款显示器,125.859,1723293422,cf280dc1
1645875899029371904,好歹3d打印做个盒子啊,19.242,1723294896,39520941
1645884504574938624,我算是知道了回收废旧手机去了哪里,29.902,1723295922,69d4f840
1645888963849894656,输入法应该可以设置的,218.819,1723296454,d2ae7b80
1645890389166814208,手持888观看վ'ᴗ' ի,344.395,1723296623,195de7bf
1645891475139166464,针对IP投送,264.67,1723296753,69d4f840
1645916332992325888,三星DeX,107.023,1723299716,db16bb4e
1645947612467225856,输入法没设置好吧，用自带输入法 或者更新一下,219.299,1723303445,50f2b4e5
1645949487061237760,是不是上一任机主的爱好,279.631,1723303668,c0ca4ca9
1645951873578143232,不忘初心,230.645,1723303953,cfecf5a5
1645970945330183424,正规的三星官方系统你怎么改？root权限都没有,164.134,1723306226,aeea1b95
1645976388580268800,充电宝功率够吗？,54.659,1723306875,806a07fe
1645978450919563520,问充电宝功率够吗的那位，你手机没接过充电宝充电？,61.294,1723307121,4a70b265
1645983450806678784,遥控器的出来挨打,30.769,1723307717,2593538b
1645990506725086720,电压不够，估计最多也就输出了10w，这又不能激活快充协议,358.904,1723308558,dfde9875
1645991751627995648,装个输入法就行了,236.375,1723308707,5a0721e4
1646091746427481856,多少钱啊。,42.171,1723320627,7c35326d
1646181809844866304,废话少说直接硬货龙珠大冒险搞起,311.238,1723331364,d8db4cf7
1646219584057083136,李姐万岁,208.029,1723335867,bc1efef8
1646246004464602624,哈哈哈，好搞笑,211.921,1723339016,603ed7ae
1646246646738163968,哈哈哈，出得好,274.268,1723339093,603ed7ae
1646270523031939584,佩服up的勇气,33.242,1723341939,6dd30f90
1646313331952628224,前方高速入口，请车友减速绕行。,220.496,1723347042,7e814abe
1646356327720663552,电视盒子,49.003,1723352168,19de6a06
1646365240180589056,剪红线,74.599,1723353230,e6ff7f26
1646413719263452160,大数据很准,261.802,1723359009,e32807f9
1646425505970598912,嚯！无情铁手,345.4,1723360414,16480ec5
1646426816942074880,供电不足吧,359.099,1723360571,ec8f5fab
1646428312253554688,就查绑上TNT了,29.438,1723360749,44b83c3
1646441465095979520,打五笔就没这烦恼了,216.179,1723362317,743abdfc
1646441804431627264,一时不知道该看哪边,246.956,1723362357,743abdfc
1646442067775436544,出对王不就完了？,270.124,1723362389,743abdfc
1646442874256071424,鲁大师抽烟了,359.588,1723362485,743abdfc
1646451078994361344,有点尬,265.992,1723363463,1dc5e254
1646456982686850304,三星有dex，其他手机有的没有，回收了就是炼贵金属,40.099,1723364167,10d330f7
1646502757751972864,直接买个三星的平板不就可以了？,107.612,1723369623,bb99242b
1646577079099064576,五笔的我笑了,216.237,1723378483,467b9659
1646669891237117952,龙珠大冒险,195.378,1723389547,1d105980
1646669963119231488,dy:猜你喜欢,232.019,1723389556,6bb7d80a
1646730155357447680,热,194.858,1723396731,8bc53d48
1646990308950668288,打CF,350.38,1723427744,a22f24d9
1647133855859131392,不愧是你,230.563,1723444856,62d4c684
