danmaku_id,content,progress,ctime,user_hash
1107952998006527744,老师好,9.7,1659169489,3a1343e9
1132558361473219840,教材不同影响大吗,70.259,1662102677,8f85d68b
1143976342899966464,字母好评,17.497,1663463807,7c8e2e33
1218153800347457280,孙传玉别卷了,28.997,1672306449,e7490a42
1314480235370067968,老师好像瘦了,41.994,1683789454,f57282ac
1367286783573798912,老师好,18.791,1690084486,860cbb47
1440710556167545344,老师好,28.037,1698837281,eb64c0e2
1463828496827643648,初次见面，望老师多多关照,22.423,1701593155,2bb924e4
1549823792527147776,宝龙老师好,62.149,1711844593,c126c6b5
1573382258444832512,老师好,45.272,1714652981,57847be5
1590495522392017920,老师保佑,37.812,1716693041,71f54234
1621076722269388544,从寒假开始入门 学一学期以后成功95 老师讲得很清晰,0.0,1720338604,96daad4d
1648812215413115392,老师好,50.289,1723644932,a58b3665
1674920779264888320,\,105.452,1726757316,5c7ffec2
1735032640127449856,老师好,16.359,1733923208,bb29e630
1776156173968721152,时隔两年，再次见到老师 希望能更进一步！！,72.904,1738825515,c28c2d8a
1788592694751762944,老师好,21.011,1740308064,4c443276
1820559424813894400,老师好,22.128,1744118795,62c618ca
1822485373251860224,水利佬学信号了,29.178,1744348386,6bd1050f
1827098171633958656,2025山科上岸西电，感谢郭老师,11.828,1744898274,632c173
1850282182673777920,这集新加的嘛,0.431,1747662024,24872901
1867685658425372416,两年前期末，现在考研,85.813,1749736680,79c80561
1879975338663643136,米奇你看到这的时候我已经看完了,0.24,1751201724,a4c377b5
1927476792068383488,谢谢老师！！,136.324,1756864339,66870b73
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1107952998006527744,老师好,9.7,1659169489,3a1343e9
1132558361473219840,教材不同影响大吗,70.259,1662102677,8f85d68b
1143976342899966464,字母好评,17.497,1663463807,7c8e2e33
1218153800347457280,孙传玉别卷了,28.997,1672306449,e7490a42
1314480235370067968,老师好像瘦了,41.994,1683789454,f57282ac
1367286783573798912,老师好,18.791,1690084486,860cbb47
1440710556167545344,老师好,28.037,1698837281,eb64c0e2
1463828496827643648,初次见面，望老师多多关照,22.423,1701593155,2bb924e4
1549823792527147776,宝龙老师好,62.149,1711844593,c126c6b5
1573382258444832512,老师好,45.272,1714652981,57847be5
1590495522392017920,老师保佑,37.812,1716693041,71f54234
1621076722269388544,从寒假开始入门 学一学期以后成功95 老师讲得很清晰,0.0,1720338604,96daad4d
1648812215413115392,老师好,50.289,1723644932,a58b3665
1674920779264888320,\,105.452,1726757316,5c7ffec2
1735032640127449856,老师好,16.359,1733923208,bb29e630
1776156173968721152,时隔两年，再次见到老师 希望能更进一步！！,72.904,1738825515,c28c2d8a
1788592694751762944,老师好,21.011,1740308064,4c443276
1820559424813894400,老师好,22.128,1744118795,62c618ca
1822485373251860224,水利佬学信号了,29.178,1744348386,6bd1050f
1827098171633958656,2025山科上岸西电，感谢郭老师,11.828,1744898274,632c173
1850282182673777920,这集新加的嘛,0.431,1747662024,24872901
1867685658425372416,两年前期末，现在考研,85.813,1749736680,79c80561
1879975338663643136,米奇你看到这的时候我已经看完了,0.24,1751201724,a4c377b5
1927476792068383488,谢谢老师！！,136.324,1756864339,66870b73
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1107952998006527744,老师好,9.7,1659169489,3a1343e9
1132558361473219840,教材不同影响大吗,70.259,1662102677,8f85d68b
1143976342899966464,字母好评,17.497,1663463807,7c8e2e33
1218153800347457280,孙传玉别卷了,28.997,1672306449,e7490a42
1314480235370067968,老师好像瘦了,41.994,1683789454,f57282ac
1367286783573798912,老师好,18.791,1690084486,860cbb47
1440710556167545344,老师好,28.037,1698837281,eb64c0e2
1463828496827643648,初次见面，望老师多多关照,22.423,1701593155,2bb924e4
1549823792527147776,宝龙老师好,62.149,1711844593,c126c6b5
1573382258444832512,老师好,45.272,1714652981,57847be5
1590495522392017920,老师保佑,37.812,1716693041,71f54234
1621076722269388544,从寒假开始入门 学一学期以后成功95 老师讲得很清晰,0.0,1720338604,96daad4d
1648812215413115392,老师好,50.289,1723644932,a58b3665
1674920779264888320,\,105.452,1726757316,5c7ffec2
1735032640127449856,老师好,16.359,1733923208,bb29e630
1776156173968721152,时隔两年，再次见到老师 希望能更进一步！！,72.904,1738825515,c28c2d8a
1788592694751762944,老师好,21.011,1740308064,4c443276
1820559424813894400,老师好,22.128,1744118795,62c618ca
1822485373251860224,水利佬学信号了,29.178,1744348386,6bd1050f
1827098171633958656,2025山科上岸西电，感谢郭老师,11.828,1744898274,632c173
1850282182673777920,这集新加的嘛,0.431,1747662024,24872901
1867685658425372416,两年前期末，现在考研,85.813,1749736680,79c80561
1879975338663643136,米奇你看到这的时候我已经看完了,0.24,1751201724,a4c377b5
1927476792068383488,谢谢老师！！,136.324,1756864339,66870b73
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1107952998006527744,老师好,9.7,1659169489,3a1343e9
1132558361473219840,教材不同影响大吗,70.259,1662102677,8f85d68b
1143976342899966464,字母好评,17.497,1663463807,7c8e2e33
1218153800347457280,孙传玉别卷了,28.997,1672306449,e7490a42
1314480235370067968,老师好像瘦了,41.994,1683789454,f57282ac
