danmaku_id,content,progress,ctime,user_hash
1990083214672740608,刚刚！,19.62,1764327606,696ac8c4
1990083259157697280,潘乐乐,4.166,1764327611,4e1ca231
1990083694551476480,热乎的,55.015,1764327663,239b7441
1990083980099856896,ai取代不了现实的画面,84.484,1764327697,65403301
1990084023611001600,刚刚！,32.939,1764327702,ffa9a854
1990084060328376832,BGM好评！,17.464,1764327706,b1b56019
1990084079160661504,《不太会》,129.372,1764327709,60204d8d
1990084293749231104,不太会弹,137.427,1764327734,2ff4b871
1990084953119517184,大佬们总是很谦虚的,139.767,1764327813,35e6e35e
1990085171944322560,自己写的？！好听的！,159.445,1764327839,d1958fbc
1990085414400702976,不太会？！？！,133.259,1764327868,26809741
1990085674011055104,那我偏要扼住这命运的咽喉—贝多芬,353.312,1764327899,75593862
1990085988768026880,来的早就是好，弹幕少。,120.438,1764327936,4719413d
1990086471692246016,就以我画画来说 生命力是ai目前无法透露出的画面,62.343,1764327994,f2730f63
1990086680484424960,吉太！！！,168.746,1764328019,a45c91ab
1990087001365924608,哈哈哈哈精准拿捏,218.443,1764328057,efe0c1b1
1990087158190354176,Tim秒开战斗脸难绷,133.823,1764328076,3bbc0dac
1990087221457837824,好听！！！,281.476,1764328083,23f6992e
1990087249534707968,说好了要组一辈子的乐队,176.463,1764328087,aaca2be8
1990087315250993920,上辈子是吟游诗人吧，孟婆汤没喝干净doge,174.665,1764328094,eedcdd43
1990087752171108864,梦到什么写什么（dog,160.362,1764328147,3bbc0dac
1990087803182463488,tim：我以为我尾巴又要翘到天上了,141.503,1764328153,7e3a0f53
1990088263817594880,确实很好听,298.672,1764328208,2d7993f
1990088369858199552,现代贝多芬,350.708,1764328220,24e174ae
1990088397591091456,贝多芬,339.988,1764328224,99413fdd
1990088481032432896,怎么一条弹幕都没有,232.703,1764328233,cae36c72
1990088550389652992,要组一辈子乐队啊,256.428,1764328242,74951347
1990088744929884416,好伟大的老师,213.589,1764328265,e331bf9a
1990088841801259008,啊？数学老师吗？,184.626,1764328276,a09463a3
1990088853159066624,《不太会》,131.992,1764328278,e5bfc84
1990089274602868480,这不我旁边小区吗!,117.96,1764328328,225feb30
1990089361442225152,（不太会）,143.335,1764328338,36299fc7
1990089742863866880,贝多芬,342.869,1764328384,a09ba5b3
1990090001064772864,或许可以试试侧过身子，用一个耳朵听,309.462,1764328415,9915d312
1990090351004310784,轻音少女里呆唯的吉太（吉他）,164.717,1764328456,b1b56019
1990090854018768640,组一辈子乐队吧！,187.698,1764328516,a4518b07
1990091025481946880,那个时候的tim看着比现在青涩一点,133.009,1764328537,31835999
1990092152423661824,我的梦里从来没有声音,165.29,1764328671,6b301eb
1990093569293511168,依旧顶楼,196.633,1764328840,146f9d3f
1990094567773067264,左二是海绵宝宝和派大星吗,11.999,1764328959,8b7b7c47
1990094694097105152,666贝多芬本来就是现实的,346.71,1764328974,cf9aac51
1990096604124414720,来的太早了,239.724,1764329202,c921637c
1990096651133596160,被数学耽误的贝斯老师,244.826,1764329207,efe27faf
1990099104440551424,这个老师真的好好啊,257.068,1764329500,c203faba
1990099970724241920,想到了当年长出双腿的那一期,117.971,1764329603,eee2e6ec
1990101634160146944,有的，兄弟，有的,42.756,1764329801,2a865709
1990102276517485312,小学老师成了我的拿外卖的 兼职贝斯手,209.066,1764329878,4788d6d3
1990103198425530880,为爱发电（doge,266.225,1764329988,f54fba6f
1990103333364535808,我的音乐是数学老师教的.jpg,187.683,1764330004,65b99e3d
1990103982215168256,鸡皮疙瘩 哇啊啊,289.934,1764330081,8940cc1d
1990104934993084672,三连奉上,116.305,1764330195,cd6a6a3
1990105152979749632,帅,240.263,1764330221,64505782
1990106310456261888,一定要组一辈子的乐队啊！,250.833,1764330359,cd6a6a3
1990107438875243520,TIM在他右边，让他听的清楚！,355.139,1764330493,cd6a6a3
1990108370002142720,数学老师当贝斯这事好摇滚,194.847,1764330604,c55da53d
1990111562715296000,我以为你是他高中数学老师呢doge,225.922,1764330985,5ea3c623
1990114267034726656,不是所有的手工制品都有情绪，但是好的手工制品具有ai所没有的情绪,65.444,1764331307,10d510b5
1990114881399654912,油侠,238.798,1764331381,d772fffe
