danmaku_id,content,progress,ctime,user_hash
1914451137315502848,第1个弹幕,0.0,1755311559,108903dd
1914451274024310272,666,14.738,1755311576,e6bf1acc
1914452285045050880,这个好啊,116.058,1755311696,336ddb62
1914452524858106624,天马屏( ๑ŏ ﹏ ŏ๑ ),26.154,1755311725,d791b900
1914453907653421312,华星c9+到此一游,29.728,1755311890,73cde5df
1914454623662789120,难崩小天才,185.499,1755311975,29650f81
1914455310429485312,王道吗？那为什么就红魔坚持做屏下摄像头啊？,9.021,1755312057,326c61b5
1914455474275788032,华星路过,31.136,1755312076,3a1b5eb3
1914455829575867392,144,245.833,1755312119,73cde5df
1914456587771692032,120的手机。60的软件。30的视频。看260的手机刷新率,267.236,1755312209,65d74f21
1914457993542836480,300Hz顯示器觀看中,293.95,1755312377,ebd274f7
1914461163916292352,oled不可能没频闪，前面的,67.494,1755312755,f15ed17f
1914463408682903040,可以用更厚的手机壳,95.51,1755313022,a8549340
1914464528939755264,vip？,300.24,1755313156,562aeed
1914465451141239552,华星C8路过,0.0,1755313266,a704d6b6
1914468292857865472,144,247.396,1755313605,53da9468
1914472655261202432,卧槽，毕导（第一排左起第三）,53.387,1755314125,775d82d4
1914474894104838912,中国屏厂牛啊,224.071,1755314391,8739bcc3
1914475060191190272,太对了，哪里有260的手机生态，哪能让手机跑起来260刷新率，先搞好120去吧,270.843,1755314411,1bd0f4d5
1914479062681135104,满溢屏,113.289,1755314888,a22ef3ac
1914479579175801344,我也感觉右边更好一些,209.497,1755314950,975c155d
1914480102910436352,《一些》,261.406,1755315012,51d8261d
1914480910296841728,挺明显的,205.345,1755315109,c0e50651
1914482400440832512,三星E7 2K....,29.53,1755315286,e837504c
1914482481894332160,中兴,126.302,1755315296,cc20bd3f
1914482806785269504,怎么调个黑色的,164.165,1755315335,cc20bd3f
1914484072022229760,游戏机直接去掉前置，就保留一个屏下三D人脸,137.74,1755315486,e837504c
1914485632572011008,苹果的不是3000ppi,176.284,1755315672,ac4d0b55
1914493972919751424,《管 中 窥 豹》,175.726,1755316666,c9b81cd5
1914494130500105984,一小时前！,0.0,1755316685,56404d6a
1914499572265930240,硬件上不护眼的话，其它都是空谈,51.927,1755317333,722016af
1914504109806285312,华星m9,35.514,1755317874,c29f8285
1914507379173821440,一个蒸馏一个印刷,349.416,1755318264,51256d64
1914508556070072320,实际应用要考虑防摔,116.407,1755318404,94d2dead
1914510226183739136,fmm是金属掩膜版蒸镀 vip是光刻,321.662,1755318603,b4820937
1914510574545736704,OLED还是三星LG最厉害,42.284,1755318645,840d5bb2
1914512058272218624,京东方X2路过,44.979,1755318822,e89eb66a
1914513331721723648,因为用红魔的都不怎么在意前摄质量,13.738,1755318974,1a78ad8
1914520949374752768,系统260软件60，差太多用起来会感觉很奇怪的,268.849,1755319882,d5810fcf
1914522645157411072,华为:好的,155.216,1755320084,926dde3c
1914525259232054016,贵啊,155.988,1755320395,75c2d6ab
1914528571289307392,各种特性能集成在一块屏上就牛逼大了,182.861,1755320790,46df3f30
1914531399205992704,1,25.593,1755321127,85832726
1914532009997317376,虎哥（幻视）,181.682,1755321200,606df439
1914544102914486784,会员制屏幕,322.917,1755322642,11884288
1914556987321031168,下一代显示技术不就是microled吗？,80.36,1755324178,90b0171
1914574568510118144,左边那个有红魔姬，肯定红魔手机啊,134.427,1755326274,9f60c1a0
1914587676506801920,没有空更关键,0.86,1755327836,b9abd301
1914587767900990464,1,25.984,1755327847,44ea1812
1914620591005447680,薄这么一点其实可以忽略不计,100.073,1755331760,df5907d6
1914626990792094464,小白测评反而穿了一身黑,16.749,1755332523,a9fe3801
1914638176480848384,卷大电池的尽头是可更换电池,102.219,1755333856,889ba38c
1914638593285128704,上游产品你又买不到,237.74,1755333906,b79558e4
1914640866639761152,120,255.723,1755334177,75292495
1914649007951977472,我显示器还是60呢,254.871,1755335147,8939bc9d
1914659331610466304,我也觉得右边,209.221,1755336378,3833f580
1914661010925880832,144赫兹平时会锁到120赫兹。,248.782,1755336578,7c68a6ca
1914661338433819392,大家仔细看这个屏幕，足够薄足够亮,61.032,1755336617,6f161573
1914663512694217472,手机变薄我就可以买厚点的手机壳了,114.831,1755336877,6c6bad3c
1914671127134375936,触控呢,278.793,1755337784,a1d62870
1914683231123984384,刷新率？苹果退出了群聊,241.115,1755339227,eaa50d8a
1914693545630430208,确实17压根没有那事最快也得等18,155.985,1755340457,1408d05a
1914698879543804416,小米mix4,126.301,1755341093,1491421d
1914705636642637824,5,88.104,1755341898,6240d3a8
1914735981014560256,冷知识，mc随便跑260,283.444,1755345515,19344211
1914739392409384704,有用的啊，nova14ultra就是三分区局部刷新,95.478,1755345922,9463e28d
1914742532449900800,你那壶挺能藏啊,121.65,1755346296,e26dc13b
1914746574156655104,5,142.102,1755346778,353509cc
1914748423173731840,印刷？,310.926,1755346999,7199ea0a
1914750290914102272,三星E6,45.546,1755347221,7dc1d882
1914760491839003392,震撼,116.031,1755348437,ea6d1770
1914767276679374080,夺少！！,183.392,1755349246,e016fdf8
1914768075962645760,144,249.146,1755349341,e016fdf8
1914769156021373184,Real RGB？？？,60.131,1755349470,2c1f52cf
1914769967426152448,左右对调了？但是文字的显示没问题啊。,200.141,1755349567,f4530f71
1914771259573611776,红魔 10pro,126.88,1755349721,30654362
1914785307530810112,LG GVC,49.338,1755351396,ccaf61c4
1914835028950150656,lg只有高端oled厉害吧电视显示器的可以，手机一般重心不在手机上,52.777,1755357323,f6a8e2c1
1914849204766153472,可以，但是得加钱,191.54,1755359013,4d5fc544
1914861253315063808,LG苹果来看,1.0,1755360449,fe7a9505
1914864897780041472,快点应用到手机上把！,300.309,1755360884,21e7fa57
1914865572802507264,2020需要MicroLED了,220.862,1755360964,fe7a9505
1914865967050102272,120,244.094,1755361011,fe7a9505
1914872306790943488,24,254.19,1755361767,257abcbf
1914872670890529536,有无频闪的oled吗,176.04,1755361810,d4afaf37
1914892983787400960,三星屏,14.38,1755364232,143680c3
1914898206669104896,亮度也会更高吧？,342.496,1755364854,98fa2fb2
