danmaku_id,content,progress,ctime,user_hash
1665854228083513602,666 一键整理,52.794,1725541210,f817d707
1665854272744462592,我信,93.439,1725612225,6fa9ed53
1665854273121949952,哈哈2023考了证工资还降了哈哈,10.139,1725612904,bf81c608
1665854273507825920,做上几年累死了,6.376,1725615167,e5f9b9ea
1665854274279577856,可是，我没有年薪三十万啊,2.72,1725619784,b7411a6c
1665854275806304512,是不是得开会员,50.238,1725670603,b10a25d4
1665902785717257984,刚刚弹幕令人忍俊不禁,34.622,1725682287,33f40526
1666196244634149120,这个平台教的东西啊，说实话都挺入门,5.202,1725717270,aecd3caf
1666224092313767680,4399个赞,8.138,1725720590,280d3926
1666990416241618176,惊人的收藏量,15.548,1725811943,3e9ac444
1666992406497508352,亿图图示要VIP,44.936,1725812180,4a38a8da
1666992504468093696,要VIP,49.223,1725812192,4a38a8da
1667040009943658240,还很贵,46.768,1725817855,ddb45854
1667048620228280064,好用的话会全民皆知了，不用你推荐,16.539,1725818881,c5718969
1668288053795909120,你说的那么好收费了吗,16.179,1725966633,53c6e206
1668877659926734848,那怎么就业。,27.698,1726036920,e7e5470a
1669795361939670784,收藏从未停止，实践从未开始[doge_金箍],10.71,1726146318,8eea64d7
1670278410192716800,上b站就够了,66.236,1726203902,75bb9cf3
1672492290108877568,吃灰,17.464,1726467817,a3fbb316
1675509739162890752,学会了加量不加价,38.336,1726827525,26eacfe
1676165776769546752,我下了班不太忙碌的话，坐那个 火营云库，一个月也能两三千上下的吧，很充实。,35.567,1726905731,12783cf4
1677370139277851904,先花钱学，然后不一定赚到钱,44.135,1727049302,d367281
1677482678931102720,你猜我为什么没考上大学,45.703,1727062718,9ef95a4
1677742825627789056,放心，我们只收藏，不会去学的。,15.928,1727093730,193b3388
1678377435534421504,本牙医真的在这找过免费课,6.779,1727169381,38bbb2fa
1678876840019802624,记住了，然后上面好多付费的,13.519,1727228915,dc298284
1678876957527250432,国图的不错,17.399,1727228929,dc298284
1679291917537963520,知道了，都学会了,78.483,1727278396,1ee2d6c3
1715415469630645248,要求不是太高的话，坐 火营云库 就行，一个月三千多的。,40.295,1731584659,4d8318ec
1715416101527673856,闲暇时间坐网上的那个 火营云库 ，一个月3000多，要有执行力哦。,55.718,1731584734,4d8318ec
1743085237023409664,其实大多数进不去,18.826,1734883152,e4f683c9
1746388993740613888,我现在下班做 速-营社，每个月有几千把生活费吧,3.401,1735276991,517b90fd
2025749775534211840,众所周知，越会干活儿的越加班,34.269,1768579391,f642790c
,,0.0,1775645360.3863423,
lb.c,,0.0,1775645360.3863423,
,,0.0,1775645360.3863423,
1665854228083513602,666 一键整理,52.794,1725541210,f817d707
1665854272744462592,我信,93.439,1725612225,6fa9ed53
1665854273121949952,哈哈2023考了证工资还降了哈哈,10.139,1725612904,bf81c608
1665854273507825920,做上几年累死了,6.376,1725615167,e5f9b9ea
1665854274279577856,可是，我没有年薪三十万啊,2.72,1725619784,b7411a6c
1665854275806304512,是不是得开会员,50.238,1725670603,b10a25d4
1665902785717257984,刚刚弹幕令人忍俊不禁,34.622,1725682287,33f40526
1666196244634149120,这个平台教的东西啊，说实话都挺入门,5.202,1725717270,aecd3caf
1666224092313767680,4399个赞,8.138,1725720590,280d3926
1666990416241618176,惊人的收藏量,15.548,1725811943,3e9ac444
1666992406497508352,亿图图示要VIP,44.936,1725812180,4a38a8da
1666992504468093696,要VIP,49.223,1725812192,4a38a8da
1667040009943658240,还很贵,46.768,1725817855,ddb45854
1667048620228280064,好用的话会全民皆知了，不用你推荐,16.539,1725818881,c5718969
1668288053795909120,你说的那么好收费了吗,16.179,1725966633,53c6e206
1668877659926734848,那怎么就业。,27.698,1726036920,e7e5470a
1669795361939670784,收藏从未停止，实践从未开始[doge_金箍],10.71,1726146318,8eea64d7
1670278410192716800,上b站就够了,66.236,1726203902,75bb9cf3
1672492290108877568,吃灰,17.464,1726467817,a3fbb316
1675509739162890752,学会了加量不加价,38.336,1726827525,26eacfe
1676165776769546752,我下了班不太忙碌的话，坐那个 火营云库，一个月也能两三千上下的吧，很充实。,35.567,1726905731,12783cf4
1677370139277851904,先花钱学，然后不一定赚到钱,44.135,1727049302,d367281
1677482678931102720,你猜我为什么没考上大学,45.703,1727062718,9ef95a4
1677742825627789056,放心，我们只收藏，不会去学的。,15.928,1727093730,193b3388
1678377435534421504,本牙医真的在这找过免费课,6.779,1727169381,38bbb2fa
1678876840019802624,记住了，然后上面好多付费的,13.519,1727228915,dc298284
1678876957527250432,国图的不错,17.399,1727228929,dc298284
1679291917537963520,知道了，都学会了,78.483,1727278396,1ee2d6c3
1715415469630645248,要求不是太高的话，坐 火营云库 就行，一个月三千多的。,40.295,1731584659,4d8318ec
1715416101527673856,闲暇时间坐网上的那个 火营云库 ，一个月3000多，要有执行力哦。,55.718,1731584734,4d8318ec
1743085237023409664,其实大多数进不去,18.826,1734883152,e4f683c9
1746388993740613888,我现在下班做 速-营社，每个月有几千把生活费吧,3.401,1735276991,517b90fd
2025749775534211840,众所周知，越会干活儿的越加班,34.269,1768579391,f642790c
,,0.0,1775645360.3863423,
