danmaku_id,content,progress,ctime,user_hash
2082222684225552896,全频带阻塞干扰,161.912,1775311486,d10b125
2082223580028274688,面壁计划,134.14,1775311593,5d5de4a5
2082223720646482688,当时全世界都在震惊,60.301,1775311610,f34d0f07
2082224723697901312,宇宙级无害声明（可逆）,29.063,1775311729,b15c13a1
2082224870279994880,摊牌了，老子不装了,50.671,1775311747,963bd914
2082225742812344320,620驱逐舰,321.084,1775311851,9a5d9143
2082227244339834880,辛识平：新华社时政评论的化名,26.144,1775312030,5a462ea9
2082227821878910720,那可不行！,308.887,1775312099,43642acb
2082227931928885504,哈哈哈哈哈哈,67.418,1775312112,267e586e
2082228158924359424,韬光养晦，高瞻远瞩,56.411,1775312139,6fe34998
2082228318366759936,宇宙安全声明,28.356,1775312158,2b6037f6
2082229094841676032,配图细节,307.024,1775312251,b5bdd957
2082229789259377664,是的，开放，我们一直在开放。融入全球经济,101.261,1775312333,3ab6415
2082229926119505664,这样别国想打压我们，自己也会受影响,101.261,1775312350,3ab6415
2082229943500362496,是的，十多年后才领悟到这三个的重要,202.788,1775312352,1a3f1cf2
2082230833934428416,我们知道桃李不言下自成蹊,299.107,1775312458,1a3f1cf2
2082231516297711104,不会的，只要我们融入全球化，“意识形态”输出也会被动进行,231.491,1775312539,3ab6415
2082231569321673984,活着才有输出，你得挺过最艰难的时候才能说硬气话,231.703,1775312546,3a0f13c0
2082231780773785856,就像我们被西方文化影响，外国人也疯狂来中国旅游一样,231.491,1775312571,3ab6415
2082231875262524928,出镜率最高的狗子,302.139,1775312582,542ea37a
2082232161448208896,将甲方护至身前,322.087,1775312616,d0b08684
2082232421713398784,又把甲方护至身前,320.841,1775312647,3a0f13c0
2082232773187666176,确实..打伊拉克看得好紧张,74.284,1775312689,c0562b55
2082233362219203840,这人笑嘻了,74.429,1775312759,d678df16
2082233534034263040,加入WTO,104.507,1775312780,b79217ed
2082235600206939136,终于要开始清理文娱了，很是期待,42.724,1775313026,e589060f
2082235797339505152,好耶，是续集！！,1.317,1775313050,6ec4b3a4
2082236982725329664,因为实事求是。,256.741,1775313191,9ab394a1
2082238323778979072,好好好，等点赞破万再回来看看弹幕,268.725,1775313351,e725910d
2082238392053390592,先得明白，官方为什么要写这个,195.82,1775313359,1acedc00
2082238690083974400,感谢先烈们的伟大付出！！敬礼o7,164.084,1775313394,6ec4b3a4
2082240051077257984,这个可以说是中国历史上最大的一次豪赌，所幸我们赌赢了,269.005,1775313557,a12b4e34
2082241357518528000,永远怀念,189.033,1775313712,ec4dd681
2082241971002819328,咦？怎么没看到难说怪？,271.487,1775313786,cb4950bc
2082245765606568704,活着才有输出,237.843,1775314238,efba6618
2082246230167744000,先辈们的血与火威慑了老美几十年，也庇佑了我们几十年，为我们争取了那宝贵的发展机会,167.058,1775314293,60f3977d
2082246276070267392,老王眉头一皱将甲方护至身前,322.628,1775314299,a5c435c7
2082249554178536704,现在回头看啊，做的确实不够好有这样那样的问题，但已经是能达到的最优解了,263.146,1775314690,d8e81f36
2082251568199183872,难说呢？怎么都不说了？,282.832,1775314930,9d1d4cbf
2082252248003793408,俱收并蓄,102.108,1775315011,a200cfb1
2082254593249244672,正反老师,80.785,1775315290,5af6e247
2082258141705544960,韬光养晦，大白话：看我装糖,125.834,1775315713,30729deb
2082259453046082560,其实16美国已经打不赢了，因为东风系列是真的可以击沉航母~最后的机会其实的911前后,180.113,1775315870,641d1cb2
2082267888832257536,怎么没有难说怪，不习惯,287.919,1775316875,9affa1bc
2082268170655647488,屈辱啊,156.557,1775316909,a48549fc
2082268597442512640,世界名画,67.073,1775316960,4885f427
2082269465924065280,甲方也是甲嘛,330.032,1775317063,a48549fc
2082273521236902656,美国也确实是这么打算的，“和平演变”,135.147,1775317547,7bf93b88
2082290604486412288,本身是一种卧薪尝胆,103.93,1775319583,af80281
2082294827277782784,我九零后也不是很清楚,60.301,1775320086,23e933d9
2082302495749319936,全频带阻塞干扰,162.204,1775321001,ad443a13
2082309905876157184,先活下来再说,229.489,1775321884,27f50ffe
2082320264464904960,致敬,169.867,1775323119,8c50c458
2082335573497959680,三体还是太超前了，宇宙安全声明是这么用的,24.14,1775324944,cc59d026
2082347610118926080,这点不能黑，现实中实实在在做了,281.534,1775326379,73c28b3e
2082353376121369088,70年前那一拳到现在还在保护我们,170.22,1775327066,3d6620e8
2082353943744689408,解放先得活着才有机会,227.26,1775327134,3d6620e8
2082354230626848256,因为这才实际,255.24,1775327168,3d6620e8
2082365028350907904,_不太常见,143.129,1775328455,46d938a1
2082369783844315136,我80后，可能被保护的太好了，我知道落后，但是还真没什么怕的,54.517,1775329022,340aaa11
2082375493851986432,该下一阶段了,36.28,1775329703,57df7e7c
2082381585592104192,不容易啊,284.827,1775330429,f8ee6a29
2082387853526735872,继续与不断,250.397,1775331176,1a4eb9ea
2082391524489845760,那时候是真的憋屈啊,152.491,1775331614,bcb962c
2082397652888553984,苏联和现在的欧盟差不多，本身就不是铁板一块,79.569,1775332344,facb538
2082405181311983872,既不因害怕而缴械，也不因绝望而孤注一掷，而是选择最正确也最艰苦的长征,265.337,1775333242,76c35ce7
2082406172711432448,内外循环本身就是很神奇的构想,104.92,1775333360,1eaf4e79
2082437391889096192,致敬，力挽狂澜,261.106,1775337082,cdfa4214
2082456806819049216,叶利钦笑跟哭似的,77.46,1775339396,8665fccc
2082509675551032576,不能忘,150.646,1775345698,779a54c
2082515952444032768,他真的我哭死，从生到死都在教育我们,67.713,1775346447,49060e59
2082518780604327680,老王眉头一皱，把甲方护在身前,318.201,1775346784,49060e59
2082521829209559808,抗美援朝的含金量时间越久越大！感恩先烈的无私付出！,165.804,1775347147,5da32411
2082524932541666816,该正本清源了,35.416,1775347517,6abd9f34
2082524980238825728,韬光养晦再夺天时,37.593,1775347523,1dd5152
2082530629899326464,确实，总感觉有什么东西很割裂，原来在这,292.773,1775348196,cb02171b
2082532459010135296,保守派觉得激进派太过保守,262.048,1775348414,4ea2c998
2082533554185207040,里昂（确信）,0.453,1775348545,8d8e75f3
2082534079496716800,《宇宙安全声明》,23.015,1775348608,d038bf0c
2082534488256691456,为了国力，不得不做出妥协,311.767,1775348656,179821bc
2082542303839044608,韬光养晦，有所作为,95.478,1775349588,95aa7574
2082545410047742208,全频带阻塞干扰,160.32,1775349958,53b9b377
2082553387262092800,太极打法,112.384,1775350909,e829b8ed
2082553986686662400,有原子弹，腰杆子就硬,183.664,1775350981,e829b8ed
2082556819619942144,韬光养晦,103.611,1775351318,cfc7269a
2082560831455560192,喜欢一味的猛攻，迟早会耗尽自身的力气,242.915,1775351797,ec9ddc9
2082565091039589632,前面的（手动滑稽）,301.165,1775352304,f3186d9d
2082568409169766912,甲方:请输入文本,322.816,1775352700,729052c0
2082578029083438592,那时候儿，我还是两三岁的样子。,52.709,1775353847,d801c8e3
2082580066785273600,判例法体系的延伸,181.882,1775354090,22b5492
2082580802919246848,不能总寄希望与别人来解放你,249.005,1775354177,22b5492
2082582390781517056,活下来才有资格谈理想,90.659,1775354367,51c80bf0
2082583255722759168,其实并没有，那会军队内部顶多是计算用多少人能堆下来一家战斗机轰炸机，差距确实大，但还没到绝望，夸张了,60.808,1775354470,cc6b822c
2082583353751969280,全频带阻塞干扰,159.26,1775354482,51c80bf0
2082584090548142848,活下去才能谈理想,224.447,1775354569,51c80bf0
2082584131216514560,眉头一皱，将甲方护至身前,351.803,1775354574,e5091d1b
2082584160517865216,输出意识形态救不了世界人民，只能靠他们自己觉醒自主选择道路,298.519,1775354578,565c2e11
2082587965624255488,重点:阵营,42.591,1775355031,530af897
2082588795131977472,苏联≠苏修,68.313,1775355130,530af897
2082591025813478400,我们的历史真的啥都记载过,127.024,1775355396,de5769d8
2082591122861667072,卧薪尝胆,156.865,1775355408,530af897
2082591448029127680,双引号,181.145,1775355446,530af897
2082609774209772032,谢谢爷爷！,195.37,1775357631,4b0b0a63
2082614552973528832,宇宙安全声明？,21.984,1775358201,5662fefd
2082620520670548736,那不一定是我们的责任。,249.37,1775358912,bc3ad348
2082621556974179328,为了能够前进用疯狂的方式活下去,262.502,1775359036,80807eac
2082624421927266304,活着！！！才有未来,109.409,1775359377,ee966124
2082628114844360448,智者千古,223.237,1775359817,a7742239
2082630244007052032,当年伊拉克的死亡公路确实绝望，大量装备和人员就在公路上被炸没了。,82.229,1775360071,36196318
2082638859820108288,永远怀念,188.233,1775361098,1c49e29a
2082654440946880256,这句话让我笑了，不小心点了个赞。,329.231,1775362956,556481aa
2082661758506082048,韬光养晦,95.685,1775363828,e59fd472
2082663383924710656,拿下定义权，就是舆论战重点。自由，文明都应该由中国人自己去定义。,158.928,1775364022,6c31042
2082668157512144128,开幕雷击,0.31,1775364591,6407a892
2082672591327423744,太罕见了,149.114,1775365119,a8b62a91
2082691986074923008,蛰伏,217.351,1775367432,e2596cc1
2082713772506211840,有请可歌可泣的叠甲怪,330.013,1775370029,25879e34
2082715934115836416,解放思想，实事求是！,112.342,1775370286,e429ef54
2082725192932913408,原来降临派是有现实原型的,146.162,1775371390,79b98867
2082737876541905920,暂停文化输出，是加入世贸的条件,208.966,1775372902,520b3c3b
2082740131735243008,一个现实的理想主义！,276.706,1775373171,fb94cf38
2082743048613825536,拨乱反正,41.52,1775373519,a099cf9d
2082746292110817024,功夫是讲究化劲儿的。,112.913,1775373905,d7bb5244
2082746981931240448,三大恨，永不忘！,151.994,1775373988,7592f6c2
2082747279106077696,第一步提出，第二步加入。（doge,184.702,1775374023,d7bb5244
2082751630444606720,每每想起这些，真是太憋屈了，泪目,216.263,1775374542,475d20f3
2082761091553006336,今日之举，不过权计,40.799,1775375670,c234b8a7
2082775974554648832,牛逼,188.754,1775377444,50a42871
2082781325965953024,老鹿：习惯了，还好我有宁静回血,322.442,1775378082,41e1acb7
2082798848509662464,ad出心之钢是对的,111.35,1775380170,5bf3b8c7
2082799547322558976,一寸山河一寸血，十万青年十万兵,170.712,1775380254,90f0ab0a
2082807820394913024,韬光养晦！,116.39,1775381240,2226cfa7
2082809020813106944,111111,67.267,1775381383,50edca36
2082810197818795520,好战必亡啊,250.128,1775381523,50edca36
2082824745225342976,看看现在的伊以美战争中的国力及武力对比，就是中国1996年的困局,205.585,1775383258,f9dcfa9f
2082832907457760000,拥核只是爆掉对面的底牌，自身内功练错该完蛋还是完蛋，参考苏联,169.639,1775384231,30e5fdc8
2082843857468682496,并不算难说（）,283.007,1775385536,4ea76f89
2082848523354933248,是的，实事求是,97.168,1775386092,64ed264a
2082873512213380864,三大恨,165.388,1775389071,d2ec4eb
2082876175360882944,能隐忍才有未来，三千越甲可吞吴的前提是卧薪尝胆，只想着爽一发只是目光短浅的表现,242.239,1775389389,6c77c2f4
2082892378469255168,马云试了一试，说，老王说的对,265.878,1775391320,c25a28e6
2082915544516104960,70狂点赞,75.462,1775394082,cf7380af
2082932728948930560,玩游戏的人真的懂了 真的懂了,241.098,1775396130,924b2793
2082978830515315968,怪都刷出来了,290.044,1775401626,9287d823
2082981061306128128,日常将甲方护在身前,322.118,1775401892,ca5189fb
2082988158169280512,开幕雷击,2.0,1775402738,dfcebc7b
2082989373863419648,弹幕主打叛逆,279.4,1775402883,ea32c162
2082989929222266112,卧薪尝胆,117.0,1775402949,dfcebc7b
2083022086783505152,刷了,290.297,1775406783,81bda4fb
2083033611204209664,换模特了啊,347.042,1775408156,678a553a
2083039666957457664,难说就刷了一个吗？,286.732,1775408878,71788e21
2083117428614989568,这个大体老师没绷住,68.926,1775418148,3528325c
2083277124634522880,只能说，我们不能浪费先烈用生命为我们争取到的未来,176.742,1775437185,a4e5a936
2083300780986911488,穷则独善其身,252.544,1775440006,3798134b
2083375541520137728,盲猜刷怪,277.411,1775448918,7e0e1ce8
2083385461577193728,全是血泪,152.531,1775450100,149dde59
2083392197520173568,？,24.349,1775450903,5f398c67
2083397981088462592,91年萨达姆没有灰飞烟灭呀,56.515,1775451593,6e0d9d77
2083401284455176960,言简意赅，舒服了,29.962,1775451986,2ffea6fe
2083402388882640896,自己顾好自己家的事儿,215.529,1775452118,be112bfe
2083406635413974784,说白了就是卧薪尝胆，我未壮，壮则有变！,99.201,1775452624,663be998
2083422592903582208,开门，自由贸易,105.021,1775454527,bdc5f25f
2083425837675642624,是的，开始演都不演了,32.067,1775454913,3b87bbd3
2083447672920301312,00后并非不知道。,62.051,1775457516,157bb8
2083451506547361536,镜头语言,303.251,1775457973,e91e4372
2083525036237091840,已经开始出现了 ,314.994,1775466739,3f22be40
