danmaku_id,content,progress,ctime,user_hash
2079936231902769408,依旧水下速嚼！,56.115,1775038920,b93881d0
2079936851208854528,残血开局,30.893,1775038994,d53c186e
2079936861333954816,五分钟前Let's go!,7.211,1775038995,58a14d67
2079937388331328512,极限！,189.219,1775039058,d2b18451
2079937807350517504,游戏结束，哪个松饼脑袋让他拿到木头的,70.978,1775039108,d53c186e
2079938278152805632,成就：小屋团灭猎人！,103.021,1775039164,d53c186e
2079938398361793536,[前方高能],183.415,1775039178,bd54ec49
2079938667468332288,蘑菇岛诶,145.494,1775039210,eaa9f445
2079938842966260224,蘑菇岛！这下不缺吃的了,141.762,1775039231,d53c186e
2079939414381425152,这手速,169.848,1775039299,d53c186e
2079939878615384064,极限捡浆果瞬间落地无伤,186.183,1775039355,d53c186e
2079942305968087552,并不新的技巧,56.642,1775039644,dbb3a3a5
2079943288232326144,什么种子我去,138.089,1775039761,dbb3a3a5
2079944070025384192,目前想不到怎么突围出去(◎_◎;),88.302,1775039854,d2ebb20e
2079944140296867584,Sapnap死后甜浆果掉落物刚刚好落在dream的掉落处，dream落地前捡起来的瞬间又放置甜浆果就成功了,194.822,1775039863,d3ce0535
2079945698673736448,天崩开局,31.072,1775040049,9c6c3891
2079945807926963456,转瞬即逝,149.226,1775040062,2e5a9df0
2079946045492161792,依旧水下速嚼,54.735,1775040090,9c6c3891
2079946174257327872,惊险,107.154,1775040105,e8bd20fb
2079946774629967872,徒手杀所有人？？？,102.731,1775040177,9c6c3891
2079947293415255808,转瞬即逝难蚌233,149.356,1775040239,9c6c3891
2079947667588777728,挺罕见的dream用副手搭方块,169.704,1775040283,9c6c3891
2079947885952772608,3*3击杀6猎人doge,109.941,1775040309,3a5011cc
2079948317672650240,上期才解析过的落地图腾原理！,186.029,1775040361,9c6c3891
2079948396332565504,dream讲过这个技巧，是游戏提前摸拟的伤害规避了无浆果摔落,186.029,1775040370,9c6c3891
2079948891545503232,Bad还在惦记那浆果呢,318.622,1775040429,10f66f6e
2079948948898586112,我才注意到旁边有个杜鹃花树，下面应该有个繁茂洞穴,205.601,1775040436,9c6c3891
2079948973779116288,鹦鹉螺诶,229.757,1775040439,3a5011cc
2079949066590656000,高手血量,30.652,1775040450,1e1f18e8
2079949263085572608,《 7 0 0 0 ms 》,245.22,1775040473,9c6c3891
2079949676023176448,berry：n. 浆果 unbearable：adj.不可阻挡的,269.653,1775040523,9c6c3891
2079950151900300800,《berried treasure》,289.654,1775040579,9c6c3891
2079950153754222336,开局有长矛诶,282.4,1775040580,e55e7c00
2079950338152677120,转瞬即逝,149.344,1775040602,1e1f18e8
2079950771768196608,6666,186.118,1775040653,1e1f18e8
2079953790307835392,终于等到彩色特效字幕,0.442,1775041013,140867d9
2079957140734507264,[前方高能],183.525,1775041413,dc4f7a27
2079977053730004480,还是最新版本,267.058,1775043786,2908c70e
2079982564357763328,2026村庄拳击大赛总冠军,110.1,1775044443,8450fcd
2079999817618728704,每日绿水鬼时刻,357.164,1775046500,2733b189
2080000641446653952,Puffy记上期的仇反过来调侃George哈哈哈,48.07,1775046598,1cf3d01a
2080021102209569280,这个开局太刺激了，六个猎人的压制还是强,81.482,1775049037,1a4c4018
2080021450781285888,蓟县！！,101.881,1775049079,1a4c4018
2080044689239311360,省流：有人赢了,0.0,1775051849,46aa321b
2080052852193780736,《似曾相识》,34.669,1775052822,7f701d81
2080060002994766848,谐音梗lol,271.283,1775053675,e53034eb
2080065122814184448,四条命：落地树莓,51.94,1775054285,5f9d6dc0
2080065342965261056,前排提醒：本集非常精彩,0.0,1775054311,52784792
2080065446706625792,游戏结束,74.927,1775054324,5f9d6dc0
2080072511920063232,选错了。,7.323,1775055166,1cd859ac
2080075184345973504,开局就这么刺激,60.35,1775055484,3b02b5b6
2080076003182709248,DDoS：用大量流量挤垮服务器使其无法正常服务，简单理解就是攻击网络,250.143,1775055582,140867d9
2080076960927150592,省流：玩MC的赢了,6.769,1775055696,f985942b
2080090183529104640,dream声音一直好听，只是以前他是个开水壶，这几年做了手术后就不开水壶了,129.528,1775057272,140867d9
2080096065285710592,八角笼中,89.335,1775057974,418007cd
2080113928776190208,是新的！,22.093,1775060103,bbe8ec83
2080114609050312192,经典助推之猎人窝里斗,43.504,1775060184,bbe8ec83
2080117740660269824,还有外界攻击hhh,255.853,1775060558,bbe8ec83
2080118179669765632,谐音梗扣钱ww,291.354,1775060610,bbe8ec83
2080118520834482688,谐音梗玩上头了hh,321.598,1775060651,bbe8ec83
2080128379948329728,开局蘑菇岛,166.263,1775061826,3fc45aa8
2080128593480095744,？？？,187.711,1775061851,3fc45aa8
2080136627241487360,夺少铁？,337.389,1775062809,2dc6c2b8
2080192868605108224,我去长矛！,283.776,1775069513,9a1c16ef
2080390350866391040,目前不知道怎么活,76.779,1775093055,67dd08cd
2080469934823343104,sap死后掉了甜浆果，dream落地瞬间捡起来放下去了,205.632,1775102542,c34c591a
2080470759406789632,扣钱！,297.622,1775102641,c34c591a
