danmaku_id,content,progress,ctime,user_hash
1529213769799163392,？我来早了,136.392,1709387687,1d9c3dfb
1529214111836219648,科技鑫,11.743,1709387727,c23117ee
1529214382453005056,万里香,42.379,1709387760,4f39ca80
1529214383996365568,鑫及飞,0.0,1709387760,beb87b71
1529215521382702080,人工队vs机器队,36.413,1709387895,5904fe9e
1529215545348729088,炼金术士鑫子,164.187,1709387898,74ffc6df
1529215645810594304,罂粟香,355.034,1709387910,b51cefdd
1529216387162259200,鑫子VS妃子,12.435,1709387999,5937aca7
1529216421404639232,炼金术鑫,160.193,1709388003,c9e64321
1529218752028439808,不亏是科技鑫,177.339,1709388280,a7be19a8
1529218803450449664,不愧是你,125.019,1709388287,f523fe7f
1529220194566779136,哎哟卧槽，太狠了,196.477,1709388452,5937aca7
1529220413769733120,《妃子》,69.415,1709388479,4decb340
1529220818889303296,炼金术士,194.747,1709388527,2fc966d1
1529220919116030208,化学家大鑫,153.451,1709388539,8f4f8e9e
1529221155179873280,2,249.713,1709388567,cf14ae07
1529221344469097984,《调试》,219.008,1709388590,a354efb5
1529221425502787072,那胃会不会成黑色啊（Doge）,213.146,1709388599,6d4affb5
1529221506905929472,我爱发明的人机大赛,14.328,1709388609,4e9a66a7
1529221795784536832,cf上号了家人们,139.415,1709388643,b87d202b
1529221847047144192,cf生化模式,151.062,1709388649,10ae8d12
1529222413026401792,这次放5千万的配方,42.8,1709388717,839ee015
1529223025638344704,炼金术,223.68,1709388790,13263b12
1529223053010356736,酌情,148.989,1709388793,f9fb98a6
1529223419340536064,老巫婆的魔法锅,178.322,1709388837,f9fb98a6
1529224228422108416,军备展示,127.858,1709388933,8e76b548
1529224506252770048,人工组                                                          机器组,24.962,1709388966,4e9a66a7
1529225326968869376,牛逼,202.041,1709389064,51a50213
1529225503977212160,升仙的小曲,294.889,1709389085,6dfea07
1529226078487390720,我欣慰的笑了,337.052,1709389154,424794bf
1529226347711360000,屏幕前的你也一定笑了,337.052,1709389186,424794bf
1529227106502888192,女巫的药水,222.899,1709389276,4ef20bbd
1529227160014205696,《妃子》,60.979,1709389283,4c171e99
1529228262788952320,伞子表情像嗑嗨了,318.28,1709389414,839ee015
1529229368356835072,一锅科技,204.419,1709389546,e6499b9f
1529229675346693120,纯加长（,102.488,1709389583,4c400735
1529229734955979520,上鞋垫,241.579,1709389590,e6499b9f
1529230263539122432,科技鑫,23.957,1709389653,86d4ac1e
1529230933612741632,笑死我了，科技遥遥领先,133.001,1709389733,ed46852c
1529232936417794816,不愧是科技,359.704,1709389971,ed46852c
1529233260755126528,我先吃加长的（doge,286.323,1709390010,4c400735
1529234882256346880,不只是渗透骨髓  穿越墙壁了这是,280.52,1709390203,6832ad0a
1529235291142130688,辛吉飞：加多了倒沫子啊家人们,163.807,1709390252,569f1378
1529235460910872576,临床人体实验,305.048,1709390272,6832ad0a
1529235639151879168,一小包,148.598,1709390294,d0cb0558
1529235679249637888,好，放拖鞋,211.71,1709390298,621b4002
1529236820100345344,一个科技鑫一个辛集飞,12.379,1709390434,776a9541
1529237293259620352,军火库（bushi）,124.74,1709390491,d98fe6ae
1529237517613057024,科技骨头应该用侏罗纪冻骨头,32.739,1709390518,2266de5e
1529238709390565120,科技鑫+家常飞=鑫技飞doge,33.56,1709390660,e82b32cc
1529239496947072256,人工队和机器队,23.827,1709390753,129538f7
1529239729806304000,鑫吉飞,16.136,1709390781,74af6a48
