danmaku_id,content,progress,ctime,user_hash
1281239349304100864,《暂时》,61.528,1679826832,f55b8881
1281239841287560960,宝贝！！！,2.959,1679826891,df5c17a7
1281241726677255680,宝贝衣服真好看,8.636,1679827115,b2a92115
1281245152727332864,让我记住也非常的困难,69.729,1679827524,3666102f
1281247377822790912,双开,106.932,1679827789,336ca0
1281248328679648000,会替换掉底层码农，不会替代程序员,28.157,1679827902,1605aec2
1281248535199045120,华子瘦了【重点错,0.081,1679827927,dd3c7a93
1281249386659220992,我还以为是都用ChatGPT回复（,12.898,1679828029,fdb54d02
1281258071301356544,裁掉的人全去卷后端，到时候后端变少，又去卷剩下的职业，不停降低行业平均薪酬,163.108,1679829064,4c9c4940
1281264272001042176,靠他真的好帅啊…,85.618,1679829803,2a5c3233
1281272507088785152,好帅，谢谢你伟大的脸,15.803,1679830785,445a7376
1281274525815897856,他是真的在试图让我理解,94.2,1679831025,75e27cf4
1281276492726486528,他只是在让有兴趣的人懂,98.367,1679831260,fea36950
1281279429670205440,暂时,64.992,1679831610,ece81e56
1281294856462838272,很难不赞同,38.299,1679833449,ea0e255f
1281303600160688896,没关系反正我也听不懂,139.54,1679834491,7318dba5
1281304279999029248,你不懂又不代表别人听不懂,101.651,1679834572,a56ad281
1281306172946824448,《不容乐观》《暂时》,64.398,1679834798,fbf57be1
1281309358797654528,《暂时》,66.099,1679835178,bb079c73
1281323143839115520,哈哈哈哈哈，过俩月自己都看不懂了,242.778,1679836821,97eff1bd
1281323291260376576,《暂时》,65.385,1679836839,d81b38fd
1281329151097316352,昨天用gpt写了个贪吃蛇,209.819,1679837537,29980be7
1281331046981698048,不困难，fine-tuning加few shot我们目前正在做demo,75.059,1679837763,e83d9eea
1281331890020090624,哈哈哈哈哈哈哈哈哈md不要扎我心,231.294,1679837864,f7876c44
1281336776954299648,我还以为前端没这么容易被替代呢,160.379,1679838446,461c6b43
1281337732819787776,没事，我不懂但我可以盯脸,105.819,1679838560,151db742
1281338925092241152,头发扎眼睛吗华子,146.448,1679838702,71358444
1281342358365119744,好了开始听不懂,83.416,1679839112,529a36b3
1281342791242239744,原来chatgpt plus就是gpt4嘛？？？,244.565,1679839163,f729ef30
1281345331883398144,小华说的东西我从来就没听懂过，但是我舍不得取关,99.661,1679839466,fde0d125
1281347024670827520,真相了,234.1,1679839668,596411b2
1281351250080091648,？？？？？？？？？？对不起 我做了10年的前端 听不懂你在说什么,154.693,1679840172,ef8706d0
1281354877381343488,copilotX,92.422,1679840604,8a8c181a
1281357672943648512,是的，前端没有业务逻辑，除非你们部门没有开发规范,194.416,1679840937,f3d7578
1281358592091646464,猛地一看小华没洗头（doge,30.858,1679841047,35768305
1281361590918056448,十年前端不知道react和vue？,165.075,1679841404,c531c3d6
1281361739069729280,上B站热搜啦,6.139,1679841422,73c14ed9
1281364813913543936,老板：你们可以毕业了,8.764,1679841789,f8fa509b
1281366109987014912,格子衫？。,12.459,1679841943,e066fe84
1281369153592502016,那是哪种工作？绘画，音乐，动漫都能搞了,34.779,1679842306,8ca4fe82
1281370297303393536,保护保护,132.307,1679842442,ce6030de
1281372913047447296,第一个：会计（逃跑,130.954,1679842754,bab3134e
1281376609781166848,偏题一下，肩膀好宽哈哈哈哈哈,152.802,1679843195,2e7a3130
1281376986505259264,太帅了听不懂,104.999,1679843240,f61751c2
1281378818585863424,如果chatgpt能取代掉创造他的程序员，那就可以,27.683,1679843458,ec414198
1281382258133092096,ai会计不能坐牢啊,137.73,1679843868,7420412a
1281383022880656128,他说的中文我怎么听不懂,115.179,1679843959,75b8543e
1281386927047980288,别是安排了人工在后边回答吧,268.182,1679844425,8c772f1d
1281389953548603648,我们语文考完英语考，不止一遍了，高三生,15.454,1679844785,ccc08a42
1281392545528012800,我们也语文考完英语考，湖南高三生,19.339,1679845094,e30af0a
1281392561658988032,是的，我现在都用gpt帮我写配置文件、python处理文档，自己看着文档写实现浪费精力，gpt写出来我就改改能用ok,51.98,1679845096,68750523
1281394454959543808,人工回答搞笑吗,272.674,1679845322,18d17f33
1281424378760208384,最让人头疼的是它会限制单次回答的行数，所以如果一段代码非常复杂，它可能会回答不完整,265.742,1679848889,c5f2becb
1281427893838668032,我已经听不懂了哥,97.019,1679849308,4695c649
1281431212120000000,最重要的是chatGPT已经实现了从0到1，后面迭代的速度指不定多快，初级前端危,225.799,1679849704,d94d4aec
1281434159793262336,CRUD工程师/doge,36.045,1679850055,195482cc
1281450145829299200,帅死了,6.329,1679851961,cddadf40
1281459587803031040,CRUD Boy,142.792,1679853087,551325ee
1281465017740430080,对，游戏做得好很复杂,208.939,1679853734,52bf632b
1281470962453467648,最后一句总算听懂了,275.614,1679854443,99569688
1281509260064455424,前端有业务逻辑的,208.268,1679859008,3401b870
1281510350743088896,我倒是觉得前端和人工智能结合很好呢,87.632,1679859138,3401b870
1281539455337119744,《成熟方案》,239.267,1679862607,f9909c38
1281559497793653248,Copilot x 表示”我可以”,75.89,1679864997,7c01c1f1
1281651029762486784,听不懂但认真听,97.128,1679875908,eb515bf
1281666387919782144,写框架是chatgpt做不到的,41.732,1679877739,6cf4c2a0
1281672124360487168,对项目的理解才是最重要的,247.749,1679878423,fe093a4a
1281691833478511104,到时有框架版ChatGPT,70.246,1679880772,a6aed1f5
1281702025670777344,这不就会有涉密问题，哪个公司能把自己产品代码全量upload,91.959,1679881987,fb80de2e
1281705060669157120,前端只是表皮简单，深了很难,155.914,1679882349,849bbaf9
1281705368858376192,别急，这才几个月呢,269.361,1679882386,126a45a3
1281705453398589184,太帅了帅了哦听不见,22.843,1679882396,4504ae53
1281706619977100800,黑客帝国要来了，不是伪命题。有个游戏名字真好，叫《人类，一败涂地》[doge],1.963,1679882535,69cdbff6
1281723724063866880,蜂群文化,9.556,1679884574,897d1df3
1281733489988792320,中文真好,116.658,1679885738,fd8ab4f8
1281734201242178048,按我们部门产品经理的尿性，我敢保证前端不会那么容易被替代,201.298,1679885823,421cf668
1281734363930920448,规范的前端就是最好没有业务逻辑啊,197.955,1679885842,98a7ffdb
1281738908157085952,听不懂但太帅了,112.017,1679886384,a4a604e
1281743755044707328,好帅 我男的都觉得帅,13.284,1679886962,a2117c5a
1281753727539250688,说人工呀回答的话能别自欺欺人了么？好可怜啊,278.951,1679888151,f439b7b7
