danmaku_id,content,progress,ctime,user_hash
1627125967313143296,外卖谁买？,3.178,1721059730,662a7a21
1627213586155954432,外卖谁买，机器人？,8.219,1721070175,d8779a92
1627590788127064576,ai会上楼梯？,19.756,1721115141,83ae7f31
1627666015502813952,那人去哪了？？,14.439,1721124109,a8fcf447
1628143516679211008,AI能代替 专家/领导么 doge,16.415,1721181031,dcb9085c
1628250756920697344,Ai,10.699,1721193815,7190a9d3
1628364426031956736,会计不会被代替，因为ai不会坐牢,16.239,1721207366,fe26665c
1628543575182957824,支持,4.476,1721228722,5853fc39
1628687949401164288,会计出纳会背锅啊,14.72,1721245933,e469a773
1628831746223065088,送外卖的消失了，外卖员怎么消失,9.07,1721263075,dca3d5a9
1628881711851110400,机器人吃外卖,16.459,1721269031,67621fd2
1629163235481824512,不会的,0.306,1721302591,afb4bd91
1629182436695286784,会计不会被取代，AI又不会坐牢,15.504,1721304880,5bb63fd1
1631139670069332480,此人非常有远见性。,7.269,1721538201,90afd77
1636739615052598272,从不点外卖，从我做起,0.369,1722205766,70976320
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1627125967313143296,外卖谁买？,3.178,1721059730,662a7a21
1627213586155954432,外卖谁买，机器人？,8.219,1721070175,d8779a92
1627590788127064576,ai会上楼梯？,19.756,1721115141,83ae7f31
1627666015502813952,那人去哪了？？,14.439,1721124109,a8fcf447
1628143516679211008,AI能代替 专家/领导么 doge,16.415,1721181031,dcb9085c
1628250756920697344,Ai,10.699,1721193815,7190a9d3
1628364426031956736,会计不会被代替，因为ai不会坐牢,16.239,1721207366,fe26665c
1628543575182957824,支持,4.476,1721228722,5853fc39
1628687949401164288,会计出纳会背锅啊,14.72,1721245933,e469a773
1628831746223065088,送外卖的消失了，外卖员怎么消失,9.07,1721263075,dca3d5a9
1628881711851110400,机器人吃外卖,16.459,1721269031,67621fd2
1629163235481824512,不会的,0.306,1721302591,afb4bd91
1629182436695286784,会计不会被取代，AI又不会坐牢,15.504,1721304880,5bb63fd1
1631139670069332480,此人非常有远见性。,7.269,1721538201,90afd77
1636739615052598272,从不点外卖，从我做起,0.369,1722205766,70976320
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1627125967313143296,外卖谁买？,3.178,1721059730,662a7a21
1627213586155954432,外卖谁买，机器人？,8.219,1721070175,d8779a92
1627590788127064576,ai会上楼梯？,19.756,1721115141,83ae7f31
1627666015502813952,那人去哪了？？,14.439,1721124109,a8fcf447
1628143516679211008,AI能代替 专家/领导么 doge,16.415,1721181031,dcb9085c
1628250756920697344,Ai,10.699,1721193815,7190a9d3
1628364426031956736,会计不会被代替，因为ai不会坐牢,16.239,1721207366,fe26665c
1628543575182957824,支持,4.476,1721228722,5853fc39
1628687949401164288,会计出纳会背锅啊,14.72,1721245933,e469a773
1628831746223065088,送外卖的消失了，外卖员怎么消失,9.07,1721263075,dca3d5a9
1628881711851110400,机器人吃外卖,16.459,1721269031,67621fd2
1629163235481824512,不会的,0.306,1721302591,afb4bd91
1629182436695286784,会计不会被取代，AI又不会坐牢,15.504,1721304880,5bb63fd1
1631139670069332480,此人非常有远见性。,7.269,1721538201,90afd77
1636739615052598272,从不点外卖，从我做起,0.369,1722205766,70976320
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1627125967313143296,外卖谁买？,3.178,1721059730,662a7a21
1627213586155954432,外卖谁买，机器人？,8.219,1721070175,d8779a92
1627590788127064576,ai会上楼梯？,19.756,1721115141,83ae7f31
1627666015502813952,那人去哪了？？,14.439,1721124109,a8fcf447
1628143516679211008,AI能代替 专家/领导么 doge,16.415,1721181031,dcb9085c
1628250756920697344,Ai,10.699,1721193815,7190a9d3
1628364426031956736,会计不会被代替，因为ai不会坐牢,16.239,1721207366,fe26665c
1628543575182957824,支持,4.476,1721228722,5853fc39
1628687949401164288,会计出纳会背锅啊,14.72,1721245933,e469a773
1628831746223065088,送外卖的消失了，外卖员怎么消失,9.07,1721263075,dca3d5a9
1628881711851110400,机器人吃外卖,16.459,1721269031,67621fd2
1629163235481824512,不会的,0.306,1721302591,afb4bd91
1629182436695286784,会计不会被取代，AI又不会坐牢,15.504,1721304880,5bb63fd1
1631139670069332480,此人非常有远见性。,7.269,1721538201,90afd77
1636739615052598272,从不点外卖，从我做起,0.369,1722205766,70976320
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1627125967313143296,外卖谁买？,3.178,1721059730,662a7a21
1627213586155954432,外卖谁买，机器人？,8.219,1721070175,d8779a92
1627590788127064576,ai会上楼梯？,19.756,1721115141,83ae7f31
1627666015502813952,那人去哪了？？,14.439,1721124109,a8fcf447
1628143516679211008,AI能代替 专家/领导么 doge,16.415,1721181031,dcb9085c
1628250756920697344,Ai,10.699,1721193815,7190a9d3
1628364426031956736,会计不会被代替，因为ai不会坐牢,16.239,1721207366,fe26665c
1628543575182957824,支持,4.476,1721228722,5853fc39
1628687949401164288,会计出纳会背锅啊,14.72,1721245933,e469a773
1628831746223065088,送外卖的消失了，外卖员怎么消失,9.07,1721263075,dca3d5a9
1628881711851110400,机器人吃外卖,16.459,1721269031,67621fd2
1629163235481824512,不会的,0.306,1721302591,afb4bd91
1629182436695286784,会计不会被取代，AI又不会坐牢,15.504,1721304880,5bb63fd1
1631139670069332480,此人非常有远见性。,7.269,1721538201,90afd77
1636739615052598272,从不点外卖，从我做起,0.369,1722205766,70976320
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1627125967313143296,外卖谁买？,3.178,1721059730,662a7a21
1627213586155954432,外卖谁买，机器人？,8.219,1721070175,d8779a92
1627590788127064576,ai会上楼梯？,19.756,1721115141,83ae7f31
1627666015502813952,那人去哪了？？,14.439,1721124109,a8fcf447
1628143516679211008,AI能代替 专家/领导么 doge,16.415,1721181031,dcb9085c
1628250756920697344,Ai,10.699,1721193815,7190a9d3
1628364426031956736,会计不会被代替，因为ai不会坐牢,16.239,1721207366,fe26665c
1628543575182957824,支持,4.476,1721228722,5853fc39
1628687949401164288,会计出纳会背锅啊,14.72,1721245933,e469a773
1628831746223065088,送外卖的消失了，外卖员怎么消失,9.07,1721263075,dca3d5a9
1628881711851110400,机器人吃外卖,16.459,1721269031,67621fd2
1629163235481824512,不会的,0.306,1721302591,afb4bd91
1629182436695286784,会计不会被取代，AI又不会坐牢,15.504,1721304880,5bb63fd1
1631139670069332480,此人非常有远见性。,7.269,1721538201,90afd77
1636739615052598272,从不点外卖，从我做起,0.369,1722205766,70976320
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1627125967313143296,外卖谁买？,3.178,1721059730,662a7a21
1627213586155954432,外卖谁买，机器人？,8.219,1721070175,d8779a92
1627590788127064576,ai会上楼梯？,19.756,1721115141,83ae7f31
1627666015502813952,那人去哪了？？,14.439,1721124109,a8fcf447
1628143516679211008,AI能代替 专家/领导么 doge,16.415,1721181031,dcb9085c
1628250756920697344,Ai,10.699,1721193815,7190a9d3
1628364426031956736,会计不会被代替，因为ai不会坐牢,16.239,1721207366,fe26665c
1628543575182957824,支持,4.476,1721228722,5853fc39
1628687949401164288,会计出纳会背锅啊,14.72,1721245933,e469a773
1628831746223065088,送外卖的消失了，外卖员怎么消失,9.07,1721263075,dca3d5a9
1628881711851110400,机器人吃外卖,16.459,1721269031,67621fd2
1629163235481824512,不会的,0.306,1721302591,afb4bd91
1629182436695286784,会计不会被取代，AI又不会坐牢,15.504,1721304880,5bb63fd1
1631139670069332480,此人非常有远见性。,7.269,1721538201,90afd77
1636739615052598272,从不点外卖，从我做起,0.369,1722205766,70976320
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1627125967313143296,外卖谁买？,3.178,1721059730,662a7a21
1627213586155954432,外卖谁买，机器人？,8.219,1721070175,d8779a92
1627590788127064576,ai会上楼梯？,19.756,1721115141,83ae7f31
1627666015502813952,那人去哪了？？,14.439,1721124109,a8fcf447
1628143516679211008,AI能代替 专家/领导么 doge,16.415,1721181031,dcb9085c
1628250756920697344,Ai,10.699,1721193815,7190a9d3
1628364426031956736,会计不会被代替，因为ai不会坐牢,16.239,1721207366,fe26665c
1628543575182957824,支持,4.476,1721228722,5853fc39
1628687949401164288,会计出纳会背锅啊,14.72,1721245933,e469a773
1628831746223065088,送外卖的消失了，外卖员怎么消失,9.07,1721263075,dca3d5a9
1628881711851110400,机器人吃外卖,16.459,1721269031,67621fd2
1629163235481824512,不会的,0.306,1721302591,afb4bd91
1629182436695286784,会计不会被取代，AI又不会坐牢,15.504,1721304880,5bb63fd1
1631139670069332480,此人非常有远见性。,7.269,1721538201,90afd77
1636739615052598272,从不点外卖，从我做起,0.369,1722205766,70976320
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1627125967313143296,外卖谁买？,3.178,1721059730,662a7a21
1627213586155954432,外卖谁买，机器人？,8.219,1721070175,d8779a92
1627590788127064576,ai会上楼梯？,19.756,1721115141,83ae7f31
1627666015502813952,那人去哪了？？,14.439,1721124109,a8fcf447
1628143516679211008,AI能代替 专家/领导么 doge,16.415,1721181031,dcb9085c
1628250756920697344,Ai,10.699,1721193815,7190a9d3
1628364426031956736,会计不会被代替，因为ai不会坐牢,16.239,1721207366,fe26665c
1628543575182957824,支持,4.476,1721228722,5853fc39
1628687949401164288,会计出纳会背锅啊,14.72,1721245933,e469a773
1628831746223065088,送外卖的消失了，外卖员怎么消失,9.07,1721263075,dca3d5a9
1628881711851110400,机器人吃外卖,16.459,1721269031,67621fd2
1629163235481824512,不会的,0.306,1721302591,afb4bd91
1629182436695286784,会计不会被取代，AI又不会坐牢,15.504,1721304880,5bb63fd1
1631139670069332480,此人非常有远见性。,7.269,1721538201,90afd77
1636739615052598272,从不点外卖，从我做起,0.369,1722205766,70976320
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1627125967313143296,外卖谁买？,3.178,1721059730,662a7a21
1627213586155954432,外卖谁买，机器人？,8.219,1721070175,d8779a92
1627590788127064576,ai会上楼梯？,19.756,1721115141,83ae7f31
