danmaku_id,content,progress,ctime,user_hash
48250997280604165,老四~,44.5,1619173648,a0750013
48251144936882179,工地英语,38.089,1619173930,3534c9e
48251374962999301,老丝~,39.258,1619174369,fa0b374e
48251451086995459,我是你们的铁哥们斯坦，让我们一起开始逐梦夜之城的新一天吧。（doge）,26.839,1619174514,247a1d84
48251502963195909,听过中文来听英文复习一遍,229.895,1619174613,396edf96
48251536270163973,我竟然在看英文版的，飘了飘了,28.972,1619174676,42a03f9c
48251616619397127,6666,14.034,1619174829,58f4406c
48251778731868167,学数学送英语,30.776,1619175139,17f31f90
48251862530916357,浩宋（doge）,17.841,1619175299,bff35cd6
48251886378680323,2倍速正常,173.92,1619175344,4c31985f
48251934365712391,你英文名不是mouse吗,26.559,1619175435,bb1567a3
48252114569789445,这可不能倍速了，能力有限,206.868,1619175779,66c52635
48252147196231685,线代学习？,38.558,1619175841,d2e62108
48252155118223367,我以为英文名字是ice呢(狗头),23.073,1619175857,300e9b33
48252155148632067,弹幕逐渐变少,275.758,1619175857,9676dec1
48252182252748871,老师喝了酒吗？,71.999,1619175908,96fbb3dc
48252243392069635,我竟然听懂了,290.256,1619176025,44c8389b
48252255743770631,我想知道其他135个人是抱着什么目的看的？？,200.757,1619176049,d7736bd8
48252446609768455,是eminem的粉丝嘛,38.899,1619176413,65bbf805
48252535030415363,我发现了啥,9.175,1619176581,3b00861c
48252602415054855,还挺有意思的,279.526,1619176710,629ef715
48252831783714819,这英语好苏啊,27.699,1619177147,789c1bc3
48252878720598019,中文的都没搞明白我居然在看英文的，我很牛逼,84.553,1619177237,17f7e9b0
48252987270234115,"No,you are BIG ICE MOUSE",58.268,1619177444,b4a0a0c8
48253092406231047,这可不敢2倍速了,0.0,1619177644,3589c50c
48253580463308807,热乎的,25.448,1619178575,e6966a28
48253595194753031,hhh看见英语版忍不住点进来了,241.058,1619178603,6a71b7af
48253600647348229,老师平变直角坐标系怎么说,125.863,1619178614,d3d7e070
48254061035651079,居然特别想看,30.439,1619179492,d378db48
48254245970378755,我怎么觉得是老师喝醉发的,343.965,1619179845,c4c4ed8e
48254296576229381,老丝～,40.776,1619179941,77b985ec
48254343279804423,国际宋,40.269,1619180030,bd188cb8
48254416628219911,老斯～,44.259,1619180170,8cbaac25
48254536124989445,宋式英语,41.852,1619180398,4f881164
48254783683821571,怎么没字幕哈哈哈哈哈哈,43.064,1619180870,c1c91bd4
48255038705893379,so the first chapter is vector ,53.755,1619181357,82db574f
48255132150792199,or three numbers to describe something like your location ,91.877,1619181535,82db574f
48255190569582595,So two numbers 1 1will give you location ,109.392,1619181646,82db574f
48255200368001091,So we need vectors ,114.86,1619181665,82db574f
48255249596022789,So this is vector addition ,129.556,1619181759,82db574f
48255265062518791,"This is one vector,this is another vector",133.059,1619181788,82db574f
48255276236668935,This is addition ,136.449,1619181810,82db574f
48255279139127299,四蛋哈哈哈哈,32.786,1619181815,4c202e33
48255311423733765,And this is scalar multiplication ,142.591,1619181877,82db574f
48255348905607171,"In n-tuples of real numbers,that means",157.604,1619181948,82db574f
48255374215086085,We would like to need two numbers or three numbers ,163.08,1619181997,82db574f
48255409055596547,"If this is (1,1,1),so this is R3",183.245,1619182063,82db574f
48255464160362503,一样的语速,36.556,1619182168,3173451d
48255477851095045,"That means if it’s Rn, that we need n numbers to describe a scene ",191.955,1619182194,82db574f
48255509413756935,"So if it’s R3, that means we need three numbers to describe a scene ",204.05,1619182254,82db574f
48255587892854789,老丝～,48.469,1619182404,81171208
48255796781776901,怎么一股啥说不清的味二呢哈哈哈哈哈,183.752,1619182803,5b7116dc
48255954029379589,好奇心让我点了进来,17.339,1619183102,1d0eb642
48255973704335363,Scalar Multiplication - 标量乘法,141.612,1619183140,a4ecffc7
48256068437409797,chipter是啥 哈哈哈,57.108,1619183321,1612e284
48256752437166083,laosi～,38.959,1619184625,5e458f6
48256807175454725,哈哈 勺子柄同学,31.96,1619184730,a9252a01
48256835063382021,劳司～,40.599,1619184783,3d481dfc
48256872455077891,so～！,64.37,1619184854,3d481dfc
48256910394130435,南ber～,121.47,1619184927,3d481dfc
48256958062395397,不愧是勺子柄同学,32.595,1619185017,ae16bfdc
48256958626004999,1-1-1,183.77,1619185018,3d481dfc
48257052219277319,学英语和好奇线性代数怎么用英语讲课,208.244,1619185197,737af4df
48257294918483973,溜了溜了,297.118,1619185660,a5a23466
48257895235584007,救命线代没看懂英文口音还被带偏了,76.929,1619186805,67b27d67
48258260039892999,威海式英语哈哈哈,52.537,1619187501,45a38728
48258286911750147,威海人觉得这实在太亲切了。,96.232,1619187552,45a38728
48261287445004291,怎么一股咖喱味,96.258,1619193275,f67ec06a
48262537309323267,啊~,145.216,1619195659,e78e13e6
48263035969077255,世界的参差,91.939,1619196610,9f70e2d9
48276009822191623,？？？,12.901,1619221356,1e2c4972
48277106206441477,这我爱了啊,216.408,1619223447,45ed6921
48278206445256709,四蛋,28.769,1619225546,bb8e0de2
48280722124832775,震惊！居然有英文版,4.999,1619230344,61504e97
48283965460054023,嗷,224.22,1619236530,c0eb3bd4
48284095440486407,走上国际化,20.179,1619236778,61bd1cf2
48287053418856455,你是姆爷粉丝吗哈哈哈哈哈stan,53.7,1619242420,1387bc42
48293953246593027,那不是星战里的机器人吗,300.918,1619255580,6aa7f5ef
48294366920310791,国际化了吗,50.429,1619256369,d69bcb87
48294739233996807,什么时候来西交利物浦大学上课？,65.181,1619257079,9e8dc792
48296704876740611,以后线代英语一起学,16.771,1619260828,d0082940
48296730549551109,Amazing ,330.059,1619260877,2cd18aa3
48297640992964615,西浦狂喜,101.024,1619262614,73d04773
48297954853781511,有人知道这是哪本教材吗……,314.616,1619263213,75f31918
48298683698511875,气泼特er,72.233,1619264603,379c1cc2
48299638595256327,笑死，还得开倍速,105.303,1619266424,235094f8
48300330557898757,别说，我还能听懂一部分doge,93.659,1619267744,d6e82647
48301091311321093,我四级还没过居然听懂了,188.071,1619269195,10cd8ad1
48301109410791427,姆爷粉丝也叫stan哈哈哈,32.682,1619269229,44dc077c
48301553858641923,刚看完高数 过来放松一下,215.074,1619270077,3f1de210
48302113983299591,hhhhh笑死我了,79.399,1619271146,707e5e7c
48303195458371589,有种河南话的感觉哈哈哈哈哈哈哈哈哈哈笑死我了,58.86,1619273208,393e228a
48303574687940611,跟我一样，过渡全靠so～,159.082,1619273932,6c878526
48304937675259909,笑死人了哈哈哈哈哈,42.979,1619276531,4431dddb
48305277505634309,工地英语,41.419,1619277180,4909065
48305507533848581,寝室姐妹们看到都表示惊呆,17.214,1619277618,50da0796
48307102650728453,是个技术活儿，当赏！两个大硬币已然入账,69.27,1619280661,a6439f76
48308125320609795,弱弱的问一句，外国人也学代数吗？,202.639,1619282611,575db25b
48308458003890179,我叫eminem（滑稽）,24.333,1619283246,c531fe2a
48320828751216643,外国人讲课真的one add two,248.208,1619306841,a1a3466d
48325906671861767,好走不送简称好送,16.745,1619316527,5ee7422f
48330123358240775,练习英语听力,37.574,1619324569,6b72cfd8
48333252525555717,厉害了,15.825,1619330538,7a142edf
48334304709705733,是不是想笑死我,58.895,1619332544,337e02a7
48337989455577093,老师好像喝醉了,96.859,1619339573,8d2bd742
48343217403330565,国际浩,33.253,1619349544,8e9d2a3a
48343310489616389,笑死我了,29.765,1619349722,6fdb0e9a
48345349584060419,牛,199.458,1619353611,a054cf34
48346713221496839,管他听不听得懂，这个场子一定的给他撑起来,14.55,1619356212,7ff7e476
48371823451045895,工地英语,52.778,1619404106,98c2aa5d
48376837398593539,外 服 更 新,1.626,1619413669,a2b2dc5b
48388713222242311,牛啊！！！,30.723,1619436320,40909bd4
48389018105151493,我哥也没想到,319.685,1619436902,ae19df
48393447408664581,笑死了！,78.839,1619445350,f1367a21
48419439996043267,听这个可以过四级么（手动狗头）,62.859,1619494927,e2b1431d
48433933948813315,听英文版顺便联系听力,50.674,1619522572,8492c578
48474126733541379,等我中文版的线代学会了，我就拿这个版本复习哈哈哈,223.685,1619599234,23a85afb
48482980825923587,工地英语,96.556,1619616122,3cb0c32d
48501562946355205,想学英语的来听宋老师讲课,142.863,1619651564,c8ab7e99
48661756683747331,sooo ~~~~,145.775,1619957110,5136a32b
48692659111329797,点了倍速之后就很标准了,95.301,1620016051,7c6c6d57
48699771997650951,so~~,130.368,1620029618,d76242e4
48778678755131397,二倍速好流畅哈哈,321.869,1620180121,1f484496
48803119439020039,我居然也听懂了,117.647,1620226738,5537b87
48803234491924485,so~好有灵魂,139.264,1620226957,f8fa8ab1
48838525472735239,瞧瞧我发现了什么,48.502,1620294269,fc13f1d2
48842378426449923,大家试试开0.5倍速吧,266.934,1620301618,89f1d415
48842963883655171,宋浩无敌,215.872,1620302735,2c85ec90
48871942098255875,不知道为啥我老想笑，兄弟们,28.232,1620358006,85354149
48888794959577093,不行了，我要笑晕了,208.957,1620390151,f016999a
48922678545874949,你们能不能像我一样认真学习,57.874,1620454779,a4822f6f
48922817863876613,招募野生字幕君,35.199,1620455044,15a51b9
48926917840601093,不知死活的我竟然点进来了,161.058,1620462864,36e50135
48978648021073925,？？？？？,12.16,1620561532,3d9b8ae4
48979887096594439,hhh感觉就是讲给我们听的，外国人莫得（doge）,160.199,1620563895,527e0a96
48984488057765895,宋老师说英语也是这个语速哈哈哈,39.359,1620572671,4268b399
48985829161304067,这个是给他们学校中外合办专业上的吧,1.613,1620575229,becc333c
49012766820794375,喜剧版线代…？？？,20.279,1620626608,d3ad5f5a
49014481669849093,笑死，老师不会说平方立方,193.282,1620629879,5050938f
49015233591115783,2倍速妙啊,356.604,1620631313,757cd51c
49022970853064707,不行了xswl,73.968,1620646071,fd2e45b4
49028854608560133,廋欧～,162.337,1620657293,aec8b271
49029794241183751,谁给勇气让我点开这视频,50.858,1620659086,5a88c279
49074200864882691,我竟为了娱乐搞笑点进来,17.419,1620743784,8dd109ba
49076528638590979,英语笑死，太地道了,60.408,1620748224,f311249f
49110677018640389,vector向量,270.078,1620813357,de875c5e
49237365721923591,nice,336.947,1621054997,f6602d49
49282451531890695,那个假酒笑死我了,123.985,1621140991,37ee2e9
49344333428031493,工地英语,88.739,1621259021,c1055d2c
49456678850527235,妙啊,350.03,1621473303,1d53c080
49500040637448195,丸丸丸～～～,185.652,1621556009,98add1aa
49512233523740679,语言变了语速还是一样哈哈哈哈哈,55.259,1621579265,cfef2a50
49696103124697091,Good,346.134,1621929969,88a37470
49836984504942597,fantastic,336.864,1622198679,c9311594
49934054667059207,这英语真的要笑死了哈哈哈哈哈哈,100.32,1622383825,ea4d4ff8
50366626645147655,虽然我不听这节课 但不影响我投币（觉悟）,209.723,1623208891,4aa8c2bd
50413794622439431,so∽,188.073,1623298857,a5e4b428
50428430462222343,双重催眠,87.879,1623326772,c67cca3c
50525465668485125,萨姆心,95.78,1623511852,a80456e
50525478569639943,弯弯,113.522,1623511877,a80456e
50617552426500103,四蛋老丝的so（嗖～）出场率极高,128.667,1623687494,beb435f4
50781258898735107,宋氏英语,46.542,1623999739,7f434e49
50879224016273413,好家伙，文理两不误,1.759,1624186593,6e0d3764
50964857436504067,阔乐米老四,40.399,1624349926,55928097
51089983208947717,宋浩:我好怂,19.339,1624588584,6347a9ec
51102809785892867,好家伙，走向国际市场了哈哈哈,2.32,1624613049,52e5bdc5
51224729606946819,国际宋,42.539,1624845592,b89cc3b9
51238718514659335,不错不错，能听懂,205.961,1624872274,290bfae5
51686325269561351,怎么这么有味,38.615,1625726016,5f6a9490
51735224101371911,a′直接不念了，用this，好可爱哈哈哈,352.27,1625819283,e69c6285
51820057859719239,我是怎么把两个都不会的东西听懂了得,229.78,1625981091,546a389c
51871001309347843,拿这个版本预习,222.917,1626078258,fdc75080
53062584936127488,我居然听完英文版了，还听懂了,55.459,1628300048,8e24cafe
53217879837502464,这是一个二维向量,278.9,1628596250,b24c38
53311380525400064,so~~~ah!,180.779,1628774588,a1115c88
53479333213366784,一时间分不清是在学数学还是在学英语,52.558,1629094933,25c30841
53923096455558656,0.5倍真的很绝,308.741,1629941344,ea22004b
54129638408648704,其实我也不考这个，我就来听听英语,210.019,1630335291,79389034
54262612870069248,震惊！居然有英文版,10.514,1630588920,74995ab1
54337100397651968,？？？？？？？？,14.762,1630730994,a1da0a8
54398161201912320,可怜的中外合办们,26.367,1630847458,ff4e75aa
54435093199069184,阿三口音hhh,52.563,1630917900,cf0abe6c
54692638247473152,困意瞬间没了,78.813,1631409128,95ab633f
55444257104413696,好家伙，一次学两科,12.099,1632842727,a51d7d6f
55446769402657280,math 踢车儿～,4.057,1632847519,2a37483f
55799426459421696,laoshi丹,58.517,1633520159,f2ea4462
55936007929871360,怎么有一股重庆味,45.159,1633780668,9b518bd5
55944102391576064,中外合办就蹲这了,347.279,1633796107,a9229da9
56361807778477056,无意冒犯  听的真想笑,94.225,1634592817,ec3f64a8
56386912627528192,1.5倍不错,307.033,1634640700,978909ed
56503325131622912,老师的课开始走向国际,19.099,1634862739,2cd172cd
56554362035827712,家人们，我支愣起来了,13.366,1634960085,f90b7d3b
56853434827160064,要是是这个英文听力我应该过级了,51.779,1635530521,8c0c79c6
56934608942154240,有国际友人吗？,301.422,1635685348,bcf39579
57006858184712192,5倍速绝了,269.308,1635823153,12cbd41e
57023088451449856,Spoon Handle,28.163,1635854109,148b00c2
57255430524269056,怎么老师的英文我还能听懂,74.326,1636297267,aca22148
57421653608842240,野生英语,41.979,1636614312,e93aebcf
57522233458973184,n发音是不是中式化了,195.478,1636806153,33c7606d
57773338562150400,"《Linear Energy, bro！》",0.0,1637285098,4e74e93c
58018890343316992,怎么还有11人观看哈哈哈哈哈是明天考英语口语吗,227.019,1637753451,3e04b80b
58332589654157824,《  双  修  》,1.184,1638351785,58c35e9e
58384695934957056,英文版怎么全是中文弹幕？？？,72.721,1638451169,588f014b
