danmaku_id,content,progress,ctime,user_hash
1930525304456069376,科技为何而进步,16.767,1757227749,501ae31c
1932939700373842944,这个广告不错,26.613,1757515568,4295e945
1932939871501513216,好产品无需代言,32.561,1757515588,4295e945
1933460149990198784,贵是对我们而言的,14.478,1757577610,df7f07c4
1933469099074476288,有没有可能是因为关税才贵的,7.67,1757578677,e7455c2a
1933483096934682368,5499有这种性能还不够便宜？,7.387,1757580346,d3474df9
1933539402932855296,赚美元花美元在国外算便宜,10.951,1757587058,b6b6d473
1933550356961496064,在美国其实还是蛮便宜的,4.396,1757588364,bdfccbbb
1933568328900163328,伟大无须多言,21.186,1757590506,bf2b9df8
1933640483184515328,苹果在美国就相当于中国的小米,5.878,1757599108,983c63fb
1933655712744312320,科技改变生活,22.53,1757600923,a8ab2567
1933659836558642688,没有关税买苹果其实是非常合适的,16.044,1757601415,a411d290
1933686987555434496,冷知识：别人的收入来买确实便宜,7.06,1757604651,e45d6fa9
1933705894227951616,手持14pro观看,36.65,1757606905,61429651
1933733912413740288,还在799刀 美国1099刀 最新版的17pro,21.485,1757610245,b9f7d173
1934296478546167040,文明,29.688,1757677308,c7722e96
1934315883241426176,人文关怀这一块,8.34,1757679622,f45f270f
1934384697098453760,虽然没有想象中那么贵，但说便宜是不是很离谱了？,21.876,1757687825,287c2239
1934439180898442496,苹果的动效设计，UI设计都是无敌的,4.539,1757694320,f21348c1
1934486077788875776,果子的东西确实好,16.353,1757699910,b52d6902
1934640001355101440,科技改变生活,28.6,1757718260,a10d9144
1934808351070456064,在美国还是比较便宜的，贵的原因很简单。那些商家加价加海关价格有点高贵,33.525,1757738328,eba3d245
1934839724506799872,电磁阻尼不是难题,16.684,1757742068,fe2e04b3
1934999413454228736,你币有了,16.768,1757761105,6d10d204
1935468182241043968,人文,28.242,1757816986,53a54b7c
1935543328766617344,好产品经得起考验,0.978,1757825945,75c13dd6
1935624388489859584,见过最好的手机广告,0.25,1757835608,a981817e
1937218748147000320,苹果不需要广告 有了钱自然会买 ,35.731,1758025670,19a64559
1937936597698152960,太有服务了,0.271,1758111245,9554a13c
1938751615935100928,苹果还真不算贵的,9.356,1758208402,c225d5e6
1938839530795450368,2k的合约机…,21.097,1758218883,8aa5b5b5
1939859503755874816,苹果在美国远没有华为在国内贵,9.556,1758340473,43cd30e8
1940116741384418560,技术进步的目的,17.363,1758371138,c22e8427
1971384995947958784,泪目,1.532,1762098604,ce75d751
2012609678424673536,艺术已成,21.585,1767012969,b9dbc8a4
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1930525304456069376,科技为何而进步,16.767,1757227749,501ae31c
1932939700373842944,这个广告不错,26.613,1757515568,4295e945
1932939871501513216,好产品无需代言,32.561,1757515588,4295e945
1933460149990198784,贵是对我们而言的,14.478,1757577610,df7f07c4
1933469099074476288,有没有可能是因为关税才贵的,7.67,1757578677,e7455c2a
1933483096934682368,5499有这种性能还不够便宜？,7.387,1757580346,d3474df9
1933539402932855296,赚美元花美元在国外算便宜,10.951,1757587058,b6b6d473
1933550356961496064,在美国其实还是蛮便宜的,4.396,1757588364,bdfccbbb
1933568328900163328,伟大无须多言,21.186,1757590506,bf2b9df8
1933640483184515328,苹果在美国就相当于中国的小米,5.878,1757599108,983c63fb
1933655712744312320,科技改变生活,22.53,1757600923,a8ab2567
1933659836558642688,没有关税买苹果其实是非常合适的,16.044,1757601415,a411d290
1933686987555434496,冷知识：别人的收入来买确实便宜,7.06,1757604651,e45d6fa9
1933705894227951616,手持14pro观看,36.65,1757606905,61429651
1933733912413740288,还在799刀 美国1099刀 最新版的17pro,21.485,1757610245,b9f7d173
1934296478546167040,文明,29.688,1757677308,c7722e96
1934315883241426176,人文关怀这一块,8.34,1757679622,f45f270f
1934384697098453760,虽然没有想象中那么贵，但说便宜是不是很离谱了？,21.876,1757687825,287c2239
1934439180898442496,苹果的动效设计，UI设计都是无敌的,4.539,1757694320,f21348c1
1934486077788875776,果子的东西确实好,16.353,1757699910,b52d6902
1934640001355101440,科技改变生活,28.6,1757718260,a10d9144
1934808351070456064,在美国还是比较便宜的，贵的原因很简单。那些商家加价加海关价格有点高贵,33.525,1757738328,eba3d245
1934839724506799872,电磁阻尼不是难题,16.684,1757742068,fe2e04b3
1934999413454228736,你币有了,16.768,1757761105,6d10d204
1935468182241043968,人文,28.242,1757816986,53a54b7c
1935543328766617344,好产品经得起考验,0.978,1757825945,75c13dd6
1935624388489859584,见过最好的手机广告,0.25,1757835608,a981817e
1937218748147000320,苹果不需要广告 有了钱自然会买 ,35.731,1758025670,19a64559
1937936597698152960,太有服务了,0.271,1758111245,9554a13c
1938751615935100928,苹果还真不算贵的,9.356,1758208402,c225d5e6
1938839530795450368,2k的合约机…,21.097,1758218883,8aa5b5b5
1939859503755874816,苹果在美国远没有华为在国内贵,9.556,1758340473,43cd30e8
1940116741384418560,技术进步的目的,17.363,1758371138,c22e8427
1971384995947958784,泪目,1.532,1762098604,ce75d751
2012609678424673536,艺术已成,21.585,1767012969,b9dbc8a4
,,0.0,1775683852.0054293,
lb.c,,0.0,1775683852.0054293,
,,0.0,1775683852.0054293,
1930525304456069376,科技为何而进步,16.767,1757227749,501ae31c
1932939700373842944,这个广告不错,26.613,1757515568,4295e945
1932939871501513216,好产品无需代言,32.561,1757515588,4295e945
1933460149990198784,贵是对我们而言的,14.478,1757577610,df7f07c4
1933469099074476288,有没有可能是因为关税才贵的,7.67,1757578677,e7455c2a
