danmaku_id,content,progress,ctime,user_hash
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
2083874247058760960,下雨天能用吗？,42.752,1775508368,9f4d602
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
2083874247058760960,下雨天能用吗？,42.752,1775508368,9f4d602
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
2083874247058760960,下雨天能用吗？,42.752,1775508368,9f4d602
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
2083874247058760960,下雨天能用吗？,42.752,1775508368,9f4d602
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
2083874247058760960,下雨天能用吗？,42.752,1775508368,9f4d602
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
2083874247058760960,下雨天能用吗？,42.752,1775508368,9f4d602
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082534291920822784,以后打仗就不用换弹夹了，而是换电池,42.752,1775348633,830c182b
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2082594142332491264,没电了,42.308,1775355768,838ba23a
2082916600926911488,这玩意要模块化，要不然坏了都得换,35.17,1775394208,6f8ad627
2083628330032776192,我有个问题，造成的成本是多少？,42.449,1775479052,c1874722
2083874247058760960,下雨天能用吗？,42.752,1775508368,9f4d602
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
