danmaku_id,content,progress,ctime,user_hash
2081376799501250048,？出重置版了？,8.891,1775210649,1971cafe
2081377783426169856,肉鸽是吧,228.784,1775210766,79531ebc
2081378596785912320,咖喱星也有苍蝇吗,138.923,1775210863,fdd8fe0b
2081379079315180800,那为什么不去凿旁边的墙呢,289.32,1775210921,1c9f9011
2081381091432040192,谁家老板,331.536,1775211161,f7f5481d
2081416666201692928,趋同演化，很神奇吧,141.357,1775215402,b47fc7af
2081424471046209024,有一个忙斯特,111.981,1775216332,35885614
2081426057542127616,要论痛苦，永恒是多少秒？”博士和“我爱自己，我恨自己，我写完了。”塔罗兰谁更痛苦,135.882,1775216521,db0b7bdd
2081434788253736960,"呃呃,干脆直接重置神秘博士解说？",7.78,1775217562,2da40b0e
2081436856012662272,那他自己不重启不就行么了？,203.462,1775217808,23085d79
2081438768933845760,憨豆先生,36.061,1775218036,e2bf5bfd
2081468076439809792,杀戮尖塔是吧,241.04,1775221530,8119da64
2081468976428677632,音速起子呢,284.668,1775221637,8119da64
2081473737634962176,其实这么搞，当事人反而不应该害怕了，怕的只会是开上帝视角的我们,223.452,1775222205,1c23af9e
2081487113773857536,让ai玩,170.077,1775223800,a58d58b0
2081494252956834816,忏悔罗盘,7.511,1775224651,a7468789
2081519439861735424,比那个一百万按钮五亿年坐牢的还离谱,342.433,1775227653,aa7a69c2
2081539960108126720,像那个勺子杀手,175.85,1775230099,fe6adb61
2081543742733101568,姥爷瑞克？,51.424,1775230550,53571377
2081546262502844160,之前放过了吧,21.077,1775230851,978529ef
2081547502515080448,墙壁和地板比这个材料强吗,277.19,1775230998,153ba607
2081559266623943424,会是恶犬追着我咬,155.749,1775232401,bb3185bf
2081566413927491584,因为时间领主生命力顽强才会慢慢死，普通人应该碰到就死,302.48,1775233253,1145ddad
2081604101023904768,墙壁和地板都是假的，破坏了没有用，这面墙是忏悔罗盘的内壁，破坏它才能出去,282.215,1775237746,3288d5bd
2081604185832645376,就是心魔呗,155.257,1775237756,650f050d
2081623039765855232,今夕是何年,15.865,1775240003,31be54e
2081624848609964032,很合理 时间领主 拥有时间机器  设定是可以重生13次  经过大事件可以重生26次  现在第十五次,52.52,1775240219,936dd7a9
2081630257659995904,就像害怕虫子的看见虫子，蛇虫鼠蚁或者ssp或者巨怪之类的,163.947,1775240864,45c0cb17
2081667112405101056,你降临尘世时，有东西也随之诞生。,178.028,1775245257,51bcbdac
2081670742273333248,滑稽滑稽！,137.716,1775245690,3e6fce7
2081682708580684288,那不是更脆了？,277.451,1775247116,f64b3fff
2081696869079903488,咕叽咕叽,148.111,1775248804,2e73a46f
2081739690968924416,博士：恐怖怪物我是来谈条件的,216.853,1775253909,f7901f44
2081752555888763392,这不是有漏洞吗，每次都没有相关的记忆，那每次都是新周目恐惧和绝望不会累计就不会有最终的崩溃，第一次没吓到彻底崩溃以后就都不会吓到彻底崩溃,229.083,1775255443,f444bae9
2081754314359381504,既然不会有记忆，那不管多久对博士都只是一条命的时间也没多痛苦，这算什么酷刑,337.518,1775255652,f444bae9
2081760308624167168,就不能用鞋子砸？,338.389,1775256367,1c061f1c
2081769224690835200,呼神护卫！,143.586,1775257430,ff63ce38
2081776042749913088,告解,89.188,1775258243,41c6a1a2
2081816010750885888,等鸡吃完了米，狗舔完了面，蜡烛烧断了铜锁,359.864,1775263007,b1201cb6
2081823497147606272,0秒吗,263.57,1775263900,7f689f03
2081829490203644416,毕竟是时间领主造的可能对时间领主有特攻吧,216.372,1775264614,373a6b98
2081848928798195968,每次都重置一个博士那多少年不都是一样的,349.414,1775266931,5b3fadf4
2081853564468377600,永不停止的蜗牛,128.092,1775267484,9e3d35ee
2081873016366786560,重生不留点什么记录或者线索吗？,212.191,1775269803,79570214
2081887868892734720,好了是雾影看看有没有灵球，就可以走了,170.021,1775271573,275e705c
2081893065215649792,这一版的博士号称全宇宙最绝望的，重生时都是带着愤怒来的,316.45,1775272193,75129f63
2081897882994830336,知乎蜗牛？,118.008,1775272767,47ec4a86
2081908762414793728,“蒙着面纱”,134.446,1775274064,a2ab64f4
2081944527379824384,这玩意有这么强的战力吗？,68.556,1775278327,d8f151a2
2081981240072377856,不是蒙娜丽莎吗,135.161,1775282704,e8367a33
2081983222140930304,还有凯撒大酒店,222.561,1775282940,b1534c13
2082018003264352256,博士的重生周期早就已经重置过一次了,61.226,1775287086,899641b4
2082021644356490240,逮虾户,247.945,1775287521,61c5881b
2082022422139464448,不能用血写字？,332.829,1775287613,5cd8b8f5
2082035813721563648,勺子杀人魔,163.385,1775289210,d2cbacd5
2082089305920610048,永恒的第一秒,345.113,1775295586,de435566
2082090886719857664,消灭恐惧的办法就是面对恐惧  加油 奥利给,189.013,1775295775,60b96150
2082099781127884544,规则武器是吧,83.612,1775296835,1749e5c
2082104456551588352,Beelzebub？,128.114,1775297393,4af310d9
2082123717249124096,今夕是何年啊，好久没讲神秘博士了,14.376,1775299689,1fca6b44
2082147308270654208,就不能拿个东西，那怕是拿头骨刮两下呢,326.538,1775302501,c65dba77
2082154854536989440,最伟大的一集,15.38,1775303400,f13242d4
2082161157611134464,死亡游轮,312.858,1775304152,2713dd77
2082209302667596032,现在博士设定是原型机，可以无限重生,76.359,1775309891,c2460ece
2082230160723444480,说点大家不知道的,39.161,1775312378,4f3db513
2082230416407973120,博士特有的打boss没输过，天天在小怪上翻车,71.467,1775312408,4f3db513
2082254005660795136,这个不就是死亡么,199.937,1775315220,125b864a
2082262188009755904,合理啊，t娘可以穿梭时间,44.49,1775316196,5bd8ecc6
2082267924282427136,生的同时，死便到来,181.615,1775316879,77cb1342
2082272452720943616,他本身是出生了几千年，但是他可以跨时间跨空间的穿越，所以到处都是他,93.959,1775317419,ca6e8400
2082391972173749248,太阳都快熄灭了,349.227,1775331667,9a7be0a6
2082398446912501248,等一下，这集我没有印象了。但我已经看到小十一那了。,51.788,1775332439,fd0ae580
2082404658802381824,没看过，想问问能不能多搞几个自己啊,248.92,1775333179,aaa961ef
2082516671834382336,那如果我恐惧的是一个白发萝莉呢？（doge）,130.601,1775346532,cab0a09d
2082550389819320064,博格特？,148.007,1775350552,d781b02c
2082581030988372736,知乎蜗牛,121.128,1775354205,37767e69
2082595048033961728,一念即永恒,263.58,1775355876,ebac9659
2082595766526368256,求生欲极强,309.14,1775355961,ebac9659
2082597009223378176,死是凉爽的夏夜，可供人无忧的安眠,188.788,1775356109,25e3412a
2082610013066723584,走得很慢,181.898,1775357660,2165c5df
2082628189091599616,原来这个是英剧啊,21.099,1775359826,6c41790
2082629776048418560,无敌蜗牛,179.044,1775360015,19178be
2082631680472017664,每一轮开始都是一个新的复制品，本体在第一次就死了,225.311,1775360243,331a055e
2082751676976675072,几千年见证不了多少吧,39.515,1775374547,8ae1ad96
2082771539228506112,今夕是何年？,26.12,1775376915,e84fec5b
2082786583953841408,最震撼的一集,8.465,1775378708,a7bb57e4
2082818798213447424,影怪杀手 而已，撑死了9级法术,142.001,1775382549,58854070
2082819293343066880,这都快20代博士了吧，设定还有之前的，在时光长河里来回反复横跳,67.433,1775382608,c882f47e
2082822960154360832,死亡,182.35,1775383045,6a736800
2082848172006666496,他有时间机器兼宇宙飞船塔迪斯，可以去往宇宙任何时间点的任何地点,42.734,1775386050,61428a5c
2082849017368645120,重生之后只有记忆会继承，性格，外貌都会变,87.54,1775386151,61428a5c
2082880293865954304,黄金王座,8.494,1775389880,2cf7320b
2082949450732863744,doctor who？！,58.218,1775398124,3ceba18c
2083050750657468928,呜呜我内心恐惧的是爱我的白毛兽耳萝莉,149.715,1775410200,2a26e667
2083140974691437824,expecto patronum,136.053,1775420955,6778182f
2083162968531073792,骗那个面纱去碰一下这个石壁呢,298.389,1775423577,b5e610e9
2083317429991446528,联想到了 佛教中的“劫”,356.208,1775441990,9d6d9886
2083326898020873728,那其实也没多久，都是新的,229.523,1775443119,d4618af8
2083349488600388096,奶龙,156.151,1775445812,bc5a6ee9
2083366696789692672,地球年龄,339.514,1775447863,3bf07a5d
2083392142382137600,泰图斯：干嘛……,148.882,1775450897,c5673030
2083392541201471232,其实是高阶指数塔,67.777,1775450944,c87efee0
2083400373645034752,DW在玩时空方面是祖宗级的，时间线、异世界、维度这些都是DW不知道多少年级就玩烂的东西,63.248,1775451878,89a7c43c
2083406567725994752,Tardis可以在时间和空间穿梭，博士见证过整个宇宙的兴衰，何况文明,45.204,1775452616,e7fa8c17
2083421936956559360,“几千年”“见证无数文明的兴衰”？？？,44.731,1775454448,abe7bf21
2083438677338157824,拳头这事儿有点怪，博士若聪那用脚踹呀，说是没有工具，那用脚踹一下也效率高点。,329.091,1775456444,f1e747b5
2083447708404446464,被蜗牛追杀是吧,176.149,1775457521,47505e74
2083489665864417792,我以为几千万年,69.651,1775462522,89b9c37b
2083500363838918912,摄魂怪,133.277,1775463798,f400517
2083573222875562496,啊这，反派真够闲的,342.855,1775472483,c0baef2a
2083575740590678016,因为这里不算是真正的现实,291.403,1775472783,7e3afed7
2083589958886946560,那岂不是很脆,276.743,1775474478,7c347e3c
2083611073466594048,其实就是死亡本体,182.012,1775476995,ab326425
2083612007026478336,流沙河底的历任取经人？,254.387,1775477107,ab326425
2083623107989808640,时间领主为什么会死,83.886,1775478430,beaff5d9
2083639597367758336,哦。黄金镇魂曲是吧？,30.153,1775480396,4c2bbb8c
2083653954294257664,这苍蝇想必也是传奇级的,120.523,1775482107,5c8f865a
2083677973664048640,那我敲旁边的墙呢,275.679,1775484970,cfdd6c63
2083689744885955840,人家有时间机器 不是正常活着几千年 是满宇宙跑包括时间线,45.591,1775486374,ef14edf2
2083697844850251264,水底那么多头骨，不是完美的武器吗,288.033,1775487339,ce17eaec
2083712306634267904,疑问，确定这惩罚的不是面纱？45亿年啊！永恒都能被磨灭了，面纱依旧等着博士！,0.721,1775489063,46631bff
2083754952916133120,缺舟：地门不准写日记！,290.398,1775494147,1d2d15de
2083768610870276864,恐怖游轮？？？,241.133,1775495775,22fa158b
