danmaku_id,content,progress,ctime,user_hash
1802408898750085888,deepseek chat，别用r1,117.401,1741955084,74bfbcad
1803889564935580928,5,73.958,1742131593,388389ed
1803894432987473408,5,75.964,1742132173,77c3f844
1814241471457715968,3,71.3,1743365636,e9367774
1815293018694139648,5,72.0,1743490991,4ccd6d80
1822612519987336448,5,72.257,1744363543,b2baf9e2
1827941200045586688,1,74.0,1744998771,6c371061
1859739255291532800,部署本地那得花多少钱,35.498,1748789395,98571b5d
1872563951871463168,1,74.5,1750318218,1051fcd6
1879327286542014208,直接起飞,22.272,1751124470,4dad2b3f
1911263981067680256,别人下载过才有,66.482,1754931621,bdfc18fd
1918341059759386368,1,73.185,1755775274,4555f226
1945315785648263168,1,71.3,1758990912,ecdd3a8f
1947611634839300608,1,75.687,1759264599,b183bcc3
1951830529817387008,2,71.3,1759767530,9fbf8f85
1955743595558855168,1,73.017,1760234004,7ba4c2ed
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1802408898750085888,deepseek chat，别用r1,117.401,1741955084,74bfbcad
1803889564935580928,5,73.958,1742131593,388389ed
1803894432987473408,5,75.964,1742132173,77c3f844
1814241471457715968,3,71.3,1743365636,e9367774
1815293018694139648,5,72.0,1743490991,4ccd6d80
1822612519987336448,5,72.257,1744363543,b2baf9e2
1827941200045586688,1,74.0,1744998771,6c371061
1859739255291532800,部署本地那得花多少钱,35.498,1748789395,98571b5d
1872563951871463168,1,74.5,1750318218,1051fcd6
1879327286542014208,直接起飞,22.272,1751124470,4dad2b3f
1911263981067680256,别人下载过才有,66.482,1754931621,bdfc18fd
1918341059759386368,1,73.185,1755775274,4555f226
1945315785648263168,1,71.3,1758990912,ecdd3a8f
1947611634839300608,1,75.687,1759264599,b183bcc3
1951830529817387008,2,71.3,1759767530,9fbf8f85
1955743595558855168,1,73.017,1760234004,7ba4c2ed
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1802408898750085888,deepseek chat，别用r1,117.401,1741955084,74bfbcad
1803889564935580928,5,73.958,1742131593,388389ed
1803894432987473408,5,75.964,1742132173,77c3f844
1814241471457715968,3,71.3,1743365636,e9367774
1815293018694139648,5,72.0,1743490991,4ccd6d80
1822612519987336448,5,72.257,1744363543,b2baf9e2
1827941200045586688,1,74.0,1744998771,6c371061
1859739255291532800,部署本地那得花多少钱,35.498,1748789395,98571b5d
1872563951871463168,1,74.5,1750318218,1051fcd6
1879327286542014208,直接起飞,22.272,1751124470,4dad2b3f
1911263981067680256,别人下载过才有,66.482,1754931621,bdfc18fd
1918341059759386368,1,73.185,1755775274,4555f226
1945315785648263168,1,71.3,1758990912,ecdd3a8f
1947611634839300608,1,75.687,1759264599,b183bcc3
1951830529817387008,2,71.3,1759767530,9fbf8f85
1955743595558855168,1,73.017,1760234004,7ba4c2ed
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1802408898750085888,deepseek chat，别用r1,117.401,1741955084,74bfbcad
1803889564935580928,5,73.958,1742131593,388389ed
1803894432987473408,5,75.964,1742132173,77c3f844
1814241471457715968,3,71.3,1743365636,e9367774
1815293018694139648,5,72.0,1743490991,4ccd6d80
1822612519987336448,5,72.257,1744363543,b2baf9e2
1827941200045586688,1,74.0,1744998771,6c371061
1859739255291532800,部署本地那得花多少钱,35.498,1748789395,98571b5d
1872563951871463168,1,74.5,1750318218,1051fcd6
1879327286542014208,直接起飞,22.272,1751124470,4dad2b3f
1911263981067680256,别人下载过才有,66.482,1754931621,bdfc18fd
1918341059759386368,1,73.185,1755775274,4555f226
1945315785648263168,1,71.3,1758990912,ecdd3a8f
1947611634839300608,1,75.687,1759264599,b183bcc3
1951830529817387008,2,71.3,1759767530,9fbf8f85
1955743595558855168,1,73.017,1760234004,7ba4c2ed
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1802408898750085888,deepseek chat，别用r1,117.401,1741955084,74bfbcad
1803889564935580928,5,73.958,1742131593,388389ed
1803894432987473408,5,75.964,1742132173,77c3f844
1814241471457715968,3,71.3,1743365636,e9367774
1815293018694139648,5,72.0,1743490991,4ccd6d80
1822612519987336448,5,72.257,1744363543,b2baf9e2
1827941200045586688,1,74.0,1744998771,6c371061
1859739255291532800,部署本地那得花多少钱,35.498,1748789395,98571b5d
1872563951871463168,1,74.5,1750318218,1051fcd6
1879327286542014208,直接起飞,22.272,1751124470,4dad2b3f
1911263981067680256,别人下载过才有,66.482,1754931621,bdfc18fd
1918341059759386368,1,73.185,1755775274,4555f226
1945315785648263168,1,71.3,1758990912,ecdd3a8f
1947611634839300608,1,75.687,1759264599,b183bcc3
1951830529817387008,2,71.3,1759767530,9fbf8f85
1955743595558855168,1,73.017,1760234004,7ba4c2ed
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1802408898750085888,deepseek chat，别用r1,117.401,1741955084,74bfbcad
1803889564935580928,5,73.958,1742131593,388389ed
1803894432987473408,5,75.964,1742132173,77c3f844
1814241471457715968,3,71.3,1743365636,e9367774
