danmaku_id,content,progress,ctime,user_hash
1629847608531092224,化肥不是提高种植效率吗,346.686,1721384175,c72d5166
1629852051020292096,我直接吉祥三宝,77.545,1721384705,881ff7f3
1629852367539248128,建议：加大力度。,0.699,1721384742,c8934964
1629854336387803136,分配不合理在前，技术进步提高的是剩余价值压榨效率,307.449,1721384977,3307552a
1629864000399594752,化肥提高农业效率这是事实，战争对人类的伤害也是事实，到这并不存在逻辑关系,353.598,1721386129,577ebac7
1629878180401807872,对啊，坐车的都是广大劳动者，他就是助手啊,244.881,1721387819,9b6ec83d
1629878761648647936,长期看是啊,345.933,1721387889,9b6ec83d
1629895059959019520,当然提高了，提高了采矿业，建筑业的生产效率，技术是看你怎么用，什么时候用,341.892,1721389832,348c6625
1629901594734800384,赞同,305.852,1721390611,dcb08f40
1629908203632566272,影视行业门槛低收入高,88.139,1721391398,40befb13
1629910354102711808,颜值也是门槛啊,95.719,1721391655,bf4e98e5
1629919322564848128,譬如清朝的电报技术之驿站,173.619,1721392724,40befb13
1629919684801457408,譬如包容缫丝工，禁止缫丝机的使用,182.619,1721392767,40befb13
1629934303142377216,无人工厂呢？？现在还有炒鸡多无人工厂,97.94,1721394510,fe858384
1629969614543015936,讲到重点了！！…,94.0,1721398719,ff1f7471
1629977008237065472,明白了 不能单看技术是否进步 要看技术+人是否整体进步和效益提升,327.984,1721399601,dd4c5cb0
1629994666592083456,江湖人称“毛咕噜”,140.26,1721401706,4b91ca12
1629997494870387968,反对者们大概率不是直接利益受损方，也大多缺少基本的政治素养,254.95,1721402043,3c1c09df
1629998452966497792,支持加快建设布局,3.54,1721402157,798ad07
1630007894655616000,看笑了呀，这个动画，似笑非笑,202.539,1721403283,aab0213b
1630042127734174208,参军,83.935,1721407363,54aaa8cf
1630231037424469248,那我们应当在什么时候去发展像这样的新技术？并且当前我们不发展如何保障在全球中不落后？,262.599,1721429883,f2449efd
1630271225266145536,如同一把刀，操刀人干什么比刀快不快更重要。技术只是手段不是目的,347.909,1721434674,6de1cc98
1630340347320555776,百万漕工，衣食所系？,63.273,1721442914,5d2b7d48
1630361178440042240,人类的欲望是不会终结的,354.742,1721445397,f8df8ffc
1630373703445694976,闯王,90.43,1721446890,96216a85
1630394416714173440,赛博朋克,174.259,1721449360,180f80c2
1630443191528378112,分配问题，不是技术问题。,223.462,1721455174,490fe20e
1630449031048126464,《各派力量形成均衡》,184.39,1721455870,96a78658
1630450120057526016,完全支持，只想看烟花,70.341,1721456000,31d0724f
1630480882827585792,太多了,111.244,1721459667,6e011c84
1630502372705149696,不是说不推，而是要解决好分配问题再说,68.635,1721462229,5ef4f654
1630508582959558912,所以该改的是这个,190.868,1721462969,db0ef488
1630544181821110016,政治经济学,69.047,1721467213,cfec9658
1630634972069391104,没错！,83.791,1721478036,229a8edb
1630694491801725952,跳啊,86.499,1721485131,ac2dc3d3
1630738332143290368,很多行业和岗位其实都是，不仅仅是罗扑快跑，只是他出来的快一点，大多数的岗位都可以被取代,137.183,1721490358,6cb66e1c
1630857392931785984,被替代也行，但是产生的利益必须全民所有不可以只利好一部分人,235.766,1721504551,c69a6cfb
1631090240641225472,让工厂严格落实8小手如何？,120.85,1721532308,f4f8749f
1631404332874714624,无人驾驶会淘汰这两亿人？,106.26,1721569751,e1a6db03
