danmaku_id,content,progress,ctime,user_hash
1976316418710872064,杨幂？,17.897,1762686476,d5871952
1976318018099307520,太难了吧,95.675,1762686666,f76d5855
1976320281866398720,我选冬冬！,67.869,1762686936,3de28090
1976321392635321856,才第一回合就输得一塌糊涂,83.578,1762687069,440fd041
1976321647145782784,居然有生活细节,117.477,1762687099,3de28090
1976322334575500032,闷闷蓄力中,166.887,1762687181,3de28090
1976323659967257088,新人物？,15.448,1762687339,88d8a400
1976324902454285312,芷妍嫁人了，只能整虚拟女友了哈哈,22.432,1762687487,f489f47a
1976337690165347072,已经输了,49.958,1762689011,8b3a73a3
1976345642272247040,好机车啊,109.814,1762689959,47bd3699
1976347659313032704,《帅》,57.889,1762690200,51863624
1976359463611055104,许冬来啦！芷妍终于退出了直播选手队列(doge),9.32,1762691607,a4f8f83a
1976361456778357248,还有口音,81.211,1762691845,6c446bc4
1976364445185801472,确实是前女友,143.261,1762692201,fa46532f
1976384378389473024,起手就已经输了“亲爱的”,64.317,1762694577,1ac1c938
1976386437985574400,芷妍要避嫌了是吧？,21.96,1762694823,b4082f8
1976414663328018688,你们都要冬冬是吧 那闷闷归我了,90.099,1762698187,d47d307b
1976424877750125824,哈哈哈哈,157.981,1762699405,b00efc95
1976430691776783872,通辽进行曲,56.945,1762700098,6d81073e
1976440128214118400,做吧！据说有个女的自己做杨枝甘露，然后那人就送医院了,7.432,1762701223,987c81e2
1976449656699842560,哈哈哈,169.58,1762702359,30a9ff1f
1976450659565863424,原因：芷妍嫁人了,20.397,1762702478,2b9193fd
1976457895789075200,尬起来了哈哈哈哈,71.002,1762703341,ade1c2b3
1976469945177240576,这才是满昏女友,81.226,1762704777,74f2bfb5
1976470893618200320,有理有据！,170.41,1762704891,74f2bfb5
1976472102685380864,省流：说谢谢,4.437,1762705035,8cd1f954
1976521070588825856,怎么成台妹了,113.0,1762710872,d4563207
1976537917153898496,上转转回收了吧,131.194,1762712880,b0f80d46
1976551781291530496,这是什么软件？,150.518,1762714533,18161ebd
1976588093167351808,吃哪儿了,30.407,1762718862,bee958da
1976691946475172608,66,2.465,1762731242,5ced306f
1976692025487293696,爱看高清,2.465,1762731252,5ced306f
1976754501238945536,输得一塌糊涂,202.516,1762738699,e25d0121
1976754779305080832,倒反天罡给他来个AI男友,96.5,1762738732,770cb040
1976798534577475072,?,169.15,1762743948,c75a17b0
1976821952316708352,徐冬冬？,23.371,1762746740,4eb248bc
1976858977878849792,哈哈哈哈哈哈哈哈笑死我了,116.04,1762751154,ce89b646
1976889669514248704,我有点心疼AI了,187.287,1762754813,edf8e7e9
1976899839720019968,不听了，开一局,121.123,1762756025,acd44e1a
1977048445923472128,我敲怎么越来越像托马斯了,3.849,1762773740,5b6941f0
1977091154978205440,这句出来，冬冬基本拿下了,49.876,1762778831,6bbd1ae9
1977091352655215360,哈哈哈哈哈哈哈哈哈,170.515,1762778855,2532e558
1977092708036468992,哈哈哈,165.531,1762779017,ce5428de
1977121867475362816,还没开始就已经输了,48.406,1762782493,3f2a5534
1977129948875674368,那不是事实么,89.99,1762783456,6eafcb53
1977149422551312128,“又”字用的妙,12.754,1762785777,b49a3fd9
1977155775529417984,好好记 都是重点,73.518,1762786535,e151d15a
1977171427732493568,沐恩酱真的挺漂亮的,49.138,1762788401,68667fc3
