danmaku_id,content,progress,ctime,user_hash
2081194743463374336,坏日子啊,14.568,1775188946,e1856f73
2081196682691059456,感觉我的10代酷睿还能战很多年,14.716,1775189177,3710c09
2081197442799729664,要  来  力,34.955,1775189268,409810f5
2081199052690665472,酷睿14比15好,49.561,1775189460,2de05908
2081203492143341056,躺着看的,143.635,1775189989,120855a2
2081204379465548800,2026F1：难说,39.113,1775190095,48f297cb
2081209701575960064,1,120.039,1775190729,7a15b7b0
2081212139188105984,1,119.608,1775191020,b67ea195
2081212230213113344,哥们5600X还能打个六七年,119.608,1775191031,b67ea195
2081213973457669888,以后二手市场会取代一手市场，成为diy的主流细分板块,50.479,1775191239,230af066
2081218146102661632,国补谁用到了,104.264,1775191736,f4e71bcc
2081223566569497600,"我的这些个DDR4,各个都有情有义",43.29,1775192382,ae16987b
2081225038568131072,还没到冰封纪元,138.32,1775192558,376f460d
2081241027775527168,F1真比F2好吗,45.521,1775194464,50ce42d0
2081244613117197312,没有四五年根本不用换电脑！,109.029,1775194891,80c50884
2081246504471147776,既不是好事也不是坏事，只是时代变了,31.272,1775195117,b9a184f2
2081247118651196160,6700K还在战,21.202,1775195190,c0d9e59e
2081249006012786944,没毛病！,43.065,1775195415,dc8ae58e
2081263965711378176,目前ai的应用如何了,103.999,1775197198,64e731be
2081281258725983488,老用户呀 无感接入,86.689,1775199260,4713f385
2081285951774861824,本来就会这样,14.059,1775199819,b45a8af7
2081298446388257792,AI与互联网泡沫没有本质区别，又用，但是泡沫还没炸,89.698,1775201309,f81393f5
2081298842456495616,等2028年再说,63.539,1775201356,74055f48
2081313196765133056,基本复苏,7.227,1775203067,28e9e62c
2081316361954741760,换U必换板得谢谢英特尔了,56.275,1775203444,18764a74
2081317913780571648,pc市场只剩下笔记本市场了,7.343,1775203629,62975624
2081335850444421632,不是没人买是不换新件儿了,83.211,1775205768,37c93a2c
2081338635797831168,低需求,7.145,1775206100,b22e22b8
2081348467732839936,8700 2060还在,36.741,1775207272,37d3788f
2081362293794670592,上次组电脑，48G内存750块我都犹豫好几天，现在三千,49.042,1775208920,c6e15707
2081365696541570048,还能更冷,141.594,1775209325,ee5c5f5d
2081369907202771200,这是好事儿啊,49.138,1775209827,1f38e69b
2081373146061257728,有人说整机更划算，还拿所谓数据，DIY不便宜说是,22.782,1775210214,52951ba6
2081375931733980160,史低,22.459,1775210546,b376d06e
2081382692070416896,1650继续战,123.117,1775211352,9b9e1cfd
2081393002249240832,7840默秒全,125.614,1775212581,1e60fc12
2081397228110624000,当下不是最冷，后续再冷一点,134.685,1775213084,4052dd65
2081454483850442240,我就是5500耶,35.835,1775219910,418a86a3
2081456351992791040,谁说没有终端的，ai云完全够用啊,102.246,1775220132,29dafb67
2081462989009358336,经典钉子户5600,35.465,1775220924,e121897f
2081534977409090560,有泡沫和有用又不冲突，麻烦看看之前的互联网以及各种泡沫，现在是饼画太大价值虚高,98.088,1775229505,5ccde0d1
2081538414263635712,F1 2025其实比2026好,42.174,1775229915,51890c11
2081573015694618624,价格为什么没边,30.598,1775234040,eceeca23
