danmaku_id,content,progress,ctime,user_hash
1974202317133771520,全电机的,44.665,1762434455,4e9bbebc
1974205753443769088,保隆的悬挂？,23.793,1762434865,82bbc73e
1974211289018748416,这叫行星滚柱丝杆传动,42.591,1762435525,95abb024
1974236310885775104,电机加液压,42.57,1762438508,8a079697
1974247913983475200,这和前面的不是一个吧,28.514,1762439891,99e50ea
1974251147632291072,不是一代的产品,7.9,1762440276,870c9397
1974256401115357696,这么帅,28.77,1762440902,f0d4b133
1974260173757308416,走2步看看,14.795,1762441352,a6c11f1f
1974261534087506944,好像T800啊,28.15,1762441514,69e28124
1974329993694098176,太强悍了,0.0,1762449675,75db8c49
1974561842890144768,为啥把上一代的剪在一起了,35.477,1762477314,ce6d8797
1974567950719697408,T800,14.51,1762478042,2d802c75
1974599146199846144,银光闪闪,23.447,1762481761,c43e982a
1974599723378208768,未来已来,51.68,1762481830,d760ed96
1974613382439331840,什么时候加心智模块,0.327,1762483458,6cce744d
1974637931214252032,终结者 T800,26.911,1762486384,d20e2944
1974679817647322880,结构过于复杂,28.2,1762491378,5a1330b1
1974682796400073728,这个是上一代,35.143,1762491733,4a92e4bf
1974696362289722880,终结者审判日,36.108,1762493350,d20e2944
1974696656738359552,省流：终结者T800 审判日,1.671,1762493385,d20e2944
1974707706036590592,不是液压驱动，一个液压减震而已,49.406,1762494702,410d2da5
1974739326072442368,下一位应该是细化手部动作,49.893,1762498472,788cace4
1974777746064664064,走直线还行,42.177,1762503052,fecdadf0
1974836589406442240,只要解决机器人的智能芯片就行,14.779,1762510066,d1fee6a2
1974852595407925760,到是走呀,50.2,1762511974,d1dfd566
1974855955329895680,终结者T800,3.201,1762512375,c191f5bb
1974869984597747456,帅啊,7.825,1762514047,7024280d
1974948482062769408,原子之心,36.69,1762523405,1de7031e
1975108340099431424,不套皮好看多了,24.311,1762542462,2bc26cdc
1975108573990586368,帅啊,48.491,1762542489,2bc26cdc
1975247924305135616,好好好 多多益善,14.146,1762559101,402e9e94
1975403027443748096,混动的,42.451,1762577591,c0dd5a9f
1975633764126830848,走正步,35.22,1762605097,a9724879
1975785554545378560,小腿看着不像，两个液压或者电机太宽了，走模那个没这么宽,13.08,1762623192,8e74419c
1984791088049186816,啊  天外的救世主！,7.15,1763696735,b7f5c5ef
1992757059371745792,带脊柱，巴巴托斯那种腰,21.815,1764646353,c35e023d
1992853613508349184,居然是液压的,0.174,1764657863,7fa2d228
2062420232143880192,T700,7.448,1772950850,f177e60
1974134119462360064,我看看还有多少人说它是人扮演的,0.0,1762426325,8e130ec0
1974643503858984704,这是一代和二代，胸口是衣服做的外观,0.426,1762487049,8e130ec0
1974134230150247680,我看看还有多少人说它是人扮演的,4.698,1762426339,8e130ec0
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1974202317133771520,全电机的,44.665,1762434455,4e9bbebc
1974205753443769088,保隆的悬挂？,23.793,1762434865,82bbc73e
1974211289018748416,这叫行星滚柱丝杆传动,42.591,1762435525,95abb024
1974236310885775104,电机加液压,42.57,1762438508,8a079697
1974247913983475200,这和前面的不是一个吧,28.514,1762439891,99e50ea
1974251147632291072,不是一代的产品,7.9,1762440276,870c9397
1974256401115357696,这么帅,28.77,1762440902,f0d4b133
1974260173757308416,走2步看看,14.795,1762441352,a6c11f1f
1974261534087506944,好像T800啊,28.15,1762441514,69e28124
1974329993694098176,太强悍了,0.0,1762449675,75db8c49
1974505065629180160,离造出我门自己不远了,50.215,1762470546,6b3c30b3
1974561842890144768,为啥把上一代的剪在一起了,35.477,1762477314,ce6d8797
1974567950719697408,T800,14.51,1762478042,2d802c75
1974599146199846144,银光闪闪,23.447,1762481761,c43e982a
1974613382439331840,什么时候加心智模块,0.327,1762483458,6cce744d
1974637931214252032,终结者 T800,26.911,1762486384,d20e2944
1974679817647322880,结构过于复杂,28.2,1762491378,5a1330b1
1974682796400073728,这个是上一代,35.143,1762491733,4a92e4bf
1974696362289722880,终结者审判日,36.108,1762493350,d20e2944
1974696656738359552,省流：终结者T800 审判日,1.671,1762493385,d20e2944
1974707706036590592,不是液压驱动，一个液压减震而已,49.406,1762494702,410d2da5
1974739326072442368,下一位应该是细化手部动作,49.893,1762498472,788cace4
1974777746064664064,走直线还行,42.177,1762503052,fecdadf0
1974836589406442240,只要解决机器人的智能芯片就行,14.779,1762510066,d1fee6a2
1974852595407925760,到是走呀,50.2,1762511974,d1dfd566
1974855955329895680,终结者T800,3.201,1762512375,c191f5bb
1974869984597747456,帅啊,7.825,1762514047,7024280d
1974948482062769408,原子之心,36.69,1762523405,1de7031e
1975108340099431424,不套皮好看多了,24.311,1762542462,2bc26cdc
1975108573990586368,帅啊,48.491,1762542489,2bc26cdc
1975247924305135616,好好好 多多益善,14.146,1762559101,402e9e94
1975403027443748096,混动的,42.451,1762577591,c0dd5a9f
1975633764126830848,走正步,35.22,1762605097,a9724879
1975785554545378560,小腿看着不像，两个液压或者电机太宽了，走模那个没这么宽,13.08,1762623192,8e74419c
1984791088049186816,啊  天外的救世主！,7.15,1763696735,b7f5c5ef
1992757059371745792,带脊柱，巴巴托斯那种腰,21.815,1764646353,c35e023d
1992853613508349184,居然是液压的,0.174,1764657863,7fa2d228
2062420232143880192,T700,7.448,1772950850,f177e60
1974643503858984704,这是一代和二代，胸口是衣服做的外观,0.426,1762487049,8e130ec0
1974134119462360064,我看看还有多少人说它是人扮演的,0.0,1762426325,8e130ec0
1974134230150247680,我看看还有多少人说它是人扮演的,4.698,1762426339,8e130ec0
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1974202317133771520,全电机的,44.665,1762434455,4e9bbebc
1974205753443769088,保隆的悬挂？,23.793,1762434865,82bbc73e
1974211289018748416,这叫行星滚柱丝杆传动,42.591,1762435525,95abb024
1974236310885775104,电机加液压,42.57,1762438508,8a079697
1974247913983475200,这和前面的不是一个吧,28.514,1762439891,99e50ea
1974251147632291072,不是一代的产品,7.9,1762440276,870c9397
1974256401115357696,这么帅,28.77,1762440902,f0d4b133
1974260173757308416,走2步看看,14.795,1762441352,a6c11f1f
1974261534087506944,好像T800啊,28.15,1762441514,69e28124
1974329993694098176,太强悍了,0.0,1762449675,75db8c49
1974561842890144768,为啥把上一代的剪在一起了,35.477,1762477314,ce6d8797
1974567950719697408,T800,14.51,1762478042,2d802c75
1974599146199846144,银光闪闪,23.447,1762481761,c43e982a
1974599723378208768,未来已来,51.68,1762481830,d760ed96
1974613382439331840,什么时候加心智模块,0.327,1762483458,6cce744d
1974637931214252032,终结者 T800,26.911,1762486384,d20e2944
1974679817647322880,结构过于复杂,28.2,1762491378,5a1330b1
1974682796400073728,这个是上一代,35.143,1762491733,4a92e4bf
1974696362289722880,终结者审判日,36.108,1762493350,d20e2944
1974696656738359552,省流：终结者T800 审判日,1.671,1762493385,d20e2944
1974707706036590592,不是液压驱动，一个液压减震而已,49.406,1762494702,410d2da5
1974739326072442368,下一位应该是细化手部动作,49.893,1762498472,788cace4
1974777746064664064,走直线还行,42.177,1762503052,fecdadf0
1974836589406442240,只要解决机器人的智能芯片就行,14.779,1762510066,d1fee6a2
1974852595407925760,到是走呀,50.2,1762511974,d1dfd566
1974855955329895680,终结者T800,3.201,1762512375,c191f5bb
1974869984597747456,帅啊,7.825,1762514047,7024280d
1974948482062769408,原子之心,36.69,1762523405,1de7031e
1975108340099431424,不套皮好看多了,24.311,1762542462,2bc26cdc
1975108573990586368,帅啊,48.491,1762542489,2bc26cdc
1975247924305135616,好好好 多多益善,14.146,1762559101,402e9e94
1975403027443748096,混动的,42.451,1762577591,c0dd5a9f
1975633764126830848,走正步,35.22,1762605097,a9724879
1975785554545378560,小腿看着不像，两个液压或者电机太宽了，走模那个没这么宽,13.08,1762623192,8e74419c
1984791088049186816,啊  天外的救世主！,7.15,1763696735,b7f5c5ef
1992757059371745792,带脊柱，巴巴托斯那种腰,21.815,1764646353,c35e023d
1992853613508349184,居然是液压的,0.174,1764657863,7fa2d228
2062420232143880192,T700,7.448,1772950850,f177e60
1974643503858984704,这是一代和二代，胸口是衣服做的外观,0.426,1762487049,8e130ec0
1974134119462360064,我看看还有多少人说它是人扮演的,0.0,1762426325,8e130ec0
1974134230150247680,我看看还有多少人说它是人扮演的,4.698,1762426339,8e130ec0
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1974202317133771520,全电机的,44.665,1762434455,4e9bbebc
1974205753443769088,保隆的悬挂？,23.793,1762434865,82bbc73e
1974211289018748416,这叫行星滚柱丝杆传动,42.591,1762435525,95abb024
1974236310885775104,电机加液压,42.57,1762438508,8a079697
1974247913983475200,这和前面的不是一个吧,28.514,1762439891,99e50ea
1974251147632291072,不是一代的产品,7.9,1762440276,870c9397
1974256401115357696,这么帅,28.77,1762440902,f0d4b133
1974260173757308416,走2步看看,14.795,1762441352,a6c11f1f
1974261534087506944,好像T800啊,28.15,1762441514,69e28124
1974329993694098176,太强悍了,0.0,1762449675,75db8c49
1974561842890144768,为啥把上一代的剪在一起了,35.477,1762477314,ce6d8797
1974567950719697408,T800,14.51,1762478042,2d802c75
1974599146199846144,银光闪闪,23.447,1762481761,c43e982a
1974599723378208768,未来已来,51.68,1762481830,d760ed96
1974613382439331840,什么时候加心智模块,0.327,1762483458,6cce744d
1974637931214252032,终结者 T800,26.911,1762486384,d20e2944
1974679817647322880,结构过于复杂,28.2,1762491378,5a1330b1
1974682796400073728,这个是上一代,35.143,1762491733,4a92e4bf
1974696362289722880,终结者审判日,36.108,1762493350,d20e2944
1974696656738359552,省流：终结者T800 审判日,1.671,1762493385,d20e2944
1974707706036590592,不是液压驱动，一个液压减震而已,49.406,1762494702,410d2da5
1974739326072442368,下一位应该是细化手部动作,49.893,1762498472,788cace4
1974777746064664064,走直线还行,42.177,1762503052,fecdadf0
1974836589406442240,只要解决机器人的智能芯片就行,14.779,1762510066,d1fee6a2
1974852595407925760,到是走呀,50.2,1762511974,d1dfd566
1974855955329895680,终结者T800,3.201,1762512375,c191f5bb
1974869984597747456,帅啊,7.825,1762514047,7024280d
1974948482062769408,原子之心,36.69,1762523405,1de7031e
1975108340099431424,不套皮好看多了,24.311,1762542462,2bc26cdc
1975108573990586368,帅啊,48.491,1762542489,2bc26cdc
1975247924305135616,好好好 多多益善,14.146,1762559101,402e9e94
1975403027443748096,混动的,42.451,1762577591,c0dd5a9f
1975633764126830848,走正步,35.22,1762605097,a9724879
1975785554545378560,小腿看着不像，两个液压或者电机太宽了，走模那个没这么宽,13.08,1762623192,8e74419c
1984791088049186816,啊  天外的救世主！,7.15,1763696735,b7f5c5ef
1992757059371745792,带脊柱，巴巴托斯那种腰,21.815,1764646353,c35e023d
1992853613508349184,居然是液压的,0.174,1764657863,7fa2d228
2062420232143880192,T700,7.448,1772950850,f177e60
1974134119462360064,我看看还有多少人说它是人扮演的,0.0,1762426325,8e130ec0
1974643503858984704,这是一代和二代，胸口是衣服做的外观,0.426,1762487049,8e130ec0
1974134230150247680,我看看还有多少人说它是人扮演的,4.698,1762426339,8e130ec0
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1974202317133771520,全电机的,44.665,1762434455,4e9bbebc
1974205753443769088,保隆的悬挂？,23.793,1762434865,82bbc73e
1974211289018748416,这叫行星滚柱丝杆传动,42.591,1762435525,95abb024
1974236310885775104,电机加液压,42.57,1762438508,8a079697
1974247913983475200,这和前面的不是一个吧,28.514,1762439891,99e50ea
1974251147632291072,不是一代的产品,7.9,1762440276,870c9397
1974256401115357696,这么帅,28.77,1762440902,f0d4b133
1974260173757308416,走2步看看,14.795,1762441352,a6c11f1f
1974261534087506944,好像T800啊,28.15,1762441514,69e28124
1974329993694098176,太强悍了,0.0,1762449675,75db8c49
1974561842890144768,为啥把上一代的剪在一起了,35.477,1762477314,ce6d8797
1974567950719697408,T800,14.51,1762478042,2d802c75
1974599146199846144,银光闪闪,23.447,1762481761,c43e982a
1974599723378208768,未来已来,51.68,1762481830,d760ed96
1974613382439331840,什么时候加心智模块,0.327,1762483458,6cce744d
1974637931214252032,终结者 T800,26.911,1762486384,d20e2944
1974679817647322880,结构过于复杂,28.2,1762491378,5a1330b1
1974682796400073728,这个是上一代,35.143,1762491733,4a92e4bf
1974696362289722880,终结者审判日,36.108,1762493350,d20e2944
1974696656738359552,省流：终结者T800 审判日,1.671,1762493385,d20e2944
1974707706036590592,不是液压驱动，一个液压减震而已,49.406,1762494702,410d2da5
1974739326072442368,下一位应该是细化手部动作,49.893,1762498472,788cace4
1974777746064664064,走直线还行,42.177,1762503052,fecdadf0
1974836589406442240,只要解决机器人的智能芯片就行,14.779,1762510066,d1fee6a2
1974852595407925760,到是走呀,50.2,1762511974,d1dfd566
1974855955329895680,终结者T800,3.201,1762512375,c191f5bb
1974869984597747456,帅啊,7.825,1762514047,7024280d
1974948482062769408,原子之心,36.69,1762523405,1de7031e
1975108340099431424,不套皮好看多了,24.311,1762542462,2bc26cdc
1975108573990586368,帅啊,48.491,1762542489,2bc26cdc
1975247924305135616,好好好 多多益善,14.146,1762559101,402e9e94
1975403027443748096,混动的,42.451,1762577591,c0dd5a9f
1975633764126830848,走正步,35.22,1762605097,a9724879
1975785554545378560,小腿看着不像，两个液压或者电机太宽了，走模那个没这么宽,13.08,1762623192,8e74419c
1984791088049186816,啊  天外的救世主！,7.15,1763696735,b7f5c5ef
1992757059371745792,带脊柱，巴巴托斯那种腰,21.815,1764646353,c35e023d
1992853613508349184,居然是液压的,0.174,1764657863,7fa2d228
2062420232143880192,T700,7.448,1772950850,f177e60
1974134119462360064,我看看还有多少人说它是人扮演的,0.0,1762426325,8e130ec0
1974134230150247680,我看看还有多少人说它是人扮演的,4.698,1762426339,8e130ec0
1974643503858984704,这是一代和二代，胸口是衣服做的外观,0.426,1762487049,8e130ec0
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1974202317133771520,全电机的,44.665,1762434455,4e9bbebc
1974205753443769088,保隆的悬挂？,23.793,1762434865,82bbc73e
1974211289018748416,这叫行星滚柱丝杆传动,42.591,1762435525,95abb024
1974236310885775104,电机加液压,42.57,1762438508,8a079697
1974247913983475200,这和前面的不是一个吧,28.514,1762439891,99e50ea
1974251147632291072,不是一代的产品,7.9,1762440276,870c9397
1974256401115357696,这么帅,28.77,1762440902,f0d4b133
1974260173757308416,走2步看看,14.795,1762441352,a6c11f1f
1974261534087506944,好像T800啊,28.15,1762441514,69e28124
1974329993694098176,太强悍了,0.0,1762449675,75db8c49
1974561842890144768,为啥把上一代的剪在一起了,35.477,1762477314,ce6d8797
1974567950719697408,T800,14.51,1762478042,2d802c75
1974599146199846144,银光闪闪,23.447,1762481761,c43e982a
1974599723378208768,未来已来,51.68,1762481830,d760ed96
1974613382439331840,什么时候加心智模块,0.327,1762483458,6cce744d
1974637931214252032,终结者 T800,26.911,1762486384,d20e2944
1974679817647322880,结构过于复杂,28.2,1762491378,5a1330b1
1974682796400073728,这个是上一代,35.143,1762491733,4a92e4bf
1974696362289722880,终结者审判日,36.108,1762493350,d20e2944
1974696656738359552,省流：终结者T800 审判日,1.671,1762493385,d20e2944
1974707706036590592,不是液压驱动，一个液压减震而已,49.406,1762494702,410d2da5
1974739326072442368,下一位应该是细化手部动作,49.893,1762498472,788cace4
1974777746064664064,走直线还行,42.177,1762503052,fecdadf0
1974836589406442240,只要解决机器人的智能芯片就行,14.779,1762510066,d1fee6a2
