danmaku_id,content,progress,ctime,user_hash
2079201283843490816,失踪人口回归,1.77,1774951307,39e232c0
2079204417869629184,果然,83.189,1774951681,663d193b
2079204512450795776,终于更了,5.419,1774951692,b6c28619
2079204967063515136,居然会反问超纲了,45.775,1774951746,ee7189f9
2079206890537815296,终于更新了,0.0,1774951976,e49a54c1
2079207307845739264,怎么还坠机了,128.592,1774952025,55a2f371
2079208606829588480,凑企鹅怎么变聪明了(,354.018,1774952180,3018706a
2079209157751607296,防空树这一块,129.301,1774952246,3d383990
2079209406473678592,我了撞树没绷住,128.154,1774952276,3e6a9de6
2079212116153226496,20分钟前,18.528,1774952599,e9c3392f
2079213572441348608,还有7分钟,296.437,1774952772,764ab62b
2079213649692186880,《踏算法就是这么简单就是这么多》,8.13,1774952781,4bc3ee5a
2079214837326183168,《有的有的，你看吧》,103.406,1774952923,4bc3ee5a
2079215219871727616,《想飞结果被树叶挡住》,123.357,1774952969,4bc3ee5a
2079216199861977600,我不明白！,119.89,1774953086,90723b8a
2079216971613869056,哇,240.677,1774953177,394487c8
2079217176665111040,虚空运输,207.755,1774953202,90723b8a
2079217451887462656,《理论上去掉疾病的话等同于能活很久》,319.821,1774953235,4bc3ee5a
2079218562178410240,感谢伟大的农学家们！,285.491,1774953367,899c12c8
2079223691451362816,占领空屏,176.807,1774953979,11a1117e
2079223988911535872,工业革命前氮吸收率低下导致农业产量落后,177.352,1774954014,11a1117e
2079224572968374528,地区粮仓储备的必要性,240.185,1774954084,d8201da9
2079224999151668736,对，不能长叶子，得长淀粉,291.185,1774954134,d8201da9
2079227819980154624,你太牛逼啦,331.52,1774954471,c95f0d81
2079232873445368832,还是资源分配不均的问题,46.762,1774955073,dfa5d6b8
2079235864520605184,没撞树上，没认出来原来是我的世界吗？,134.67,1774955430,aa96915a
2079240003368113408,我还以为旁观,130.724,1774955923,e5346f1e
2079244308796125440,但现实往往更残酷，依然有大部分人连最基础的温饱都无法做到,35.659,1774956436,aa1c5ac0
2079244791283133952,这期视频背景看得我脸好痛（bushi）,312.363,1774956494,c25076f3
2079244847780884992,养殖业的损耗呢,52.891,1774956501,b0b964d0
2079250809019378688,无人机撞树绷不住了，防空树呗。,179.028,1774957211,8b2c1baa
2079254892937799424,德国的东方总计划,103.763,1774957698,a9532e8b
2079260248593625088,房子,148.519,1774958337,66550174
2079265042364647168,好吃可以靠香料,66.743,1774958908,b0d19917
2079267393959810560,这飞的是个啥呀,298.511,1774959188,23871cc7
2079278067725451520,啊啊啊，要撞树了,117.919,1774960461,ee8425f
2079278372215192064,防空树拿下首杀,122.668,1774960497,ee8425f
2079281236169634048,个别国家不认为吃饱饭是基本权利,93.311,1774960838,817f0660
2079282052968702464,看的头晕,311.91,1774960936,88da9564
2079299444976953856,居然没用跑酷背景,6.293,1774963009,338c3575
2079322792872075520,不患寡而患不均,75.274,1774965792,9e4b59fb
2079325330065904128,呜呜呜呜再也不浪费了,69.66,1774966095,3ce05e93
2079327868139103488,自古断粮道就是最高性价比的军事行动,103.411,1774966397,ee6b7914
2079330431899441408,抗战时游击战的重要任务之一就是阻止敌人掠夺粮食,140.926,1774966703,f19282c2
2079333789817228800,急需传送门技术,34.632,1774967103,f05f5805
2079333901863954432,打仗就是比后勤，打对面的后勤是很正常的战术,109.803,1774967117,b1e3f55d
2079341508603725056,金坷垃！！！！,233.981,1774968023,4b210d11
2079351815442594816,粮食是需要人发的，联合国只能把粮食运过去,97.312,1774969252,2d27f4ae
2079352099833294592,正常就应该?,117.539,1774969286,5efc990c
2079353825151552000,这只是卡路里，不算营养均衡，蛋白质，碳水，脂肪维生素等等,23.94,1774969492,b49b4c5e
2079356647423427328,求bgm,74.944,1774969828,686a61ac
2079357586469172992,还得让植物吸收的多。,252.839,1774969940,59a9db28
2079371609034741504,终于更新了啊啊啊啊啊啊啊啊,0.0,1774971612,6d9335e1
2079372732705484288,man！,191.836,1774971746,c95f3d45
2079375045234640128,可以看看俄乌前线大面积的麦田，无法卖出，因为吃粮食都打光了,314.93,1774972021,f6e59175
2079375084224876032,可以基因改造,274.196,1774972026,178845db
2079379879782805760,这视角转动一下，就跟航母掉头一样,194.387,1774972598,6c48d626
2079382120094329856,逃荒,217.368,1774972865,7d042c8f
2079382195961378560,太存在了，从来都存在,100.815,1774972874,93d585ee
2079385720166216960,人类是早已战胜饥荒了的，人类没有战胜的是人类自己，现在的贫穷是分配问题而不是生产问题,74.64,1774973294,eca63242
2079388028434600192,政治还不够成熟,311.315,1774973569,428d02bc
2079406121504520448,赤脚医生的重要性,351.197,1774975726,fd508a4
2079418382453001728,我在等一个老爷爷,277.3,1774977188,91b0afe7
2079419904146703104,运输和浪费,35.665,1774977369,2dffae4a
2079446070505038336,致——袁隆平老先生,312.258,1774980488,552d6a56
2079460906295010304,人给我晃晕了,148.046,1774982257,3cbe0f86
2079475826617517056,撞树笑死我了,130.655,1774984035,d6b56e0d
2079488612491706368,致——袁隆平老先生,297.377,1774985560,ae211aaf
2079492357904461312,去看联合国粮食报告就明了了，每年增产20%但是饥饿人口却在不断增加，这能是啥？！,15.612,1774986006,c9cf2f8b
2079593711381542144,这空岛怎么生成出来的？,231.344,1774998088,6d98dfdc
2079624899362324736,经济大萧条就是个例子，工业品太多了，而工人却买不起,83.919,1775001806,9a308740
2079632846678880256,相信后人的智慧,143.853,1775002754,770dc74d
2079650966759884032,水果 坚果 呢,52.371,1775004914,c36b1c05
2079663699140385280,已经超出了，两个人口大国都不需要这么多人口,70.892,1775006432,e1a5fa7b
2079675556211128320,还有现在的好多粮食都是超采地下水和靠大量化肥堆出来的，等到2050南亚非洲中东因为气候问题水资源问题粮食会锐减,77.751,1775007845,5d72f501
2079714891509299456,从非洲到中东，这样的例子太多了,104.058,1775012534,55d7b6fe
2079716511786084352,致敬农科学者们,290.619,1775012727,55d7b6fe
2079723769685092864,搓搓有余。分配问题和供应链问题,21.369,1775013593,c6f376cb
2079727797643251200,分配不行,59.089,1775014073,2ea37387
2079729806337647104,当代全球每年都有数百万人因饥饿与营养不良丧失,324.83,1775014312,237c97bf
2079734937305254400,哦，对呀，在第一次世界大战还被用于制作毒气,242.132,1775014924,8f89a66a
2079748030084627456,这集感觉是最不需要科普的，粮草的价值人尽皆知,142.503,1775016485,a3135fbe
2079748215925815552,飞入寻常百姓家,212.655,1775016507,7e61e72f
2079748828453726976,我去这是mc的画面，第一时间居然没看出来,7.579,1775016580,3e9f3e2c
2079754255103284480,这东西跟国家有关系,84.869,1775017227,39314078
2079761987747512832,粮食最大的问题是分配，而不是生产,29.278,1775018148,a4c624e6
2079762476098347776,就相当于被迫落入之前原始社会的状态。。。再用现代的优势去打击。,136.511,1775018207,4b7e7c3a
2079763743969083648,原来是这样！那为什么同样生活在这里的人却依然对别人那么苛刻？难道他们有退路吗？还是说这也是被构建的饥饿？,214.259,1775018358,4b7e7c3a
2079788406543683584,卡路里是什么作物？,57.234,1775021298,252c5e78
2079815291806480896,你不浪费那些粮食也基本到不了需要的人嘴里，本质是分配问题,76.748,1775024503,2046c37a
2079828335478851840,没绷住,239.915,1775026058,9b031c08
2079853040910752768,有人会饿死是因为分配不均,40.506,1775029003,d7814ad3
2079888572521083136,确实如此，物以稀为贵,90.888,1775033239,7bac844e
2079889332076094464,就从军队变游击队了,138.192,1775033329,7bac844e
2079906578475105792,尿素很nb,190.765,1775035385,c3301db2
2079930635996824064,种地也是要钱的，种地也是为了赚钱的。,84.153,1775038253,175a7900
2079933590782629120,在人类城邦出现前人类早就战胜饥荒了，饥荒的再次诞生起源于阶级的诞生，本质还是分配问题,150.923,1775038605,fc99897b
2079934990623588864,并非无解，我国的解决方式就是非饥荒时提前存粮、运粮和使用运河减少损耗,215.47,1775038772,fc99897b
2079938684320671744,这些全都是前人们遇到的问题啊,266.336,1775039212,830e0453
2079942050794469120,这不就相当于把种子当救济粮使？这顿吃饱了下一顿呢？,43.108,1775039614,5256ab49
2079943272210080512,美式算法    有没有把石油白糖也算上啊 这些热量高,18.478,1775039759,92017b9c
2079974713333686016,这个地图好美,244.777,1775043507,277bf8db
2079983186817255936,差不多没化肥没有农药的意思吧,178.108,1775044517,c6b03e5e
2079983257784833792,维多利亚,101.4,1775044526,bbdba4f6
2079983637452838144,不能这么算，很多落后地区能提产，很多肥沃的土地甚至不种地,14.453,1775044571,d41827ab
2079987109439675392,解锁新背景,0.0,1775044985,1fdf28f7
2079998846485830400,晕3D了！！！,9.108,1775046384,37734087
2080002423153395200,美国给柬埔寨送的275万吨高能氮肥,93.103,1775046811,895714d2
2080006371671823360,这也是落后的生产关系和先进的生产力之间的根本矛盾的一种体现，大量的生产力因为拉跨的分配和生产关系而被浪费了。,36.121,1775047281,f24ec4e6
2080009534923528448,新的生产，二氧化碳直接生成淀粉,302.321,1775047658,6f826753
2080020857975314432,这期视频背景对于我来说还好，没感觉到晕,340.054,1775049008,9ec21fb8
2080022512234082048,存粮和运河也是有损耗的,226.523,1775049205,63030ee0
2080038089895587072,幸好我暂停了,184.772,1775051062,cd3873ae
2080042395911024640,人民万岁,318.621,1775051576,a8c556b4
2080043950018056960,唉,90.065,1775051761,d42d583e
2080056564949120000,不还有漕运吗,217.077,1775053265,487f7e6f
2080071818442138880,自然灾害导致农作物减产呢？,30.336,1775055083,31273fbc
2080085085629711104,致敬一切为人类生存幸福贡献的科学家！！！,295.685,1775056665,1cc9c138
2080088246867687936,但这不就刚送到村民家了吗,213.907,1775057042,9b269e84
