danmaku_id,content,progress,ctime,user_hash
2080730336694457600,还回来吃饭吗,22.409,1775133585,dcf18877
2080730620808042752,啊？！这么莽,276.701,1775133619,ac5cc3b
2080730746175831808,好家伙,301.441,1775133633,127346e5
2080731669174321664,???.,243.322,1775133744,80e65ab7
2080732489655729408,我们是星辰大海,75.96,1775133841,c1c440aa
2080733771451257088,好家伙，直接拿真人测试，牛逼,241.806,1775133994,eb568113
2080734432775815680,卧槽！这四个人还能安全返回吗？,308.874,1775134073,eb568113
2080734563151609088,啊？！不进去轨道？,182.741,1775134089,78cc841e
2080735589103374592,阿尔忒弥斯到现在的发射成本是40e一次核算 再往后可能会降低,109.74,1775134211,e5961ae
2080737185153788416,啊？这对吗,254.223,1775134401,67c846f0
2080737222206175744,这真的是sls最后一发了,95.78,1775134405,691a9942
2080738422003378688,月球北斗,222.234,1775134549,9c4928bb
2080738447605918208,因为美国无法在月球背面通信。而我们有鹊桥,203.8,1775134552,691a9942
2080738658872531968,四个绿巨人回来了。。。,242.061,1775134577,9c4928bb
2080739296280696576,无所谓了，我们是持久战,68.172,1775134653,b2b9038b
2080739429450083072,大问题？？？？,169.936,1775134669,a434d52c
2080740459814682880,几个航天员属性正确,38.47,1775134791,e444c219
2080741591605769728,论脉动瓶的重要性,157.253,1775134926,b6126a9b
2080741819037690880,小问题！！！,177.248,1775134953,b6126a9b
2080742300602567424,那可贵了，一般人用不起,224.68,1775135011,b6126a9b
2080742672200425216,平安归来就好,56.863,1775135055,73ab4b6c
2080743055107465216,可靠性用4个人？,42.779,1775135101,6e6f21e6
2080746403562643200,那不就温度更高了,335.749,1775135500,239df1ca
2080746474823711744,21世纪太空竞赛,58.498,1775135508,a94f56a6
2080746671293848320,月背观光团！,185.88,1775135532,934e320b
2080747833258050048,这该死的好胜心啊,222.614,1775135670,89c7560b
2080754120797253888,？？？？,261.245,1775136420,dd8ebf8a
2080756894238589184,等等 神奇四侠 要诞生了,247.194,1775136751,ff622c85
2080757177202769408,上天修炼貔貅神功,17.199,1775136784,69c74f6e
2080759554031122176,马桶坏了，然后修好了,135.711,1775137068,109d2acb
2080759961910814720,仿照阿波罗10号,24.475,1775137116,bc3f623a
2080761449311381504,我捐几个脉动瓶子,170.177,1775137294,49dbf78b
2080762819926197248,挑战,273.007,1775137457,9656b245
2080763801074597120,没有测试过，但是很安全。,351.339,1775137574,3a718e77
2080765191779751168,真要出神奇四侠？,248.334,1775137740,7dea9c26
2080766342260669952,跟前苏联竟争也是如此，老传统了，但愿可怜的航天员能安全的返回吧,82.635,1775137877,ba046527
2080767031828950272,全须全尾的回来挺难啊,296.29,1775137959,e3a5fc57
2080768753976661760,还有宇宙斩杀线,232.387,1775138164,c31186bb
2080775347154580736,看吧,284.216,1775138950,5915db6b
2080776297592451584,用钢铁般的意志克服（钢铁烧化了）,328.196,1775139064,5915db6b
2080779901338265600,我滴妈,255.41,1775139493,2fedfc23
2080781363573469184,感觉那几个人挺难的,315.751,1775139668,6b02ceea
2080781508729819136,那这次任务的目标是什么？就绕一圈？,335.366,1775139685,b9b06b2f
2080781991066507520,省略版：得加钱,322.521,1775139742,7d1a8450
2080784695100600576,好嘛，这问题都考虑在内了，做好准备了呗,196.725,1775140065,57479b62
2080784993692887296,简称“太囧”,163.386,1775140100,25a51ef6
2080786528640267520,老美已经上头了,81.495,1775140283,9a42a117
2080799615104027392,他们还能安全回来吗？,328.971,1775141843,be112bfe
2080808121772830464,回前面的弹幕 你猜对了 载入时的速度差不多是32马赫,337.863,1775142857,691fbcd3
2080815993911220992,不管怎样，希望四个人都能平安健康的回来,264.857,1775143796,e4313b29
2080820850940646656,观光团,189.06,1775144375,e84c66b3
2080821544460544768,适应一下不就好了，多大个事，没准还能增加个buff,247.66,1775144457,e84c66b3
2080824755015058176,真事儿啊？我以为愚人节玩笑呢！,5.58,1775144840,39c0a238
2080830255978956544,生活大爆炸霍华德的研究项目，哈哈,148.987,1775145496,1b15f887
2080830360207581952,卧槽……,127.017,1775145508,7216ad7
2080835161914038784,得加钱,329.779,1775146081,6bf3b68e
2080837300690502400,东拼西凑来的，能发射成功 说明还是有点整合能力 ,103.509,1775146336,670506a1
2080839510274367232,感觉会过热,301.067,1775146599,e8516eaa
2080840089433100544,真神奇四侠啊,44.982,1775146668,20a71495
2080841381471568896,希望平安返回,194.12,1775146822,20a71495
2080842699346712576,看了眼评论，问题是：人还能回来吗？,102.18,1775146979,5818e06b
2080843784564152576,谁能告诉我那个女航天员怎么用袋子，又没重力,215.396,1775147109,25b14d3
2080844054098194432,6,349.34,1775147141,5cb9985f
2080844618358331648,这个5c在哪里能买到？,0.769,1775147208,51481def
2080847293317548032,我们有鹊桥,209.474,1775147527,2f602e4
2080851937938721024,那速度怎么降呢？全看降落伞？,335.22,1775148081,47c46180
2080856799472545536,我们也要面对这种考验,290.226,1775148660,b8a37434
2080859378734668800,发射一回就为了验证生命维持系统呗,195.882,1775148968,7d7f27f1
2080860138977638400,翁法洛斯？,168.42,1775149058,50769905
2080869251732334592,发挥牛仔精神，莽就完了,237.01,1775150145,60ed5800
2080876489775335680,当年阿波罗登月也是突击发射的,127.495,1775151007,b217ae23
2080880552998830592,美国：不上人，怎么测试载人可靠性？除非证明有问题，否则就是没问题,127.96,1775151492,435ead8
2080885116737755392,战锤啊，还科技考古,300.307,1775152036,e8384dbf
2080891475134727424,这不就跟当年苏联一样吗,357.414,1775152794,59f966b
2080900608298233600,没有进入月球轨道，就是飞掠月球,183.577,1775153883,41f598
2080903958004315904,咱们其实无所谓，我们从没说自己第一啊，除非他们以前没上去过,60.751,1775154282,d150500a
2080923485282379008,苏联直呼内行,68.029,1775156610,b9c1d2f1
2080923675628642048,10天,158.275,1775156632,fe86bc7
2080926103215730432,那不温度更高吗？,335.989,1775156922,b9c1d2f1
2080937666458988544,依旧自定义,24.201,1775158300,c7474b55
2080982473236059904,数据拿到了，成功,310.55,1775163642,9adc7ce
2080992024420682240,祖传隔热瓦问题，航天飞机时代就时常被这问题困扰 2333,309.063,1775164780,70c8f8eb
2081019360167888896,美国怎样跟咱们无关。咱们还是按部就班。自己规划好的就按规划走。不要去跟美国争那个虚名。,91.089,1775168039,c69c2131
2081037816305447680,其实阿波罗第一次登录也差不多是抢跑赌博,357.468,1775170239,4d6109db
2081070928045224704,突然想到了冷战里面的太空载人计划。,94.455,1775174186,b6b2c7dc
2081072326098706944,传统艺能,149.82,1775174353,891cd3c
2081102183360938496,啊，路过啊。吓我一跳。,28.138,1775177912,b86ed6c0
2081106996333319680,风险好强大,358.161,1775178486,288350f9
2081108157467738880,移动发射台的成本从预算的4.5亿干到27亿。。。。。。,110.778,1775178624,fe064536
2081109376265487104,?????那过期的？？？？ 还是新做的？？？,293.822,1775178770,aa7b5c1a
2081109462491906560,我们要高质量的到达月球并返回 这些竞赛只会毁了自己,74.288,1775178780,cfc3bf36
2081110169643446016,这就跟下雨不带伞  跑着回家一样  就怕脚滑.......,346.471,1775178864,aa7b5c1a
2081110351927769856,材料没跟上啊,316.355,1775178886,6b95f3a4
2081112614142447360,我竟然想起来张艺谋了，不得不说老美真是硬着头皮上啊，有冷战时期那个劲了,208.342,1775179156,1e2f3d08
2081113323919297536,还回来吃饭吗？,28.26,1775179240,881942f1
2081115176635674112,美国不是登过月了吗？,62.699,1775179461,ac81ebf8
2081120756335197440,让他们探探路呗,97.951,1775180126,4c2e5faa
2081127551929583616,真是神奇四侠,350.391,1775180936,6ec756b8
2081130939920664320,古早味,300.594,1775181340,df7023a1
2081131105796648448,？不怕砸地上,336.014,1775181360,9d571e13
2081131531057424128,他们这么着急干嘛，我们官方承认他们是第一个登上月球的国家的呀,82.089,1775181411,d70ad737
2081133673197571840,真的有钢铁般的意志,135.06,1775181666,776460f7
2081139556572968448,万能的淘宝,12.535,1775182367,1bf0b3ee
2081148766014228736,五颜六色的宇航员,39.426,1775183465,56d88170
2081153945527067648,是撩月不是绕月！,14.9,1775184083,28dd685c
2081158063913683200,科技考古是吧,296.176,1775184574,f01b014c
2081162494323839488,局限于资金问题跟贴切,315.555,1775185102,9818223b
2081165067990805760,不是用橡皮筋吗,149.942,1775185409,a5c7f222
2081165155382894080,这是一次证明飞行,53.222,1775185419,4b7e3259
2081170836400312576,星舰是摇号爆米花,110.521,1775186096,6b60bae3
2081171660756866304,如同前苏联，为了夺个第一 冒险发射,35.869,1775186195,4f36bae2
2081173212574317824,可靠性还待验证就带人去了？,35.902,1775186380,ad51c0b
2081174953319517440,鹊桥：老弟没信号吗？要不要借你打个电话,204.93,1775186587,ad51c0b
2081179166589639424,鹊桥？？,209.328,1775187089,992388e5
2081192034454066176,可别被月球捕获了，回不来就麻烦了,185.989,1775188623,143e32cf
2081193158007454720,人真上去了吗？,282.889,1775188757,b6fd1ebc
2081196875327185920,以前都能搞月球直播，这会有通讯故障？,141.758,1775189200,c3e311eb
