danmaku_id,content,progress,ctime,user_hash
1700807496471946752,刚刚看你然后就更新了嘿嘿,8.795,1729843253,694c8d6
1700811570600278016,终于来了,2.609,1729843738,f87d50cd
1700816855775853312,首页通知书！！,5.411,1729844369,9c125220
1700819508295596800,债务！,148.162,1729844685,4a761531
1700823546898703360,数字,268.384,1729845166,d5a3c918
1700831478209898240,真的等好久了,9.74,1729846112,b3f4899f
1700832730084050432,新能源不就是在增加嘛,255.682,1729846261,7cfa240c
1700836609488840192,这几年GDP基本是靠基建拉动,171.776,1729846723,78102b40
1700845663732870144,多新鲜呐,252.527,1729847803,8924dee0
1700851004079242240,三井寿,107.457,1729848439,5126425e
1700853196508928768,粉丝万数比视频数量高b站里没几个，更别提70万粉了,11.281,1729848701,b3b48fec
1700864201877020160,分配,75.882,1729850013,78ebaa82
1700874563896700160,半懂不懂是因为up主有的话没法讲,138.278,1729851248,151c6f26
1700880680315251200,不用看了，回去了。,22.218,1729851977,6fdb8c38
1700880786900950016,不用看了，回去了。,22.218,1729851990,6fdb8c38
1700885092462812672,说白了就是产生耐药性了,129.509,1729852503,cf308913
1700905626508765184,当然是数字为本,275.296,1729854951,c5319dc1
1700908896908883712,无所谓，挣到钱就可以。,0.0,1729855341,2125c662
1700918305026036992,大家看汇率就好了，现在汇率能代表放水。,145.15,1729856462,6bdd9455
1700937662711597824,复杂＝问题太多了,74.367,1729858770,12ffa5c
1701063717770765568,对啊，所以难听点我就是个顶锅的,155.792,1729873797,7981d7e8
1701175433300733184,是对经济学名词的准确含义不懂,140.639,1729887114,404526c7
1701405419664577536,欠的都要还,89.876,1729914531,d8379e44
1701895900407967744,忙着建仓 炒股吗,16.279,1729973001,6f2e1fee
1701979940193228544,上瘾了,130.425,1729983019,ac82d94e
1702015939442234112,终于更了,1.499,1729987310,3ae0e31a
1702053219691281408,这下听懂了,277.643,1729991755,e0c90fd5
1702098348783249152,借钱爽不是一直借钱的理由,208.93,1729997134,26eefc2
1702108860992579072,以数字为本，总结的很好，up你币有了,271.803,1729998388,72ac540f
1702464886770140160,主要是 现在利润很低  特别某多多下场后  和以前还不怎么一样,256.784,1730040829,dd32e333
1703851632699662592,但是人口趋势是相较更好预测的，整体的趋势波动也比较平稳，远不如一些短期如投资，出口来的更剧烈,306.023,1730206142,cc495e80
1703912341550849024,后人智慧？,149.138,1730213379,cdbdac0a
1706919571669243904,要通俗易懂，就不要那么多的概念和抽象，能不能讲对比讲增减讲因果！,30.912,1730571869,4e74e93c
1727145328966260736,同感同感,351.149,1732982967,d030d41b
1738028113906597632,有个问题，都说经济差，但为什么今年的汽车消费市场那么热？,282.798,1734280296,bf8af1d
1740879690367286016,首先汽车行业的体量就不如房地产，涉及的上下游产业也不如房地产多，所以肯定不能拿来跟支柱产业房产比，而且新能源内卷严重利润很低，实际上也没挣到多少钱,297.04,1734620231,cd6d0bd6
1766592212549972992,分配,62.231,1737685402,8c338e19
1779613817031565568,2025据说一年期比两年期倒挂,328.517,1739237698,697e3193
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1700831896197638144,我爸重仓的那个股正好停牌错过了上涨和暴跌过程，最后还是挣了一些,685.238,1729846161,d38b3b8c
1700832175748042752,感谢金主催更,426.11,1729846195,fa2b947a
1700833622154430208,看不见看不见,708.709,1729846367,ef7969c5
1700833996437448960,支持支持支持支持,442.237,1729846412,f63b81c
1700834134597495296,已下单,448.047,1729846428,f63b81c
1700861199685758464,粗糙转折,434.688,1729849655,459003ee
1700870517147394816,有点看不清……,705.93,1729850765,71283286
1700872731723992576,大概率还是会复制,678.932,1729851029,fff0910a
