danmaku_id,content,progress,ctime,user_hash
2078549181609471488,哈哈哈哈哈哈哈哈哈,18.218,1774873571,e2040907
2078563135816260608,卧槽啊显卡,23.226,1774875234,39337584
2078564886501945088,哇6根金条,185.467,1774875443,6a1c279e
2078574179024043264,ai 还是太好用了,120.502,1774876551,d98ce39f
2078578063309889024,对，去年开始的，几乎所有，所有的链接都失效了。问题是也不给个新地址，唉,258.114,1774877014,5a8d4849
2078591310197115648,摸着大神过河是吧,279.332,1774878593,997a23ac
2078612522487079680,原来有了CPU相当于就有了电脑,84.283,1774881122,45ab9e3b
2078630858524577792,早几年的剧本应该是在贴吧找到，但是贴吧现在实在太拉了,266.903,1774883307,5b37ecb7
2078631153611020288,卧槽？,67.33,1774883343,289b3b8c
2078659029450282240,内存买不起,67.471,1774886666,1baf8e79
2078663367048428800,开网吧！,88.006,1774887183,96314daa
2078679536568382720,十年前的Intel确实有够闲的，啥都做一下试试看,111.039,1774889110,55592077
2078722640675746048,直接nixos启动自动安装本地flake,353.355,1774894249,14b30517
2078751522762259200,在企业级的这个领域里，真的是有好多的狠货啊,5.464,1774897692,b4d665b8
2078752200050128384,企业级的东西，除了贵，没毛病～,33.324,1774897772,b4d665b8
2078752618272505600,企业级重量［doge］,39.701,1774897822,b4d665b8
2078754264855448576,原来那些工作站和服务器都是贵有贵的道理的,180.481,1774898019,b4d665b8
2078755543589863936,‘2024年’,259.596,1774898171,b4d665b8
2078756131748498432,B站的神秘大佬,274.123,1774898241,b4d665b8
2078787419251116288,想起来了，当年的intel热衷于拿通用处理器跑ai，结局就是被gpgpu打趴下了,107.764,1774901971,7ad8bb
2078866772454661888,有沒有一種可能是台斤，一台斤600克,39.663,1774911431,f5197bf9
2078899392756404480,大叔也想成为假面骑士,18.24,1774915319,c37c6be0
2078969270842420992,哈哈哈哈,128.77,1774923649,d70420b0
2079000324177982976,现在d4涨得最多,79.5,1774927351,22758095
2079023014129442816,缩图,22.931,1774930056,1722a7f0
2079023972444038144,666,97.726,1774930170,1722a7f0
2079040343810466048,贴吧把好多老旧的宝藏帖子都屏蔽了。。,270.591,1774932122,1b32858f
2079040854374745856,强迫症，为啥插5根,193.629,1774932183,d89dbcac
2079054994732616448,←我也看到那个评论了哈哈哈哈,30.078,1774933868,9fbbbe2e
2079064741162840064,真大佬,278.311,1774935030,253e0101
2079067102807026944,没撕膜！,60.457,1774935312,50c8b4b3
2079120122366609664,点火？？？,322.365,1774941632,4e92fa21
2079306647629133568,这卡能玩游戏么？,232.402,1774963868,47df5477
2079463721125844992,明明是超过2斤,44.046,1774982592,4d9f2b46
2079775581872367360,难道是给数据中心用的协处理器？,38.751,1775019769,b62c1e05
2079779161005804544,好漂亮,65.362,1775020196,92a94347
2079922592085046528,早年Intel尝试用X86干gpu的活的产物,119.728,1775037294,ef298e21
2079968595806431744,因为服务器有子模块，正常,100.634,1775042778,2f3a22fb
2080082002748689664,.0,210.393,1775056297,495b3efc
2080389962129902592,逼友，怎么听起来怪怪的？,6.107,1775093009,7f1fe1af
2080503165589645056,RX580 A580 B580 P580,81.918,1775106504,b25c83cf
2081223379914428160,到这我已经忘了这个是用来干嘛的了哈哈哈,301.443,1775192360,55295c3a
2081388497440580096,????????\,75.782,1775212044,81e726eb
2081684370783751680,赛博史官,275.528,1775247314,7463f329
2081864128946796288,服务器外置风扇散热,143.26,1775268743,c2eabf50
2082788532040836096,AMD,309.046,1775378941,74fe39d5
2082974282271091200,AI真是太好用了,298.847,1775401084,6a54c7e
2084100164234692608,所以有用吗,137.072,1775535299,8a1cde90
2084400041921694720,Intel经典操作，老东西页面留着东西没了,258.058,1775571048,75875c
2084472569440492288,罗胖,11.792,1775579694,1102e7ef
2084838587542954752,老罗？,3.145,1775623326,e449bc15
2084839130420089088,你好，缩图,28.222,1775623391,e8e6363d
2084874242977049856,服务器一般不重启,343.35,1775627577,453b9ac5
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2078544260332066816,限制是PCIE3.0*4？,526.817,1774872984,d4c58b6d
2078566728715712256,无头服务器异闻录,421.058,1774875663,39337584
2078577815276299264,666,679.898,1774876984,29187406
2078610513818624768,666,682.942,1774880882,24a1ea47
2078653192908204288,如果换E5的芯片，是不是更暴躁,719.875,1774885970,8048d6
