danmaku_id,content,progress,ctime,user_hash
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
2079334859432284160,第二组,25.132,1774967231,a94c2e61
2080085570725914880,222,0.756,1775056723,a3cdb5f9
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2079323961506463488,妹妹说紫色很有韵味,5.66,1774965932,c13a9e75
