danmaku_id,content,progress,ctime,user_hash
1707440475260623360,1,58.037,1730633966,4585e32e
1707467289227628800,2222222,44.101,1730637162,f59d411b
1707794449066797312,1,68.518,1730676162,ad0c2966
1707802029298174976,80分妈妈依然爱我,76.907,1730677066,3e4b85ac
1707814049921873408,2,76.38,1730678499,a49b87ec
1707814115243843328,2,76.38,1730678507,a49b87ec
1707820750741937664,2,54.412,1730679298,e1c8d37d
1707842754371502848,早安,41.878,1730681921,6244ccfa
1707870616864054272,早上好，今天看昨天的，今天开始坚持看,14.87,1730685242,7d8fce2c
1708505982634295040,感谢！,31.744,1730760984,57996af6
1710690510097862656,早上好,8.38,1731021400,d1e26c15
1719718124934215680,塑造是不是考过逻辑填空 积累不够总感觉怪怪的,61.681,1732097575,7e84cbb1
,,0.0,1775645360.3863423,
lb.c,,0.0,1775645360.3863423,
,,0.0,1775645360.3863423,
1707472227659841536,深入产业实践,537.782,1730637751,f59d411b
1707804717259978240,突然转场,411.097,1730677387,1a4f3a78
1707831766914191872,哪写错了，你要不看看你打的什么,484.245,1730680611,5dd73c14
1707841619048813824,右边思维导图,505.524,1730681786,701660cf
1707865601231923968,看见错字了哈哈哈哈实践不是时间,533.467,1730684644,b0e946e2
1707886543668206336,右边思维导图的“产业时间”写错了,585.251,1730687141,53fadace
1707924755598536704,是yi还是ai,442.826,1730691696,9594c5a6
1708090067983533312,自己知道什么意思不就行了吗，怎么老是刷,592.817,1730711403,c934e1ad
1709228816645489408,怎么还能聊上,547.033,1730847152,aa570399
1712644158726526976,是啊，怎么聊上的,559.519,1731254293,69e85c1a
1726075131673003264,怎么聊上的,569.062,1732855390,cb451fc5
1808007713142831616,硬件加软件,666.338,1742622514,7f4dfc9a
,,0.0,1775645360.3863423,
lb.c,,0.0,1775645360.3863423,
,,0.0,1775645360.3863423,
1707873571374183680,写的真好，喜欢这段,871.274,1730685595,d2549ee6
1709327836286475264,开辟新赛道,929.723,1730858956,570af86
,,0.0,1775645360.3863423,
lb.c,,0.0,1775645360.3863423,
,,0.0,1775645360.3863423,
1707440475260623360,1,58.037,1730633966,4585e32e
1707467289227628800,2222222,44.101,1730637162,f59d411b
1707794449066797312,1,68.518,1730676162,ad0c2966
1707802029298174976,80分妈妈依然爱我,76.907,1730677066,3e4b85ac
1707814049921873408,2,76.38,1730678499,a49b87ec
1707814115243843328,2,76.38,1730678507,a49b87ec
1707820750741937664,2,54.412,1730679298,e1c8d37d
1707842754371502848,早安,41.878,1730681921,6244ccfa
