danmaku_id,content,progress,ctime,user_hash
2044401628399973888,不是拆开看一下？,88.366,1770802865,27363739
2044410330775706624,咋这么像1panel？,321.352,1770803903,d29e8878
2044411007376047104,2222222222222,35.533,1770803983,3631d364
2044454354979153408,鼠标中键不能点怎么办？,115.109,1770809151,d6ee9493
2044467647282289408,N卡网速快,57.597,1770810735,324c2f62
2044474249603516416,现在只要2.8万了,15.007,1770811522,98a1edfa
2044479287532217600,非公的NVIDIA DGX Spark,10.1,1770812123,12c36e3c
2044483949644456192,如果你恰巧财力雄厚,77.244,1770812679,d7397868
2044489665909997312,散热很拉,75.821,1770813360,cb9a448c
2044509050582084352,p5特效好评,2.158,1770815671,a64aa0d3
2044512071110551040,贵不贵起不知道，很贵是真的,32.22,1770816031,b5d2691
2044531775120379648,这是王维诗里的电脑,44.971,1770818380,65005491
2044553791038879744,有图形化？,108.139,1770821004,ae7e37b3
2044558028350664192,我都买这个了你说我不会linux,127.109,1770821510,70e56cac
2044569667628488960,实际上因为这个的内存带宽远不及同样6000个cuda左右显卡的显存，这6000cuda的性能根本发挥不出来，除非上八通道内存,136.915,1770822897,2b25adfb
2044579856515396096,？,61.659,1770824112,35531eb3
2044596827172850944,死亡搁浅,241.989,1770826135,7a1f8e7a
2044601853442034944,arch：没有图形化？在想我的事,127.616,1770826734,10f49a5a
2044624527699026432,还有死亡搁浅,243.79,1770829437,f3b44834
2044665029240633088,阉割了3d？,208.291,1770834265,fc703a7a
2044904754484104960,"带宽能有gddr7高吗，gddr7总带宽是1.5tb/s,这玩意只有273 GB/s",176.095,1770862842,77d90024
2044998494553043200,666跑AI的,44.612,1770874017,673e07c9
2045180661589163776,1panel换logo,339.3,1770895733,fddec1c0
2045254092904860928,Ubuntu,113.58,1770904487,fbceac0f
2045254856369160704,企业搞这玩意放机柜里？,264.322,1770904578,fbceac0f
2045257125898915840,前面都说了，nv 自己维护的改版 ubuntu,116.242,1770904848,6ba81fb7
2045288461065866752,玩游戏,16.318,1770908584,86702194
2045295555680393472,这个主要是cuda生态相关的,315.621,1770909430,7a35077b
2045300567773556736,不敢和 aimax395比？,231.647,1770910027,b5baf6a1
2045319136275542528,arm的啊,127.357,1770912241,6154bae7
2045319484403380736,好东西，就是太贵了,146.288,1770912282,2c724f7c
2045322021939822848,跑AI 谁用这么小得机器。。散热。储存都是问题,182.177,1770912585,c2f3e593
2045359857582353408,内存跟显存有什么关系吗,305.249,1770917095,37b388a2
2045413888379538176,6,31.346,1770923536,16bb3423
2045419848754530560,专门跑大模型的,21.487,1770924246,1a1fe7e3
