danmaku_id,content,progress,ctime,user_hash
2075518739993983744,但AI真的看着好假，如果以后全部都这样，那宁愿不看了,7.567,1774512314,a0f00cf6
2075582031303276032,主播是ai吗,4.287,1774519859,80f2acce
2075598883320837376,编剧工资涨？这数据可靠吗？ai不能写剧本？,30.18,1774521868,accc0d00
2075611588958351360,有趣的世界,51.24,1774523382,4be2ca0e
2075621736447328768,好耶，,42.486,1774524592,a64982a2
2075626460995050240,不是演技不成？,42.635,1774525155,c8951786
2075648353794428928,好,15.17,1774527765,6be1e4d2
2075669143784532480,我不看 ai的。,1.236,1774530243,4915fac4
2075690205104794112,AI是没法代替人类的,28.047,1774532754,2c6a0a98
2075713244861624064,科技就是第一生产力 科技将人类从繁重的劳动中解脱出来 科技改变生活,28.926,1774535501,9edd7709
2075744469902875392,快节奏，日薪3000，可能一天就拍完一部了，工作量不是盖的,22.103,1774539223,3336265e
2075760583042536448,好,15.329,1774541144,ecef34d
2075764563051249152,主持人也迟早被AI替代,1.046,1774541618,bc358f28
2075780732730931456,劣币驱逐劣币了属于是,22.309,1774543546,31c424df
2075872044700635904,这不就说明了短剧不值钱了嘛！人人都可以做了,35.081,1774554431,98b96e54
2075971886835602176,ai特效.任务结构更加可以为所欲为,0.848,1774566333,1540fc21
2076016954716279040,AI替代人工，要收税吗,50.514,1774571706,721fa054
2076070626371886592,群演以后真没活了,36.758,1774578104,29441b86
2076096224226328320,AI占领全球,30.311,1774581155,9c37e9f
2076128428318310400,主持人也是ai,35.628,1774584994,a9b7bc80
2076135148290266880,一天5000啊,39.746,1774585796,cf52d106
2076144358235211008,支持,14.126,1774586893,64b38259
2076144768211828736,龙王慌了,10.186,1774586942,9c419d46
2076163479496777984,底特律：化身为人,0.0,1774589173,f1baf862
2076165903158391552,好！,23.239,1774589462,e8ad396b
2076205439002992128,那不看了,49.139,1774594175,b69aa607
2076205761671347200,ai写剧本更快,43.362,1774594213,3cd4bca2
2076281997726824192,太奶奶呢,43.553,1774603301,9ac076ee
2076327963792004864,好笑的是，短剧演员这行业也没多久,7.701,1774608781,68cfa7ea
2076334292384386304,大起大落，比小说还要离谱,21.469,1774609535,e1eac2e8
2076416378772303616,ai演技好,42.792,1774619321,8f32c09
2076493947668163840,创造ai的人也在逐渐被ai替代,35.526,1774628568,d9f003b
2081832639530449408,钱给编剧了,29.348,1775264989,a9931cf1
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2075518739993983744,但AI真的看着好假，如果以后全部都这样，那宁愿不看了,7.567,1774512314,a0f00cf6
2075582031303276032,主播是ai吗,4.287,1774519859,80f2acce
2075598883320837376,编剧工资涨？这数据可靠吗？ai不能写剧本？,30.18,1774521868,accc0d00
2075611588958351360,有趣的世界,51.24,1774523382,4be2ca0e
2075621736447328768,好耶，,42.486,1774524592,a64982a2
2075626460995050240,不是演技不成？,42.635,1774525155,c8951786
2075648353794428928,好,15.17,1774527765,6be1e4d2
2075669143784532480,我不看 ai的。,1.236,1774530243,4915fac4
2075690205104794112,AI是没法代替人类的,28.047,1774532754,2c6a0a98
2075713244861624064,科技就是第一生产力 科技将人类从繁重的劳动中解脱出来 科技改变生活,28.926,1774535501,9edd7709
2075744469902875392,快节奏，日薪3000，可能一天就拍完一部了，工作量不是盖的,22.103,1774539223,3336265e
2075760583042536448,好,15.329,1774541144,ecef34d
2075764563051249152,主持人也迟早被AI替代,1.046,1774541618,bc358f28
2075780732730931456,劣币驱逐劣币了属于是,22.309,1774543546,31c424df
2075872044700635904,这不就说明了短剧不值钱了嘛！人人都可以做了,35.081,1774554431,98b96e54
2075971886835602176,ai特效.任务结构更加可以为所欲为,0.848,1774566333,1540fc21
2076016954716279040,AI替代人工，要收税吗,50.514,1774571706,721fa054
2076070626371886592,群演以后真没活了,36.758,1774578104,29441b86
2076096224226328320,AI占领全球,30.311,1774581155,9c37e9f
2076128428318310400,主持人也是ai,35.628,1774584994,a9b7bc80
2076135148290266880,一天5000啊,39.746,1774585796,cf52d106
2076144358235211008,支持,14.126,1774586893,64b38259
2076144768211828736,龙王慌了,10.186,1774586942,9c419d46
2076163479496777984,底特律：化身为人,0.0,1774589173,f1baf862
2076165903158391552,好！,23.239,1774589462,e8ad396b
2076205439002992128,那不看了,49.139,1774594175,b69aa607
2076205761671347200,ai写剧本更快,43.362,1774594213,3cd4bca2
2076281997726824192,太奶奶呢,43.553,1774603301,9ac076ee
2076327963792004864,好笑的是，短剧演员这行业也没多久,7.701,1774608781,68cfa7ea
2076334292384386304,大起大落，比小说还要离谱,21.469,1774609535,e1eac2e8
2076416378772303616,ai演技好,42.792,1774619321,8f32c09
2076493947668163840,创造ai的人也在逐渐被ai替代,35.526,1774628568,d9f003b
2081832639530449408,钱给编剧了,29.348,1775264989,a9931cf1
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2075518739993983744,但AI真的看着好假，如果以后全部都这样，那宁愿不看了,7.567,1774512314,a0f00cf6
2075582031303276032,主播是ai吗,4.287,1774519859,80f2acce
2075598883320837376,编剧工资涨？这数据可靠吗？ai不能写剧本？,30.18,1774521868,accc0d00
2075611588958351360,有趣的世界,51.24,1774523382,4be2ca0e
2075621736447328768,好耶，,42.486,1774524592,a64982a2
2075626460995050240,不是演技不成？,42.635,1774525155,c8951786
2075648353794428928,好,15.17,1774527765,6be1e4d2
2075669143784532480,我不看 ai的。,1.236,1774530243,4915fac4
2075690205104794112,AI是没法代替人类的,28.047,1774532754,2c6a0a98
2075713244861624064,科技就是第一生产力 科技将人类从繁重的劳动中解脱出来 科技改变生活,28.926,1774535501,9edd7709
2075744469902875392,快节奏，日薪3000，可能一天就拍完一部了，工作量不是盖的,22.103,1774539223,3336265e
2075760583042536448,好,15.329,1774541144,ecef34d
2075764563051249152,主持人也迟早被AI替代,1.046,1774541618,bc358f28
2075780732730931456,劣币驱逐劣币了属于是,22.309,1774543546,31c424df
2075872044700635904,这不就说明了短剧不值钱了嘛！人人都可以做了,35.081,1774554431,98b96e54
2075971886835602176,ai特效.任务结构更加可以为所欲为,0.848,1774566333,1540fc21
2076016954716279040,AI替代人工，要收税吗,50.514,1774571706,721fa054
2076070626371886592,群演以后真没活了,36.758,1774578104,29441b86
2076096224226328320,AI占领全球,30.311,1774581155,9c37e9f
2076128428318310400,主持人也是ai,35.628,1774584994,a9b7bc80
2076135148290266880,一天5000啊,39.746,1774585796,cf52d106
2076144358235211008,支持,14.126,1774586893,64b38259
2076144768211828736,龙王慌了,10.186,1774586942,9c419d46
2076163479496777984,底特律：化身为人,0.0,1774589173,f1baf862
2076165903158391552,好！,23.239,1774589462,e8ad396b
2076205439002992128,那不看了,49.139,1774594175,b69aa607
2076205761671347200,ai写剧本更快,43.362,1774594213,3cd4bca2
2076281997726824192,太奶奶呢,43.553,1774603301,9ac076ee
2076327963792004864,好笑的是，短剧演员这行业也没多久,7.701,1774608781,68cfa7ea
2076334292384386304,大起大落，比小说还要离谱,21.469,1774609535,e1eac2e8
2076416378772303616,ai演技好,42.792,1774619321,8f32c09
2076493947668163840,创造ai的人也在逐渐被ai替代,35.526,1774628568,d9f003b
2081832639530449408,钱给编剧了,29.348,1775264989,a9931cf1
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
2075518739993983744,但AI真的看着好假，如果以后全部都这样，那宁愿不看了,7.567,1774512314,a0f00cf6
2075582031303276032,主播是ai吗,4.287,1774519859,80f2acce
