danmaku_id,content,progress,ctime,user_hash
1855859793642832896,已三连！,56.225,1748315658,858f3cb1
1855860057951093760,等我有币再投,45.044,1748316569,84c2c090
1860296318145475328,已三联,101.44,1748855802,46172257
1942981899513818112,求资料,88.359,1758712691,d89023c9
1973817469508775168,大佬也用免费的,115.997,1762388578,ec99ee15
1977497119313377280,求资料,105.523,1762827226,a4392b26
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1872155891626388480,太好了,565.005,1750269573,c8415250
1915149784009398528,口音真听不出来？,693.9,1755394845,b215f744
1944529519684151296,有,687.329,1758897182,51214b0e
1947753900019296000,十一，有人吗,706.585,1759281558,5a317727
1979646544991094784,求资料,531.612,1763083458,770a093c
1985744794731467008,因为这是台湾的教授啊,701.303,1763810426,80ce273c
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1876355397041030656,课程很好，已经三连，求分享！,1012.657,1750770193,7ecf0751
1879772934705946368,真怀念上大学的时候 修学分,748.948,1751177596,90d65623
1879774969379643136,笑鼠,1052.079,1751177838,90d65623
1894904964984742912,是不是跑题了，老师,1073.131,1752981474,c3e70a1f
1900727907673026304,hhhh,1058.985,1753675623,6a2d2209
1977480958248559872,求资料,1025.263,1762825300,1f1aedb3
2008235747223710464,最小的GPT-2模型只有1.24亿参数,1030.417,1766491556,2396868c
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1875349869917727232,弹幕到底在哪里啊哈哈哈哈,1331.31,1750650325,5b0488fd
1896622267359182080,怪不得这个老师的播放量高，讲得好有意思。,1080.847,1753186193,557254c2
1897363813947199744,湾湾的老师确实很幽默,1314.545,1753274592,cedd79aa
1897364466614862336,太好笑了吧,1422.665,1753274670,cedd79aa
1901414773892294656,有的,1400.341,1753757504,6a2d2209
1906842875757753600,有的,1405.865,1754404584,a602789a
1943619325559112448,啥都没听，哪来的作业,1429.589,1758788678,c4f4d0e9
1991256561376949504,有的,1411.128,1764467479,8eaec371
1996363324703123200,保留了一些原本的味道,1228.503,1765076253,41457a9b
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1931861841597110528,这就是专业,1484.773,1757387077,4b2b0dd6
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1855859793642832896,已三连！,56.225,1748315658,858f3cb1
1855860057951093760,等我有币再投,45.044,1748316569,84c2c090
1860296318145475328,已三联,101.44,1748855802,46172257
1942981899513818112,求资料,88.359,1758712691,d89023c9
1973817469508775168,大佬也用免费的,115.997,1762388578,ec99ee15
1977497119313377280,求资料,105.523,1762827226,a4392b26
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1872155891626388480,太好了,565.005,1750269573,c8415250
1915149784009398528,口音真听不出来？,693.9,1755394845,b215f744
1944529519684151296,有,687.329,1758897182,51214b0e
1947753900019296000,十一，有人吗,706.585,1759281558,5a317727
