danmaku_id,content,progress,ctime,user_hash
1751321921494514944,一转攻势,112.887,1735865042,a025b16a
1751341054969983232,哈哈,110.964,1735867322,e630d078
1751417435125153280,升华了,118.508,1735876428,e2cf3d05
1751451994410819328,叠甲时间,116.72,1735880547,a5709bdb
1751500293482402560,确实没参照，因为房价不仅没降还涨了,110.953,1735886305,d076ee79
1751648393089919488,听懂了,48.16,1735903960,4d9a35f0
1751664495879008512,这下看懂了,110.851,1735905880,7cca25b
1751696554546436864,这个算是再城市化和逆城市化的表现吗,24.851,1735909701,e476c122
1752099980908498432,点错了,4.194,1735957793,26163b76
1752100027725201408,点错了,10.072,1735957799,26163b76
1752109816727874048,说！的！道！理！,112.931,1735958966,f6b8e966
1752199402212204288,5,76.916,1735969645,9224cfb5
1752214991215269888,5,74.741,1735971504,bc5af7a5
1752228631452873728,5,76.436,1735973130,d7ae9a9b
1752229047980697088,5,75.801,1735973179,c875d003
1752264141973960448,5,75.349,1735977363,7afc488c
1752288277508950528,5,77.515,1735980240,782b48bc
1752329100477126144,专业对口了。。,15.677,1735985107,922769f3
1752392271317443328,坏了 有点听懂了 ,63.12,1735992637,c11c3d48
1752410599746321408,5,77.693,1735994822,50de208f
1752419462511962112,难说,109.018,1735995879,14fec1dc
1752419764032293888,5,75.835,1735995915,e8820239
1752422538975404288,5,75.382,1735996245,ff00f75
1752434894909198848,《当然》,108.366,1735997718,7045279c
1752453431802702848,5,76.873,1735999928,c0aab982
1752462699855382528,5,76.435,1736001033,f4f3228b
1752463440024302848,5,77.648,1736001121,8c72f032
1752464323361564928,5,94.694,1736001226,9521fc04
1752467874091595008,1,93.922,1736001650,ca5587d7
1752476689092602368,5,77.858,1736002701,59a7a25
1752482693045820928,5,91.314,1736003416,ad4dae9a
1752485426414899968,5,76.067,1736003742,bbfd7d9e
1752510543299688448,5,92.96,1736006736,ce15a36e
1752515353923260928,5,77.236,1736007310,23f19496
1752521024194428928,5,75.279,1736007986,356603e
1752522195445282048,5,93.231,1736008125,84636093
1752522682748092928,5,92.101,1736008183,80a71869
1752526472712707328,5,74.64,1736008635,fa584617
1752538364227214848,5,76.268,1736010053,73ab0a4e
1752538496683358208,5,91.98,1736010069,73ab0a4e
