danmaku_id,content,progress,ctime,user_hash
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1969142372591957504,UP辛苦了,16.213,1761831263,39959c1e
1532817373307289344,还望点赞支持(做攻略很累的，让我有点收益 (*^▽^*) ),2.516,1709817270,419a32a5
1532817645097997568,耗子就随便打，没什么,9.406,1709817302,419a32a5
1532816812520423680,本攻略主要参考速通大佬的方法,1.703,1709817203,419a32a5
1533967726090305024,本攻略将由up以弹幕形式解说,2.281,1709954402,419a32a5
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
