danmaku_id,content,progress,ctime,user_hash
1897134791007561216,哈哈哈哈，我真的不是嘲笑,95.024,1753247290,50e231bf
1897149795207383040,一坤年,15.529,1753249079,6b1aade9
1897156612871974912,猜到了,74.147,1753249891,c9b050c4
1897191302627025152,298不得起飞啊,209.64,1753254027,c87ceb1
1897238737536999936,能赚钱就接着写啊,189.001,1753259681,7f99525a
1897239277981838336,你的问题是不继续写，全部都写了个开头,253.505,1753259746,7f99525a
1897298754202284544,有一点点,14.553,1753266836,97e16d94
1897322370289575424,因为你没接到广子,7.735,1753269651,14fb7faa
1897323266293769728,没法，现在的人没那么耐心等你的爽点到了,187.796,1753269758,7c00c6e0
1897345441453505280,上次这么说的是在横店当演员,61.339,1753272402,3d75c576
1897353802991363072,没有进步是常态，有是运气，不必焦虑什么,74.363,1753273398,21406332
1897385177316498944,为什么不能坚持一本下去呢？,316.074,1753277138,d98f38eb
1897386957353876224,起飞了,134.995,1753277351,44403bd6
1897387382975129856,看完风子看阿呆，双厨同更美滋滋,0.7,1753277401,d9eb64d7
1897415664831099904,不符合天道 生存就要俯下身去 像小草一样 别想什么脸面,23.728,1753280773,2bbeea93
1897415796683704576,但是很有挑战，不是么。,42.206,1753280789,7f6f1a9b
1897418665645882112,漂泊者,42.686,1753281131,b94ffed4
1897425358723698944,同类小说太多了,345.045,1753281928,d0c30928
1897428296657403648,？？？怪我咯,44.299,1753282279,8a8436e0
1897441080417746432,说明第一本运气真的很好，吃到流量了,228.012,1753283803,3721244f
1897446973489962240,番茄不都是免费看的吗,285.306,1753284505,38147caf
1897450817419220736,我去,7.391,1753284963,2af370e0
1897473110908018176,女频很凉啊，比男频人次少，所以才给的高,283.099,1753287621,a60ef20
1897483326261505280,跑外卖半年都能存个万把块吧,117.092,1753288839,94da94d7
1897510760868317184,？这不是白打工吗？,144.738,1753292109,ce9cb975
1897526870619693312,什么时候不看收益了，才有机会有收益,289.268,1753294030,9f7f62f4
1897543903553557504,.......,282.161,1753296060,b5609594
1897598395615401728,居然真的能赚钱，还不错嘛。,95.526,1753302556,271da389
1897677950087186176,送外卖吧，深圳那个黄师傅一天300,135.031,1753312040,1899ab69
1897679633538183680,我现在也切了，不看了,316.466,1753312240,1899ab69
1897717662025521408,就非要有积蓄呗,57.02,1753316774,7d86e13e
1897724780783306240,现在这个社会大多数人都是半斤八两 没有积蓄真的非常正常,61.295,1753317622,244ffbaa
1897728437209217280,十几万字太少了，没三四十万字你都没法谈挣钱的事,169.822,1753318058,6ecd9ad8
1897733154198984704,因为他是全职写网文啊，收入太低都活不下去还怎么更啊,352.359,1753318621,550bebdf
1897793628471002624,...................,158.932,1753325830,d5da3a2c
1897798119111509504,都是一个套路,337.702,1753326365,c025335a
1897804875891923968,发过来 我去看看,337.908,1753327170,7871d9b
1897808922833002496,而且凡人也是一直在虐男主，韩跑跑,321.934,1753327653,7d344c0b
1897831490948609536,都不够电脑的电费吧？,109.198,1753330343,79c87c3f
1897831967186733056,所以是了解女频？,165.976,1753330400,79c87c3f
1897859281198600704,你可以去起点什么的先试试，不行的话再去番茄,129.546,1753333656,c48afc38
1897859554214578432,主要题材不新颖。。。,227.243,1753333689,8268395a
1897860275710257920,这个也要看运气的,347.128,1753333775,1221c039
1897874734415614208,95年写小说的路过......,143.442,1753335498,a55e48ed
1897904086423722496,你的问题应该是在于跟风，最后搞得自己的文不伦不类,237.234,1753338997,987ea6dd
1897908806986880256,之前写女频的？,171.559,1753339560,367094eb
1897909373637423104,你为什么都是只开个头就跑呢？长篇网文比的就是谁能写完啊,290.007,1753339628,a521f23b
1897909748088151552,你为什么不写完？,322.324,1753339672,a521f23b
1897910688786396928,是你觉得不错,337.593,1753339784,42fc028c
1897924248283030784,可能是听书的,303.191,1753341401,eca1aee
1897928880212653056,你不热爱你的故事以，不赚钱也要完结,256.687,1753341953,eb8a39e7
1897929622209751552,你这太容易半途而废了,322.136,1753342041,eb8a39e7
1897945523965860096,因为不够特别在模仿,231.034,1753343937,877f0e96
1897949344524045824,可能就是没人在看 所以也没人评论 并不是观众高冷,304.364,1753344392,f147d4c
1897950364913990400,怎么都十几万字啊,330.357,1753344514,9624aff4
1897978749765651712,为啥嘞,278.075,1753347898,c3f1f470
1897980311313873664,听劝，写文不要断更，不管成绩如何，写完，这样才有收获，你复盘才知道自己哪里不足。断更只会越来越差,158.01,1753348084,4cd6bc50
1898023561835861760,才40几万字？,88.685,1753353240,834ca298
1898029685351354112,口才和形象都是一流的，不要放弃群演吧,26.201,1753353970,4b062abe
