danmaku_id,content,progress,ctime,user_hash
1746433556458210304,也很多也很乱。,6.899,1735282303,bf81c608
1746549619065838080,手写能识别这样挺好了，但是这字号，字体都挺统一的，其实通过训练能实现,20.991,1735296139,9b2b345
1746792270021611008,挺好的，财务不认,1.2,1735325065,8d3a1353
1747381241067578624,医院开的花体字能识别吗？龙飞凤舞那种,18.895,1735395276,b317717a
1747745358211679488,高科技报发票，呃,28.698,1735438682,75a8ce62
1748716227548992768,可以关闭视频了，要花钱,2.775,1735554419,747333cc
1748716280833288448,要花钱,7.855,1735554425,747333cc
1748818474035200000,年份错了,83.897,1735566607,37f56e16
1751448965158542592,怎么弄的，我平时没事了都是用电脑做做 袋真元，一天七八十，挣点零花钱,20.907,1735880186,92ed2d25
1754608601613956608,速度 速度 速度 还是速度,26.527,1736256844,d405f251
1763973822673038336,我之前用ocr加deepseek效果也出奇的好，也是不受办事限制，重点是几乎免费,136.28,1737373266,2b7274fc
1795876149281832704,这个终端从哪里进入啊?,143.872,1741176319,5d1594a8
1807879926020604416,配置好Python的cmd终端……,151.368,1742607281,75e82bfe
1837863639869128704,要联网的还是算了,51.814,1746181618,8d3f0b8a
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1746433556458210304,也很多也很乱。,6.899,1735282303,bf81c608
1746549619065838080,手写能识别这样挺好了，但是这字号，字体都挺统一的，其实通过训练能实现,20.991,1735296139,9b2b345
1746792270021611008,挺好的，财务不认,1.2,1735325065,8d3a1353
1747381241067578624,医院开的花体字能识别吗？龙飞凤舞那种,18.895,1735395276,b317717a
1747745358211679488,高科技报发票，呃,28.698,1735438682,75a8ce62
1748716227548992768,可以关闭视频了，要花钱,2.775,1735554419,747333cc
1748716280833288448,要花钱,7.855,1735554425,747333cc
1748818474035200000,年份错了,83.897,1735566607,37f56e16
1751448965158542592,怎么弄的，我平时没事了都是用电脑做做 袋真元，一天七八十，挣点零花钱,20.907,1735880186,92ed2d25
1754608601613956608,速度 速度 速度 还是速度,26.527,1736256844,d405f251
1763973822673038336,我之前用ocr加deepseek效果也出奇的好，也是不受办事限制，重点是几乎免费,136.28,1737373266,2b7274fc
1795876149281832704,这个终端从哪里进入啊?,143.872,1741176319,5d1594a8
1807879926020604416,配置好Python的cmd终端……,151.368,1742607281,75e82bfe
1837863639869128704,要联网的还是算了,51.814,1746181618,8d3f0b8a
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1746433556458210304,也很多也很乱。,6.899,1735282303,bf81c608
1746549619065838080,手写能识别这样挺好了，但是这字号，字体都挺统一的，其实通过训练能实现,20.991,1735296139,9b2b345
1746792270021611008,挺好的，财务不认,1.2,1735325065,8d3a1353
1747381241067578624,医院开的花体字能识别吗？龙飞凤舞那种,18.895,1735395276,b317717a
1747745358211679488,高科技报发票，呃,28.698,1735438682,75a8ce62
1748716227548992768,可以关闭视频了，要花钱,2.775,1735554419,747333cc
1748716280833288448,要花钱,7.855,1735554425,747333cc
1748818474035200000,年份错了,83.897,1735566607,37f56e16
1751448965158542592,怎么弄的，我平时没事了都是用电脑做做 袋真元，一天七八十，挣点零花钱,20.907,1735880186,92ed2d25
1754608601613956608,速度 速度 速度 还是速度,26.527,1736256844,d405f251
1763973822673038336,我之前用ocr加deepseek效果也出奇的好，也是不受办事限制，重点是几乎免费,136.28,1737373266,2b7274fc
1795876149281832704,这个终端从哪里进入啊?,143.872,1741176319,5d1594a8
1807879926020604416,配置好Python的cmd终端……,151.368,1742607281,75e82bfe
1837863639869128704,要联网的还是算了,51.814,1746181618,8d3f0b8a
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1746433556458210304,也很多也很乱。,6.899,1735282303,bf81c608
1746549619065838080,手写能识别这样挺好了，但是这字号，字体都挺统一的，其实通过训练能实现,20.991,1735296139,9b2b345
1746792270021611008,挺好的，财务不认,1.2,1735325065,8d3a1353
1747381241067578624,医院开的花体字能识别吗？龙飞凤舞那种,18.895,1735395276,b317717a
1747745358211679488,高科技报发票，呃,28.698,1735438682,75a8ce62
1748716227548992768,可以关闭视频了，要花钱,2.775,1735554419,747333cc
1748716280833288448,要花钱,7.855,1735554425,747333cc
1748818474035200000,年份错了,83.897,1735566607,37f56e16
1751448965158542592,怎么弄的，我平时没事了都是用电脑做做 袋真元，一天七八十，挣点零花钱,20.907,1735880186,92ed2d25
1754608601613956608,速度 速度 速度 还是速度,26.527,1736256844,d405f251
1763973822673038336,我之前用ocr加deepseek效果也出奇的好，也是不受办事限制，重点是几乎免费,136.28,1737373266,2b7274fc
1795876149281832704,这个终端从哪里进入啊?,143.872,1741176319,5d1594a8
1807879926020604416,配置好Python的cmd终端……,151.368,1742607281,75e82bfe
1837863639869128704,要联网的还是算了,51.814,1746181618,8d3f0b8a
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1746433556458210304,也很多也很乱。,6.899,1735282303,bf81c608
1746549619065838080,手写能识别这样挺好了，但是这字号，字体都挺统一的，其实通过训练能实现,20.991,1735296139,9b2b345
