danmaku_id,content,progress,ctime,user_hash
1260914989632721408,刚刚！ChatGPT！好耶！！,6.034,1677403980,5b1fb624
1260916572546084096,地址替大家访问了，还没注册,190.454,1677404168,bba8d8b5
1260919337372857344,我lin，热who地,1.339,1677404498,8112cc4b
1260920712676554240,看的出小lin是真的想做奶茶,194.052,1677404662,2a6ce240
1260921727916318464,终于更新了,75.169,1677404783,83873778
1260922312996602880,哈哈哈哈哈哈好可爱啊救命,281.309,1677404853,2b82df19
1260924659029864704,小lin是卖奶茶的,68.073,1677405132,1869bea7
1260925683908189952,最近在用ChatGPT写毕业论文,7.881,1677405254,b7813191
1260927955325245696,今天来的挺早,167.473,1677405525,ac316af3
1260928542695558144,聊天记录挺有意思的,283.996,1677405595,f4c159c5
1260929188090045696,社牛,274.526,1677405672,d8fe669
1260929601278978816,期待chatgpt当客服,195.016,1677405721,dd34ff6d
1260930097507033344,人有的时候是这样,184.058,1677405781,189e0fd1
1260930693014387456,算力根据摩尔定律来,357.662,1677405852,b7813191
1260934113972550912,背书的那些可代替,40.099,1677406259,5c3fe8f3
1260935082429180160,好标准的英语考试作文,25.44,1677406375,3b91719d
1260935755992641536,刚发布啊,357.822,1677406455,8cd7ee43
1260952520466353664,咨询公司会失业,63.371,1677408454,5efd15fa
1260954100141426944,这是什么电影啊？,286.45,1677408642,87e5d0fe
1260955967462491904,但是数学题仍然做不出来,321.193,1677408865,35aad05a
1260960618157299456,钢铁侠3 ：这个我熟  脑机接口,354.507,1677409419,ad21179b
1260961852171916800,客户：投诉！机器人：不好意思我没有理解你的意思。,215.113,1677409566,1480f160
1260961878797169408,人在回路,223.977,1677409569,669aad2c
1260963815240184576,大佬们布局好早,290.857,1677409800,b407e246
1260967037145183232,比尔希恩斯,353.94,1677410184,612dbe7b
1260969222243526400,巨硬,289.982,1677410445,503d2f3d
1260971245282208000,《无》,191.556,1677410686,1ebc42db
1260974599894935296,准确地说，800亿个,327.685,1677411086,dad18531
1260983552477382400,QQ以前有个自动回复：然后呢？,134.022,1677412153,12796e34
1260983596081342976,牙好白啊,300.643,1677412158,20a5762c
1260986720770830080,最早接触的人工智能是洛克王国的帮帮精灵,272.379,1677412531,9e8f0f7f
1261006654200176384,我做的ai是一个相声捧哽,135.0,1677414907,38932782
1261007246645851648,丝毫不慌，因为人工智能不能坐牢,75.546,1677414977,d079a375
1261008669630568960,前面说211的根本没懂，你问一个人 也有人会说错。ai不是说百科 是人的思维,122.025,1677415147,7c11ec47
1261009148234221568,这个小学课本有印象,160.681,1677415204,7c11ec47
1261009439092414208,联通客服,189.097,1677415239,7c11ec47
1261009470541198336,侏罗纪公园？,286.953,1677415243,be881c0c
1261016264785274624,if then是lua语言吗？,142.399,1677416053,494cdb8b
1261019707671120896,跟着小lin涨知识,227.219,1677416463,1e35ebaf
1261019742677024000,原来我这么厉害的嘛,324.8,1677416467,90c6f3a4
1261021316228793344,为什么我下课了还在b站学习专业课,340.592,1677416655,175a1dcc
1261024651497291520,其实人类的大脑一般只做二选一的判断,347.803,1677417052,fbbabfd9
1261028802901963520,天网诞生了！,223.916,1677417547,f6c9c41b
1261039367909284096,也就只能表达个文字了,45.323,1677418807,5eda6977
1261050464955787008,现在可以做数学题了呀，求导微积分都不在话下了,324.045,1677420130,e0e9d39d
1261054949320621056,主要是看牙,314.638,1677420664,3afcbafa
1261055516055407104,银翼杀手,97.492,1677420732,3f17fc14
1261060396530665216,重要的不是结果 是模型,82.196,1677421313,d8522202
1261078239703795968,哇  天网前身,258.594,1677423441,a1662a2a
1261083868652637440,人类在沉迷 机器在学习,253.956,1677424112,cdf2a271
1261089521500442368,万一学的走火入魔了,240.625,1677424785,6750c07a
1261091373957190400,微软小冰,276.12,1677425006,a85e2491
1261092867514905600,第一个互联网泡沫时代,261.66,1677425184,b9741a84
1261094871486549504,qq当年的机器人其实也挺牛的，后来不知道为什么突然就傻了,249.419,1677425423,4f942cdd
1261104210834355456,1966年就这么恐怖了,117.245,1677426537,69856ca3
1261138969559614208,听到生辰八字呢,185.753,1677430680,5c040339
1261139369520239616,ctrl+F还有多少人不会,214.735,1677430728,5c040339
1261156089173633280,迭代,342.67,1677432721,ee0284c0
1261167207854081536,"听见how are you,就得到I'm fine, thank you, and you",180.249,1677434046,a2d37ce4
1261181361046541056,这种要破不破的声音我喜欢,133.176,1677435734,658d9111
1261189609472295424,你就说快不快吧(doge,34.14,1677436717,805d1688
1261251899005428224,世界属于三体,278.921,1677444142,71469cc5
1261367866712797440,还是需要人工标识的,249.456,1677457967,852bce0a
1261379158660028416,“机器人”“怎么会呢，我们联通…”,201.46,1677459313,79c2b64b
1261382843188232960,专业点，现在大部分的Code都是if else or for .... loop,148.382,1677459752,3572fc4e
1261391867200076800,大模型的实力,57.278,1677460828,a08dcd30
1261403257998374656,老黄：来活了,354.523,1677462186,e61d8515
1261404542990729984,我还不喜欢贫穷呢,118.388,1677462339,2654ce86
1261425127032480512,能把LIN姐震撼到，厉害,49.171,1677464793,356a4735
1261443505768077824,贝叶斯公式,238.17,1677466984,6b6fa37c
1261481871393804032,懂了，算命机器人,122.804,1677471557,43a565dd
1261519409189850880,刀客机器人,280.333,1677476032,5296dc1b
1261527708098111232,深度学习,315.842,1677477021,4263dc6a
1261528718917257728,！？Eliza是Siri（自称）的老师,127.294,1677477142,21c1cd9f
1261574605014038528,《巴 普 洛 夫 的 AI》,172.858,1677482612,b0799ce7
1261622005934232832,二指禅,112.752,1677488263,874702a5
1261628792317905664,智者,43.619,1677489072,14c2ced
1261651820624020224,科学算卦,150.693,1677491817,e358a246
1261707723004143104,张大大老师是吧！,298.772,1677498481,3eec1b1d
1261746836742488320,这种是纯人写数据库，现在的ai能自学,162.971,1677503143,aafc6c15
1261766322304463872,谁写代码用这个啊，copilot了解一下,49.428,1677505466,3fa1f4fe
1261791564297387008,这个可以帮我银行卡里充点钱吗？,61.199,1677508475,5fb0ca63
1261798551185374208,前段时间元宇宙也牛的不行，这还没整明白就已经被淘汰了，没有造出天网之前别谈人工智能,29.5,1677509308,79515bb1
1261899311210380544,奶茶店的PPT,20.104,1677521320,6fd9cec9
1262262683621960448,yule是指液体装满了之后向外溢出的一种状态或者还有一种表示，,129.34,1677564637,e4a7689a
1262384487199760640,并没有hhh,202.184,1677579157,e3861620
1262399795310811136,淘宝客服,188.304,1677580982,bc7b6efa
1262505209796839680,全连接层,335.506,1677593549,2a71cdb9
1262842669227678720,要命了  上面那个弹幕说的是咱们人上学的时候做不出来数学题  一堆再说机器能的  机器肯定能啊,330.068,1677633777,75dcd299
1262864409110653184,维特根斯坦吧,252.769,1677636369,c38e297c
1263008903747104768,自动客服回复好的好多人摸鱼开副业了哈哈哈，老板也觉得挺好的哈哈哈，魔幻世界,22.259,1677653594,99b15bc1
1263061458686580480,我的毕设是图像识别,342.774,1677659859,51475da3
1263072293681541888,现在的机器已经基本通过图灵测试了,109.286,1677661150,9a4cdc2f
1263105439806247680,自己介绍自己,16.58,1677665102,b3ca78d
1263356190902449408,拜拜了您嘞,176.737,1677694993,11c57cfb
1263582343084416256,谢谢 公务员有考到这个,98.815,1677721953,f248e8f8
1264312925301460992,梯度下降 反向传播 dna动了,311.334,1677809045,c1b5d0f2
1264364939418887424,这可不是“号称”,79.597,1677815246,9fcfb423
1265907079387034112,单层神经网络 多层 模糊逻辑 遗传算法,358.311,1677999083,e7b8f66e
1265962862422069504,又是深度学习吗,241.066,1678005733,dcd74ef8
1265963112537157632,怎么是我的本科毕业论文啊,270.906,1678005763,dcd74ef8
1266575415129385728,省流：国内手机号不支持注册,1.897,1678078755,9cfdd624
1267529746611568384,嗨,20.54,1678192520,3583cc97
1268330502100825856,深度学习,254.451,1678287978,7d72e8fb
1268638491781459968,CNN 深度学习2012年才被提出,261.119,1678324693,9b111520
1269657071553833984,当时三千万感觉好多。,287.47,1678446117,d625a744
1271120163487674624,这个标准早呢,105.157,1678620531,5adee2c0
1271151339296484352,深度学习,311.218,1678624248,4114fc31
1271677709356939520,追溯到黑客帝国1时代,355.803,1678686996,76ea7ed2
1271692101473622528,上我们高三模拟卷了都,29.877,1678688711,99f26f30
1272496828281185024,重點都是重邏輯的東西,46.349,1678784642,d8e322e5
