danmaku_id,content,progress,ctime,user_hash
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
1814645261667628800,大佬，求资料,898.332,1743413772,79bd1b8e
1942919875026961408,大家大几了,859.785,1758705297,9ee93e3d
2056202807447083520,me,840.961,1772209675,e0d8426e
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1714774033075717120,求代码和课件,73.022,1731508194,e220dad
1732664548110052352,求课程资料,81.995,1733640909,77230ce0
1989417343990123520,来吧，你好,23.496,1764248228,fa2b1048
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1634326771841340160,7个朋友大家好,394.062,1721918133,d56eb98e
1750127221823215616,。。？,419.134,1735722622,63b116b5
1786813537860404224,听得到,528.134,1740095972,1c409642
1810371044557776128,你好,411.497,1742904246,2b5742d9
1829929973008349696,你好,402.211,1745235852,2202d179
1856534345042111744,学这个的人多吗？,428.202,1748407340,c2170719
1864061345943756544,你好,409.723,1749304628,4880ba33
1933135505508757248,聽不到捏,524.794,1757538910,540f4b77
,,0.0,1775601368.3488362,
lb.c,,0.0,1775601368.3488362,
,,0.0,1775601368.3488362,
1718804121735281152,s哪位仁兄和我正在看？,821.716,1731988618,84273b25
1731948692170657792,小白,833.375,1733555573,da7ba2df
