danmaku_id,content,progress,ctime,user_hash
1822696266597933825,哈哈哈哈，真的是，deepseek老说这些,50.731,1744373302,74860b41
1822696266597933826,乖乖有种看小时代的精致感,119.539,1744373255,19c5add0
1822696266681819904,哇，就我一个人看哎,9.131,1744373234,5377022e
1822696271958254336,哇，一分钟前，有出息了！,0.439,1744373358,8885296d
1822696274642608896,各位，欢迎来到「云社」,0.0,1744373318,d8fca149
1822696275993174784,大抵如此（1/？）,17.68,1744373221,5fb9a38
1822696277326963456,好诶,8.491,1744373347,1945dc68
1822696278677529344,你说，这个视频有没有可能也是AI？,60.0,1744373403,d8fca149
1822696281361883904,这是调教的还不够[doge],102.776,1744373413,91eb6938
1822696286730593024,味确实太冲了,167.53,1744373491,91eb6938
1822696288064381696,看不懂,95.891,1744373458,7090b851
1822696296117445376,嗯，300多人了。,28.957,1744373337,5377022e
1822699048831422976,注：本视频由AI生成,0.0,1744373858,46bfadc8
1822699678144383744,太经典了，真的这样,147.958,1744373933,b6d83031
1822700256354791936,13分钟,10.796,1744374002,b49e32f2
1822700530703946752,AI科幻文经典量子力学,52.343,1744374035,8ff5c44e
1822700601898404864,天呐，确实如此。这几个词汇已经是频繁出现了。,57.589,1744374043,8014583e
1822700903225480960,盲猜一下接下来还会有ai对于精确数字的痴迷（）,48.732,1744374079,7a9a4978
1822702573154145280,人文社科黑话集合,138.874,1744374278,2cb08538
1822703426241994752,是真的！用AI来描写人物惊讶时，它总会来一句瞳孔顿时收缩0.2mm之类的专业术语和数字。,205.348,1744374380,8014583e
1822704002623017728,这句好像如烟的歌词））,254.538,1744374449,7f2ca738
1822704317346704384,哈哈哈哈哈味太冲了,122.399,1744374486,75b2242b
1822705720290971904,懂了，王家卫是ai,215.929,1744374653,2a1728f6
1822705932749716736,本次是ai写的鲁迅体,19.092,1744374679,dfac5a2
1822706443506524416,并非生僻,135.51,1744374740,3cc2f7dc
1822706755193918720,孟德尔时期还没有基因这个词，当时叫遗传因子,86.88,1744374777,e162870c
1822707696873976320,过拟合了,129.691,1744374889,f5809f21
1822708170947748864,坏了，感觉自己是伪人,204.656,1744374946,f39bd483
1822709107569398272,这些东西适合偶尔出现特写，但ai喜欢通篇都是,227.67,1744375057,a246352f
1822709405692072448,谢耳朵风了，感觉是,185.551,1744375093,b4310e6d
1822710098448476160,懵德尔,83.933,1744375175,90c9aaf9
1822710168677932544,无论如何都要体现一下赛博情感,174.847,1744375184,51fcfaa4
1822710793276911872,这第3粒纽扣是从上往下数还是从下往上数？,215.137,1744375258,4af5174
1822712171558720512,这两段，我好像在之前的某个视频里看过,179.279,1744375423,cdc19c41
1822713114127246848,弹幕呢,317.099,1744375535,d9520547
1822713762474494464,让它设计塔罗牌阵它也这么搞……,42.232,1744375612,16ffbbe8
1822713873111846400,注：衬衫的第三颗纽扣由于靠近心脏，有时具有“真心”的含义，不一定是AI瞎编的,217.623,1744375625,331de5e
1822714296535252480,是这样的，蜕变主题的作文它能扯到宇宙变幻三重奏,45.789,1744375676,7b6c3996
1822714637272138240,它设计的深度心理学/灵魂类主题牌阵全是这调调……,76.539,1744375716,16ffbbe8
1822715629174790912,ai智能问答甚至能搜出自相矛盾的回答,25.14,1744375835,1b27fafa
1822718136848928256,哈哈哈哈哈哈哈哈哈哈看得一头雾水,99.451,1744376134,7d5c8c54
1822718706024243712,这应该是deepseek的习惯，,32.087,1744376201,b8910827
1822719541378332672,AI要有自己了，那可太不得了了,357.822,1744376301,ce35d702
1822720184188683776,目前想写科幻，但竞争对手过于强悍，手段是将AI切断,25.6,1744376378,602aef10
1822724482411497216,“真人”,8.083,1744376890,ebf98115
1822724909953512960,会说话的肘子,220.247,1744376941,b495ab30
1822724984259951616,AI无法替代人应该有的人味,105.377,1744376950,e5ce42d
1822730807824173568,deepseek特有的赛博乡愁,38.941,1744377644,490ef3ee
1822733246417511680,孟德尔还没有基因这个概念,90.648,1744377935,6b683da5
1822733973374390784,谁教它这样写的,235.994,1744378022,4f477762
1822736929914208000,因为高考作文这么写可以加分,152.49,1744378374,cdbe4090
1822737191286482688,。。,21.194,1744378405,adf5413c
