danmaku_id,content,progress,ctime,user_hash
1571166379615675136,一万平方米的散热面积,0.939,1714388827,c6a53895
1571168338724607488,《息屏科技》,12.584,1714389061,19252a10
1571169900901178368,日常千万不要做两米石板跌落测试,124.38,1714389247,a67b2a8
1571171054704202496,《熄 屏 科 技》,84.5,1714389385,361c1a34
1571171482263330560,IMI 15 Pro Max,317.55,1714389436,538718c8
1571172402451606016,梦回“黑厂”上班的时间,256.214,1714389545,4c14e1c1
1571172439797580544,专业,261.039,1714389550,3b046cf2
1571173119954481152,触发连招（,72.372,1714389631,8cb17724
1571173149414887936,这个好像是导热凝胶啊,295.924,1714389634,361c1a34
1571174239522891776,想起了以前当发烧友的日子,259.571,1714389764,812d5edd
1571174313468708864,99,81.519,1714389773,5dba9cf3
1571175504172793088,《逝量》,295.924,1714389915,546524bb
1571178514827702016,既贵，又不耐摔,132.06,1714390274,4dec78bc
1571178590375013376,小米是苹果配件厂吗doge,353.66,1714390283,a37c6b98
1571178935398880768,主要是这主板上下空隙大，要我说直接硅脂填充,141.53,1714390324,f1508515
1571179216081716224,军火展示,62.105,1714390358,6cda4bea
1571180095710774272,《完整》,170.23,1714390462,45a43a38
1571180457964694272,屏幕压不下去了,314.73,1714390506,f1508515
1571181628074662656,不会怎么样，还是被9300和8gen3吊打,0.243,1714390645,ac00cd0
1571184625349774848,iphone15pro：我被小米夹了,309.95,1714391002,6cda4bea
1571188592775336960,别家换屏幕会免费给换电池和中框,126.574,1714391475,70daca43
1571189425050957568,真舍得啊，去官方换,17.737,1714391575,eb95562c
1571189912865524992,全面对标iphone,171.137,1714391633,1ac76ab6
1571191022149795584,龙晶剪刀,269.401,1714391765,90d0d53a
1571193216827514624,夏天有几台手机能稳,31.516,1714392027,c31f58d7
1571193788704203008,这么高吗？离谱,80.305,1714392095,c31f58d7
1571195342836505344,三明治,144.958,1714392280,70a1d400
1571197877521355264,先三连了,300.42,1714392582,6a14bf0e
1571198911618582528,开滴滴su7的时候顺路去的？（doge）,223.381,1714392705,a0de22a5
1571198927054034688,IPhone：已经是别人的形状了,297.043,1714392707,86095495
1571199119815498496,苹果:救命小米还在追我,310.334,1714392730,9b101b53
1571208037258251520,正品无疑,47.291,1714393793,c22f2aa3
1571210685088747008,草莓味,296.097,1714394109,d5df5147
1571212371375143680,《轻微》,121.665,1714394310,7492f065
1571215856724253952,《融合科技》,163.554,1714394726,94a74e6f
1571217073374662912,注意？说得像我自己能拆能装一样[doge],282.731,1714394871,94a74e6f
1571221420921531392,等会亮度800多？,34.949,1714395389,91b56fdc
1571223915483683584,米果手机,324.69,1714395686,d7e199b7
1571224397862542336,楼斌附体,78.911,1714395744,f920747
1571228062324973824,来了,11.047,1714396181,21d9ac98
1571235719471631104,iphone：小米在我心里了,317.927,1714397093,fc29024
1571238487183863296,均热板不就是看谁大吗,201.129,1714397423,df99a127
1571243975145669632,iPhone：我心澎湃,316.935,1714398077,c62bb54c
1571246562561438976,刚修好又拆了233,77.795,1714398386,e653f582
1571247147020504832,机械生表示金工实习太熟悉了,250.708,1714398456,d41e896d
1571247678472686592,注意：这里是口误，这是凝胶，不是硅脂。手机改散热是不建议用硅脂/7950相变片的。用凝胶完全足矣。,295.38,1714398519,d3c350bf
1571258671189572608,越来越专业,134.841,1714399829,446a9633
1571266502030530560,机你太美,96.456,1714400763,d45449ef
1571269415637846016,想多了板层摔脱焊了大概率就开不了机了,51.52,1714401110,d80fec19
1571274680797525760,寄给蒋镇麟不就好了？,249.805,1714401738,5f29de02
1571280670112778240,简单,98.134,1714402452,29b7fcd8
1571288483622853632,《随便》,122.729,1714403383,4164e59c
1571290521291430656,散热ultra,358.525,1714403626,4164e59c
1571291155746899968,前面的 这是测试时摔的,110.078,1714403702,d05c4c2e
1571296771970603264,七彩虹的笔记本,36.914,1714404371,8fe30e88
1571299005965669120,没事，还有一台。,191.88,1714404638,a0e7ea86
1571302808370557184,pura70系列有新材料均热板,211.308,1714405091,b26097ad
1571310444763975424,懂了，没说是陶瓷，是龙晶陶瓷,169.959,1714406001,d314de10
1571310530789207296,@大耳朵,125.029,1714406012,76794fd2
1571311606267392768,龙晶剪刀,268.902,1714406140,d314de10
1571316858844665600,怕不是母校？,241.173,1714406766,ff0fc1c1
1571317249317560576,北京小苹果,208.615,1714406812,326d72e5
1571317942485203712,里面充满了小米的精华,349.252,1714406895,8bd21176
1571333772366872832,《专车司机》,218.736,1714408782,1e4294f2
1571336326790636288,电池褶皱是因为之前摔过,110.075,1714409087,58ebe1e1
1571342018704319744,我测，最低24？波动这么大？,36.402,1714409765,4f3039aa
1571344997364767488,别人稳得住，苹果稳不住，为啥是王者的原因？,47.779,1714410120,94c135c
1571346610728953600,库克：那我走？,356.755,1714410313,a0f19bb
1571350602951176960,库克：我钛金属刚减下去的14克你又给我加回来了？！,331.383,1714410789,89ca5e7c
1571353794926055168,iphone13+14+15=iphone42,353.62,1714411169,f2620542
1571355899920978688,哟，还是龙晶“陶瓷”蓝,154.542,1714411420,bc362170
1571391649878419968,熊二的声音,234.483,1714415682,a7a79877
1571433074989168128,触发连招,71.782,1714420620,c878762c
1571461661829986048,@楼斌,87.338,1714424028,b4d665b8
1571461840205058816,@微机分,87.338,1714424049,b4d665b8
1571464547569970432,《嗯》,231.215,1714424372,b4d665b8
1571468197050576896,重新定义随便,129.217,1714424807,120855a2
1571468662114978816,重新定义精简,180.457,1714424862,120855a2
1571471065157582592,你组装闹钟的时候,323.804,1714425149,120855a2
