danmaku_id,content,progress,ctime,user_hash
1748537879929576960,我是第一个,1.253,1735533158,6295ef6a
1748547109404013568,确实，美国四年一届票选的策略就是这样,269.776,1735534258,bfee0f21
1748702268863210496,沈老师用的发胶还是出的汗，头发一绺一绺,171.455,1735552755,49147f80
1748782939119934464,不同文化背景真的理解不了，他们那么做肯定有他们的逻辑,294.319,1735562371,4ef98a91
1748843584788399872,少了两颗螺丝钉,37.63,1735569601,82c9ce31
1748846061079894272,人还是诚实一点好，有啥说啥比阳奉阴违好,337.375,1735569896,33ef011b
1748892512837373440,做人留一线,257.245,1735575433,5a2dd0c3
1748972433882396672,好好，还有续集,8.896,1735584961,9aa27b31
1748990620468462080,三妹素养很高啊,81.98,1735587129,aaca673e
1749148924414955776,来的个懂哈哈哈哈,231.332,1735606000,236b3fd4
1749247300498359552,就是头发油了，也不是不洗头，长得胖点的头发和脸出油很厉害，像我天天洗头，但是到了晚上洗头的时候还是会很油，尤其是头发长了,209.033,1735617727,1e60924
1749325815579013888,上海冬天还没有零下，可是房子里要穿羽绒服。我在鄂尔多斯外面零下15度，在家里却要穿裤衩背心！感觉好魔幻！,232.659,1735627087,82e7500d
1749588359539426304,老师刚洗完头,220.941,1735658385,17d9a03d
1749789590358770432,肯定是太忙 又是南方的冬天 忽视洗头了啊,198.56,1735682373,db1a6bb3
1750355298930939904,脉动味道还是挺好的,19.035,1735749811,3499ba49
1750923565659901696,奎师那？,22.024,1735817554,760ea22d
1751779684670616320,低配版 撒贝宁啊,132.19,1735919611,2a8ba4e0
1752324936254615296,我居然认得那个字,58.937,1735984610,ebff4395
1752462527780356864,有些人是不懂i油发的苦,224.87,1736001012,96220a97
1754602478500363264,只有知识分子跟工人、农民正确地结合，才会有无攻不克、无坚不摧的力量！,346.168,1736256114,2bfded4d
1755126360693142784,最好的回应其实是沉默,312.989,1736318566,bbe9942d
1755766265798589696,脉动打钱~,0.727,1736394849,ff4b21ed
1755860449674962944,我去还真有点像,166.287,1736406076,8ccc3ac
1763954636970323712,三妹好乖巧,314.96,1737370979,e4b045db
1768784002845905408,我胖，早晨洗脸洗头发，中午我的脸就出油了,213.533,1737946684,85fc468
1768887521708173568,脉动营养很均衡，可以看成分表,10.631,1737959024,8fa41900
,,0.0,1775683732.8000336,
lb.c,,0.0,1775683732.8000336,
,,0.0,1775683732.8000336,
1748548390134716160,圆脸：没错，就是这样的,410.356,1735534411,bfee0f21
1748653191664466688,波士顿圆脸,409.904,1735546904,7a8f2b48
1748767342768266496,清华：5Q，3Q,455.351,1735560512,2ea732ca
1748773804865945344,哈哈哈,472.829,1735561282,c095aaa2
1748809328431707904,啥玩意？,587.677,1735565517,625fff89
1748815791367204352,太卷了哈哈哈,489.524,1735566288,8abcef9a
1748836807464275200,脉动打钱,527.502,1735568793,ce68232f
1748838621324564992,怎么这么像广告,613.575,1735569009,3865c7e2
